Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	16,05	16,38	15,80	16,08
31/05/2022	16,68	16,68	16,01	16,01
30/05/2022	16,95	17,02	16,60	16,60
27/05/2022	16,58	16,93	16,56	16,93
26/05/2022	16,53	16,79	16,51	16,66
25/05/2022	16,63	16,83	16,48	16,52
24/05/2022	16,76	17,18	16,55	16,65
23/05/2022	16,79	17,10	16,76	16,76
20/05/2022	17,36	17,36	16,69	16,69
19/05/2022	16,60	17,44	16,44	17,34
18/05/2022	16,81	16,93	16,41	16,61
17/05/2022	16,56	17,10	16,56	16,93
16/05/2022	16,41	16,60	16,26	16,48
13/05/2022	16,16	16,55	16,06	16,54
12/05/2022	16,06	16,39	15,98	16,21
11/05/2022	15,56	16,26	15,54	16,13
10/05/2022	15,91	15,97	15,50	15,60
09/05/2022	16,06	16,06	15,48	15,81
06/05/2022	15,79	16,21	15,59	15,79
05/05/2022	16,29	16,29	15,68	15,77
04/05/2022	16,11	16,44	15,72	16,44
03/05/2022	16,05	16,21	15,85	16,21
02/05/2022	15,85	16,19	15,70	16,16
29/04/2022	16,81	16,81	15,80	15,80
28/04/2022	16,59	16,75	16,37	16,62
27/04/2022	16,53	16,71	16,30	16,55
26/04/2022	16,83	16,90	16,49	16,64
25/04/2022	16,76	16,99	16,49	16,93
22/04/2022	16,98	17,28	16,89	16,97
20/04/2022	17,16	17,32	17,02	17,28
19/04/2022	16,89	17,25	16,86	17,17
18/04/2022	16,21	17,03	16,21	16,92
14/04/2022	15,94	16,18	15,86	16,18
13/04/2022	15,88	16,19	15,85	15,95
12/04/2022	16,05	16,17	15,80	15,85
11/04/2022	15,81	16,13	15,75	15,90
08/04/2022	15,82	16,03	15,78	15,96
07/04/2022	15,91	15,99	15,74	15,86
06/04/2022	16,16	16,22	15,82	15,95
05/04/2022	16,80	16,80	16,11	16,18
04/04/2022	16,96	17,05	16,52	16,80
01/04/2022	17,01	17,25	16,85	16,89
31/03/2022	16,92	17,19	16,86	16,96
30/03/2022	17,03	17,24	16,85	16,92
29/03/2022	16,89	17,03	16,66	16,97
28/03/2022	16,34	16,82	16,03	16,72
25/03/2022	16,36	16,46	16,17	16,35
24/03/2022	16,49	16,59	16,22	16,36
23/03/2022	16,45	16,71	16,35	16,57
22/03/2022	16,47	16,73	16,40	16,53
21/03/2022	16,65	16,69	16,33	16,44
18/03/2022	16,06	16,62	16,06	16,62
17/03/2022	15,89	16,39	15,85	16,15
16/03/2022	15,60	16,04	15,58	15,98
15/03/2022	15,67	15,74	15,41	15,48
14/03/2022	15,53	15,94	15,48	15,75
11/03/2022	15,74	15,93	15,43	15,52
10/03/2022	15,77	15,91	15,53	15,71
09/03/2022	15,40	16,02	15,37	15,88
08/03/2022	15,27	15,53	15,00	15,33
07/03/2022	15,40	15,54	14,98	15,08
04/03/2022	15,46	15,46	14,98	15,18
03/03/2022	15,13	15,64	15,10	15,42
02/03/2022	15,27	15,52	14,98	15,13
25/02/2022	15,65	15,74	15,26	15,36
24/02/2022	15,76	15,82	15,28	15,69
23/02/2022	15,75	16,57	15,75	16,15
22/02/2022	15,66	15,94	15,62	15,68
21/02/2022	16,28	16,28	15,64	15,64
18/02/2022	16,45	16,56	16,19	16,32
17/02/2022	16,65	16,81	16,43	16,43
16/02/2022	16,86	17,15	16,56	16,66
15/02/2022	16,32	16,93	16,21	16,69
14/02/2022	16,26	16,69	16,04	16,25
11/02/2022	16,05	16,65	15,92	16,26
10/02/2022	15,99	16,20	15,62	15,76
09/02/2022	15,97	16,22	15,56	15,56
08/02/2022	15,89	16,24	15,75	16,00
07/02/2022	15,84	16,01	15,62	15,89
04/02/2022	15,92	15,98	15,73	15,89
03/02/2022	16,01	16,28	15,77	15,97
02/02/2022	16,12	16,35	15,92	15,98
01/02/2022	15,62	16,14	15,62	15,96
31/01/2022	15,63	15,70	15,39	15,60
28/01/2022	15,60	15,77	15,53	15,60
27/01/2022	15,63	15,85	15,42	15,66
26/01/2022	15,74	15,94	15,48	15,50
25/01/2022	15,21	15,72	15,11	15,61
24/01/2022	15,34	15,53	14,97	15,31
21/01/2022	15,50	15,65	15,27	15,40
20/01/2022	15,74	15,92	15,51	15,55
19/01/2022	15,78	15,90	15,56	15,74
18/01/2022	15,62	15,82	15,48	15,62
17/01/2022	15,65	16,07	15,56	15,62
14/01/2022	15,43	15,68	14,97	15,62
13/01/2022	15,21	15,58	15,14	15,46
12/01/2022	15,58	15,78	15,21	15,32
11/01/2022	15,58	15,70	15,38	15,58
10/01/2022	15,18	15,69	15,05	15,59
07/01/2022	14,93	15,18	14,74	15,12
06/01/2022	14,80	15,34	14,61	15,01
05/01/2022	15,39	15,43	14,65	14,79
04/01/2022	15,38	15,53	14,89	15,50
03/01/2022	15,58	15,94	15,24	15,31
30/12/2021	15,47	15,47	15,11	15,41
29/12/2021	15,74	15,74	15,25	15,38
28/12/2021	15,54	15,73	15,41	15,68
27/12/2021	15,33	15,57	15,22	15,51
23/12/2021	15,15	15,52	15,14	15,32
22/12/2021	15,22	15,24	14,87	15,24
21/12/2021	15,56	15,66	14,92	15,22
20/12/2021	15,36	15,51	15,03	15,51
17/12/2021	15,93	15,93	15,31	15,66
16/12/2021	16,50	16,59	15,79	15,98
15/12/2021	17,17	17,17	16,25	16,44
14/12/2021	17,27	17,55	17,07	17,16
13/12/2021	17,47	17,72	17,03	17,27
10/12/2021	17,35	17,56	17,10	17,45
09/12/2021	17,26	17,39	17,01	17,29
08/12/2021	17,17	17,55	17,06	17,40
07/12/2021	17,36	17,58	17,01	17,05
06/12/2021	16,90	17,41	16,80	17,17
03/12/2021	16,60	17,16	16,60	16,71
02/12/2021	16,57	16,99	16,46	16,65
01/12/2021	16,83	17,46	16,29	16,55
30/11/2021	16,43	16,73	16,13	16,44
29/11/2021	15,92	16,65	15,85	16,44
26/11/2021	15,64	15,69	15,18	15,69
25/11/2021	16,44	16,65	15,78	16,04
24/11/2021	15,66	16,55	15,66	16,38
23/11/2021	15,54	15,89	15,35	15,83
22/11/2021	15,58	15,59	15,13	15,47
19/11/2021	15,29	15,65	15,11	15,57
18/11/2021	15,26	15,64	15,10	15,31
17/11/2021	15,71	15,71	14,99	15,21
16/11/2021	15,87	16,08	15,47	15,55
12/11/2021	16,39	16,51	15,79	15,81
11/11/2021	16,55	16,55	16,13	16,32
10/11/2021	15,84	16,33	15,71	16,26
09/11/2021	15,85	16,11	15,75	15,81
08/11/2021	15,59	16,28	15,56	15,81
05/11/2021	15,62	16,06	15,55	15,78
04/11/2021	15,35	15,70	14,91	15,53
03/11/2021	14,66	15,40	14,55	15,33
01/11/2021	15,00	15,02	14,61	14,71
29/10/2021	14,66	15,15	14,53	14,75
28/10/2021	15,40	15,53	14,44	14,57
27/10/2021	15,46	15,87	15,40	15,45
26/10/2021	15,51	15,67	15,38	15,40
25/10/2021	15,48	15,72	15,27	15,60
22/10/2021	15,79	15,84	14,78	15,30
21/10/2021	16,17	16,33	15,38	15,99
20/10/2021	15,85	16,44	15,79	16,44
19/10/2021	16,27	16,27	15,54	15,78
