Data	Abertura	Máxima	Mínima	Fechamento
31/05/2022	36,14	36,81	36,00	36,74
30/05/2022	37,20	37,20	35,25	36,07
27/05/2022	37,36	37,36	36,73	37,05
26/05/2022	37,41	38,07	37,33	37,46
25/05/2022	37,53	37,80	36,80	37,57
24/05/2022	37,60	38,04	37,03	37,80
23/05/2022	36,73	38,00	36,68	37,96
20/05/2022	35,71	36,45	35,56	36,43
19/05/2022	35,35	35,60	34,90	35,15
18/05/2022	35,84	36,31	35,18	35,36
17/05/2022	35,37	36,02	35,31	35,87
16/05/2022	34,64	35,14	34,52	34,87
13/05/2022	34,86	34,90	34,31	34,57
12/05/2022	34,26	34,80	34,01	34,62
11/05/2022	33,01	34,07	32,82	33,76
10/05/2022	33,63	33,73	32,80	33,03
09/05/2022	32,85	33,75	32,80	33,42
06/05/2022	33,15	34,11	32,80	33,33
05/05/2022	33,83	33,87	32,49	33,22
04/05/2022	33,02	34,24	32,69	34,11
03/05/2022	32,47	33,45	32,40	33,14
02/05/2022	32,76	33,05	32,03	32,47
29/04/2022	33,67	34,14	32,59	32,71
28/04/2022	33,64	33,87	33,06	33,48
27/04/2022	33,82	34,26	33,38	33,54
26/04/2022	33,87	34,03	32,98	33,40
25/04/2022	33,72	34,41	33,45	34,16
22/04/2022	34,19	34,23	33,62	33,90
20/04/2022	34,70	34,73	34,27	34,62
19/04/2022	35,82	36,11	34,51	34,67
18/04/2022	34,65	35,94	34,58	35,94
14/04/2022	34,55	34,99	34,53	34,66
13/04/2022	34,86	34,90	34,36	34,63
12/04/2022	34,67	34,94	34,32	34,46
11/04/2022	34,11	34,70	33,87	34,53
08/04/2022	33,55	34,45	33,50	34,31
07/04/2022	32,81	34,06	32,80	33,71
06/04/2022	32,93	33,23	32,63	33,10
05/04/2022	33,74	33,80	32,84	32,93
04/04/2022	33,95	34,04	33,40	33,83
01/04/2022	34,41	34,54	33,78	34,14
31/03/2022	34,24	35,00	33,91	34,16
30/03/2022	34,55	34,55	34,00	34,36
29/03/2022	34,85	35,01	34,22	34,57
28/03/2022	34,88	35,02	34,26	34,42
25/03/2022	34,80	35,17	34,53	34,75
24/03/2022	34,44	35,12	34,34	34,77
23/03/2022	34,46	34,66	34,15	34,38
22/03/2022	34,07	34,80	34,07	34,56
21/03/2022	33,28	34,02	33,14	33,88
18/03/2022	33,42	33,50	33,00	33,20
17/03/2022	32,94	33,47	32,60	33,27
16/03/2022	32,69	32,96	32,09	32,96
