Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	26,89	26,91	26,48	26,72
31/05/2022	26,66	26,94	26,42	26,88
30/05/2022	25,95	26,64	25,85	26,61
27/05/2022	25,60	26,40	25,60	25,93
26/05/2022	25,65	25,73	25,43	25,57
25/05/2022	25,65	25,81	25,45	25,65
24/05/2022	25,36	25,89	25,32	25,84
23/05/2022	25,33	25,71	25,10	25,58
20/05/2022	25,62	25,71	25,28	25,47
19/05/2022	25,41	25,50	25,16	25,40
18/05/2022	25,79	25,88	25,27	25,41
17/05/2022	25,67	25,90	25,58	25,81
16/05/2022	25,78	25,98	25,29	25,52
13/05/2022	25,42	25,82	25,21	25,78
12/05/2022	24,65	25,39	24,65	25,39
11/05/2022	24,93	25,01	24,58	24,79
10/05/2022	25,50	25,93	24,85	24,98
09/05/2022	24,84	25,41	24,50	25,38
06/05/2022	24,95	25,05	24,63	25,03
05/05/2022	25,53	25,53	24,70	25,03
04/05/2022	25,10	25,62	24,73	25,62
03/05/2022	24,76	25,12	24,71	25,12
02/05/2022	25,21	25,51	24,46	24,95
29/04/2022	26,00	26,02	25,13	25,43
28/04/2022	26,01	26,10	25,45	25,89
27/04/2022	26,25	26,30	25,77	26,08
26/04/2022	26,20	26,44	25,82	26,07
25/04/2022	26,11	26,49	25,77	26,37
22/04/2022	26,74	26,99	26,17	26,39
20/04/2022	26,00	26,84	25,99	26,76
19/04/2022	26,77	26,95	25,96	26,02
18/04/2022	26,08	26,78	26,08	26,78
14/04/2022	25,90	26,30	25,76	26,16
13/04/2022	25,78	26,07	25,57	25,94
12/04/2022	26,03	26,67	25,63	25,71
11/04/2022	26,24	26,45	25,90	25,93
08/04/2022	26,09	26,36	25,90	26,20
07/04/2022	25,80	26,46	25,63	26,00
06/04/2022	25,52	25,98	25,27	25,76
05/04/2022	25,77	25,92	25,43	25,52
04/04/2022	25,89	26,00	25,68	25,80
01/04/2022	25,68	25,97	25,33	25,91
31/03/2022	24,87	25,69	24,87	25,56
30/03/2022	24,87	24,95	24,70	24,90
29/03/2022	24,64	24,89	24,61	24,80
28/03/2022	24,45	24,70	24,36	24,59
25/03/2022	24,38	24,78	24,34	24,45
24/03/2022	24,00	24,40	23,90	24,40
23/03/2022	24,03	24,14	23,81	24,05
22/03/2022	23,72	24,21	23,72	24,08
21/03/2022	23,34	23,68	23,33	23,64
18/03/2022	23,10	23,55	23,08	23,34
17/03/2022	22,85	23,30	22,66	23,30
16/03/2022	22,51	22,83	22,45	22,80
15/03/2022	22,45	22,68	22,36	22,46
14/03/2022	22,59	22,81	22,29	22,47
11/03/2022	22,70	22,74	22,36	22,50
10/03/2022	22,20	22,67	22,08	22,57
09/03/2022	21,88	22,50	21,84	22,39
08/03/2022	22,10	22,20	21,78	21,88
07/03/2022	22,12	22,45	22,00	22,10
04/03/2022	23,07	23,17	22,32	22,54
03/03/2022	23,07	23,22	22,70	23,07
02/03/2022	22,30	23,19	21,86	23,09
25/02/2022	22,76	23,06	22,67	23,04
24/02/2022	22,54	23,12	22,05	22,90
23/02/2022	23,13	23,48	23,01	23,01
22/02/2022	23,17	23,43	23,11	23,16
21/02/2022	23,14	23,43	23,05	23,12
18/02/2022	23,26	23,35	23,15	23,18
17/02/2022	23,01	23,29	22,84	23,17
16/02/2022	23,10	23,19	22,63	23,08
15/02/2022	23,50	23,66	23,10	23,14
14/02/2022	22,78	23,44	22,71	23,37
11/02/2022	23,00	23,14	22,47	22,76
10/02/2022	23,44	23,64	23,08	23,43
09/02/2022	23,18	23,55	23,14	23,35
08/02/2022	23,28	23,75	23,01	23,18
07/02/2022	22,40	23,31	22,32	23,22
04/02/2022	22,06	22,07	21,67	21,96
03/02/2022	21,93	22,19	21,72	22,06
02/02/2022	22,17	22,31	21,93	21,93
01/02/2022	22,22	22,54	22,04	22,21
31/01/2022	21,78	22,37	21,73	22,26
28/01/2022	21,34	21,89	21,30	21,82
27/01/2022	20,32	21,80	20,32	21,54
26/01/2022	20,33	20,56	20,22	20,34
25/01/2022	20,06	20,40	19,82	20,33
24/01/2022	19,95	20,31	19,60	20,13
21/01/2022	19,68	19,95	19,50	19,84
20/01/2022	19,91	19,97	19,55	19,77
19/01/2022	19,70	19,96	19,48	19,89
18/01/2022	18,92	19,57	18,67	19,54
17/01/2022	18,71	19,18	18,57	18,92
14/01/2022	18,47	18,71	18,42	18,71
13/01/2022	18,42	18,67	18,33	18,45
12/01/2022	18,60	18,73	18,30	18,42
11/01/2022	18,66	18,71	18,45	18,59
10/01/2022	19,01	19,01	18,29	18,58
07/01/2022	19,67	19,67	19,03	19,05
06/01/2022	19,53	19,86	19,43	19,66
05/01/2022	19,75	19,96	19,48	19,53
04/01/2022	19,83	20,00	19,72	19,77
03/01/2022	20,12	20,32	19,72	19,82
30/12/2021	19,91	20,25	19,80	19,96
29/12/2021	20,00	20,05	19,70	19,88
28/12/2021	19,96	20,10	19,81	20,00
27/12/2021	19,82	20,06	19,79	19,96
23/12/2021	19,80	20,13	19,69	19,84
22/12/2021	19,78	19,86	19,53	19,73
21/12/2021	19,62	19,77	19,34	19,74
20/12/2021	19,74	19,74	19,39	19,60
17/12/2021	20,10	20,10	19,76	19,76
16/12/2021	20,32	20,39	20,10	20,13
15/12/2021	20,09	20,43	19,91	20,23
14/12/2021	20,21	20,45	19,87	19,98
13/12/2021	20,39	20,52	20,10	20,10
10/12/2021	20,39	20,54	20,28	20,35
09/12/2021	20,83	21,07	20,20	20,31
08/12/2021	20,56	20,94	20,31	20,84
07/12/2021	20,67	20,87	20,39	20,41
06/12/2021	20,38	20,68	20,36	20,48
03/12/2021	20,29	20,83	20,26	20,37
02/12/2021	19,82	20,29	19,73	20,25
01/12/2021	20,32	20,32	19,63	19,65
30/11/2021	20,58	20,58	19,97	20,09
29/11/2021	20,97	21,02	20,45	20,59
26/11/2021	20,96	21,08	20,66	20,71
25/11/2021	20,84	21,48	20,84	21,29
24/11/2021	20,68	21,12	20,51	20,81
23/11/2021	20,86	21,00	20,46	20,70
22/11/2021	21,23	21,54	20,99	20,99
19/11/2021	21,87	22,00	21,28	21,38
18/11/2021	21,88	22,16	21,77	21,87
17/11/2021	22,32	22,60	21,68	21,81
16/11/2021	22,05	22,38	21,98	22,28
12/11/2021	22,33	22,65	22,19	22,20
11/11/2021	22,46	22,49	22,17	22,40
