Data	Abertura	Máxima	Mínima	Fechamento
31/05/2022	13,04	13,14	12,64	12,66
30/05/2022	13,40	13,73	12,72	12,90
27/05/2022	13,32	13,43	12,92	13,10
26/05/2022	13,41	13,44	12,92	13,13
25/05/2022	13,97	14,07	13,24	13,24
24/05/2022	14,46	14,47	13,80	14,15
23/05/2022	15,53	15,64	14,52	14,53
20/05/2022	15,60	15,91	14,72	15,32
19/05/2022	14,32	15,35	14,01	15,08
18/05/2022	15,37	15,37	14,24	14,32
17/05/2022	16,17	16,57	15,08	15,67
16/05/2022	15,41	16,46	15,32	15,43
13/05/2022	14,92	16,09	14,80	15,25
12/05/2022	12,98	14,27	12,73	14,27
11/05/2022	13,27	14,24	13,15	13,37
10/05/2022	12,69	13,44	12,35	13,26
09/05/2022	12,71	12,98	12,07	12,15
06/05/2022	14,00	14,33	13,01	13,01
05/05/2022	15,10	15,10	14,08	14,14
04/05/2022	14,60	15,64	13,90	15,60
03/05/2022	14,82	15,13	14,40	14,75
02/05/2022	15,12	15,61	14,33	14,78
29/04/2022	16,53	16,87	15,17	15,17
28/04/2022	15,95	16,54	15,43	16,34
27/04/2022	16,46	16,59	15,65	15,67
26/04/2022	17,00	17,07	15,92	16,02
25/04/2022	16,87	17,24	16,47	17,11
22/04/2022	17,01	17,78	16,74	17,21
20/04/2022	18,68	18,80	17,48	17,69
19/04/2022	17,10	18,95	16,95	18,84
18/04/2022	17,57	17,80	16,96	17,26
14/04/2022	16,83	17,11	16,32	16,53
13/04/2022	17,04	17,20	16,64	16,92
12/04/2022	18,69	18,80	16,50	16,70
11/04/2022	18,43	18,93	18,19	18,26
08/04/2022	18,91	19,17	18,15	18,80
07/04/2022	19,06	19,36	18,70	19,28
06/04/2022	20,02	20,05	18,50	18,90
05/04/2022	22,50	22,78	20,61	20,70
04/04/2022	22,91	23,26	22,14	22,72
01/04/2022	21,50	22,99	21,50	22,85
31/03/2022	21,49	22,47	21,17	21,20
30/03/2022	21,50	22,27	21,16	21,48
29/03/2022	22,26	23,06	21,40	21,59
28/03/2022	21,73	22,00	20,50	21,42
25/03/2022	21,49	21,85	20,46	21,55
24/03/2022	19,48	21,42	19,37	21,32
23/03/2022	19,06	19,87	18,40	19,36
22/03/2022	18,20	19,47	18,19	19,07
21/03/2022	19,77	19,77	17,86	17,96
18/03/2022	17,90	19,98	17,68	19,71
17/03/2022	17,00	18,24	16,75	18,24
16/03/2022	16,09	17,24	15,87	17,15
15/03/2022	15,80	16,06	15,19	15,60
14/03/2022	17,11	17,39	15,93	15,93
11/03/2022	18,05	18,38	16,61	16,70
10/03/2022	18,16	18,16	17,00	17,58
09/03/2022	16,91	19,19	16,61	18,93
08/03/2022	17,31	17,66	16,03	16,43
07/03/2022	18,46	18,76	16,72	16,90
04/03/2022	19,74	20,02	18,52	18,71
03/03/2022	19,89	20,79	19,61	19,92
02/03/2022	19,97	20,31	19,11	19,70
25/02/2022	20,60	21,03	19,69	20,15
24/02/2022	19,33	20,74	19,08	20,14
23/02/2022	24,45	24,82	20,92	20,92
22/02/2022	25,85	26,27	23,72	23,80
21/02/2022	26,97	27,38	25,85	26,33
18/02/2022	28,08	28,79	26,32	26,67
17/02/2022	27,85	29,09	27,03	27,77
16/02/2022	28,14	28,43	26,86	28,20
15/02/2022	26,64	28,34	26,48	28,09
14/02/2022	24,35	26,40	24,27	26,35
11/02/2022	24,94	25,84	23,78	24,44
10/02/2022	26,14	26,41	24,67	24,77
09/02/2022	25,94	26,24	24,76	25,83
08/02/2022	23,41	25,72	23,17	25,49
07/02/2022	23,52	24,13	22,89	23,57
04/02/2022	23,84	23,98	22,31	23,32
03/02/2022	25,44	25,93	23,32	23,60
02/02/2022	28,84	28,89	25,10	25,35
01/02/2022	26,43	28,03	26,14	28,02
31/01/2022	24,85	26,02	24,36	25,92
28/01/2022	25,63	26,14	24,38	24,67
27/01/2022	25,05	26,37	24,84	25,66
26/01/2022	24,34	25,72	23,95	24,15
25/01/2022	23,14	24,11	22,57	23,66
24/01/2022	24,85	25,40	22,62	23,40
21/01/2022	25,07	26,53	24,26	25,24
20/01/2022	22,70	26,29	22,70	25,41
19/01/2022	21,06	22,75	20,89	22,45
18/01/2022	22,70	22,79	20,65	20,66
17/01/2022	23,65	24,07	22,90	23,06
14/01/2022	22,57	23,89	21,05	23,80
13/01/2022	24,44	25,10	22,00	22,05
12/01/2022	25,47	26,74	24,28	24,47
11/01/2022	24,45	25,74	23,69	25,23
10/01/2022	25,67	26,54	23,86	24,39
07/01/2022	22,95	27,06	22,77	26,67
06/01/2022	23,30	24,25	22,65	23,10
05/01/2022	23,53	25,31	21,98	22,95
04/01/2022	28,45	28,77	23,89	24,25
03/01/2022	28,56	30,20	27,79	28,09
30/12/2021	27,85	29,22	27,44	28,51
29/12/2021	28,95	29,44	27,47	27,52
28/12/2021	28,94	29,32	28,23	28,94
27/12/2021	28,70	29,34	28,38	29,16
23/12/2021	28,68	29,26	27,77	28,52
22/12/2021	28,44	29,48	27,74	28,53
21/12/2021	29,54	29,69	27,70	28,18
20/12/2021	29,44	30,78	28,69	28,97
17/12/2021	31,88	31,88	29,64	30,33
16/12/2021	35,22	36,07	31,83	32,21
15/12/2021	33,92	35,11	32,17	34,91
14/12/2021	37,55	37,66	33,23	33,44
13/12/2021	37,15	40,20	36,33	36,46
10/12/2021	36,42	38,66	36,04	37,43
09/12/2021	37,77	39,75	34,99	35,18
08/12/2021	36,93	38,62	36,44	38,15
07/12/2021	33,83	37,72	33,76	37,33
06/12/2021	33,44	34,71	32,79	32,93
03/12/2021	31,79	35,26	31,79	32,92
02/12/2021	34,27	34,75	32,33	32,92
01/12/2021	37,42	38,50	33,26	33,37
30/11/2021	37,32	39,30	35,82	36,15
29/11/2021	37,41	39,13	36,27	37,63
26/11/2021	35,72	36,66	34,43	36,00
25/11/2021	36,51	39,14	36,47	37,48
24/11/2021	34,05	37,15	33,69	36,12
23/11/2021	35,77	36,33	32,32	34,73
22/11/2021	40,46	41,74	34,98	34,98
19/11/2021	38,73	42,28	37,47	40,72
18/11/2021	39,92	41,24	38,53	38,87
17/11/2021	43,91	44,35	38,60	39,65
16/11/2021	45,65	46,20	41,41	42,78
12/11/2021	46,61	47,80	43,41	45,05
11/11/2021	45,15	48,80	44,31	46,36
