Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	107,33	107,99	106,77	107,52
31/05/2022	107,74	107,93	106,67	107,18
30/05/2022	108,70	108,73	106,64	106,92
27/05/2022	107,73	108,43	107,55	107,90
26/05/2022	106,67	108,09	106,35	108,02
25/05/2022	106,19	107,04	105,68	106,66
24/05/2022	105,24	106,71	104,50	106,64
23/05/2022	105,47	106,76	105,12	106,76
20/05/2022	104,50	104,88	103,47	104,66
19/05/2022	102,41	103,50	102,39	103,08
18/05/2022	104,78	104,78	102,15	102,21
17/05/2022	105,55	105,70	104,37	104,90
16/05/2022	103,36	104,82	102,97	104,40
13/05/2022	102,34	103,87	102,26	103,29
12/05/2022	100,00	102,04	99,74	102,04
11/05/2022	99,61	101,48	99,61	100,64
10/05/2022	100,16	100,39	98,63	99,24
09/05/2022	99,80	100,68	99,02	99,68
06/05/2022	101,52	102,43	100,10	101,23
05/05/2022	103,19	103,20	100,12	101,50
04/05/2022	101,97	104,57	101,10	104,38
03/05/2022	102,85	103,25	102,09	102,72
02/05/2022	103,67	103,96	101,30	102,72
29/04/2022	107,29	107,73	103,40	103,40
28/04/2022	106,06	106,66	104,82	105,86
27/04/2022	105,93	106,11	105,00	105,52
26/04/2022	105,90	106,17	104,05	104,28
25/04/2022	105,78	107,11	105,24	106,76
22/04/2022	109,37	109,37	106,50	106,75
20/04/2022	110,52	110,75	109,73	110,05
19/04/2022	110,76	111,17	110,06	110,92
18/04/2022	111,62	111,98	110,92	111,46
14/04/2022	112,00	112,46	111,30	111,65
13/04/2022	112,60	113,02	111,97	112,52
12/04/2022	113,97	114,18	111,77	111,77
11/04/2022	112,85	113,37	112,50	112,57
08/04/2022	113,95	114,49	113,12	113,98
07/04/2022	113,27	114,90	113,01	114,65
06/04/2022	114,12	114,31	112,48	113,87
05/04/2022	116,71	117,10	114,38	114,51
04/04/2022	116,85	117,06	116,28	116,80
01/04/2022	116,58	117,22	116,56	117,20
31/03/2022	115,91	116,45	115,57	115,60
30/03/2022	115,80	116,10	115,33	115,90
29/03/2022	115,82	116,42	115,10	115,75
28/03/2022	114,89	114,98	113,66	114,51
25/03/2022	115,00	115,24	114,14	114,75
24/03/2022	113,35	114,86	112,80	114,74
23/03/2022	113,13	113,85	112,70	112,90
22/03/2022	112,67	113,26	112,54	113,10
21/03/2022	111,19	112,00	110,94	111,94
18/03/2022	108,54	111,02	108,27	110,73
17/03/2022	107,46	108,87	106,90	108,70
16/03/2022	106,00	107,14	105,07	107,14
15/03/2022	105,01	105,57	103,84	104,90
14/03/2022	108,19	108,37	105,64	106,04
11/03/2022	110,13	110,30	107,16	107,70
10/03/2022	109,07	109,44	107,71	109,40
09/03/2022	108,02	109,86	107,59	109,78
08/03/2022	107,88	108,29	106,92	107,29
07/03/2022	110,00	110,32	106,95	107,11
04/03/2022	110,66	110,79	109,26	110,40
03/03/2022	111,09	111,66	110,80	111,02
02/03/2022	110,20	111,16	109,32	111,10
25/02/2022	107,05	108,90	106,55	108,90
24/02/2022	105,24	107,50	105,10	107,48
23/02/2022	109,03	109,60	107,58	107,58
22/02/2022	108,91	109,19	108,11	109,00
21/02/2022	108,95	109,18	107,45	107,45
18/02/2022	109,86	109,96	108,44	108,51
17/02/2022	110,58	110,87	109,10	109,10
16/02/2022	111,06	111,34	110,58	110,77
15/02/2022	109,94	110,60	109,72	110,60
14/02/2022	109,66	109,99	109,11	109,52
11/02/2022	109,90	110,60	108,84	109,31
10/02/2022	108,79	109,62	108,01	109,10
09/02/2022	107,85	108,98	107,61	108,23
08/02/2022	107,04	108,23	106,82	108,23
07/02/2022	107,77	108,24	107,32	107,72
04/02/2022	107,43	108,22	106,22	108,02
03/02/2022	108,04	108,30	107,11	107,77
02/02/2022	109,09	109,20	107,52	107,69
01/02/2022	108,24	109,15	107,95	109,15
31/01/2022	107,29	108,46	107,04	107,98
28/01/2022	107,74	108,80	107,00	107,58
27/01/2022	108,26	108,85	107,50	108,20
26/01/2022	107,43	108,54	106,83	107,39
25/01/2022	103,42	106,64	103,15	106,33
24/01/2022	104,49	104,66	102,65	104,08
21/01/2022	104,46	105,73	104,28	104,70
20/01/2022	104,57	105,79	104,34	104,90
19/01/2022	103,85	104,65	103,64	104,05
18/01/2022	102,27	103,08	101,81	102,85
17/01/2022	102,54	102,91	102,09	102,58
14/01/2022	101,60	103,07	101,09	103,07
13/01/2022	101,20	102,32	101,03	101,55
12/01/2022	100,30	101,92	100,15	101,91
11/01/2022	98,13	100,10	98,01	100,10
10/01/2022	97,96	98,74	97,28	98,43
07/01/2022	97,79	98,70	97,28	98,70
06/01/2022	97,64	98,49	97,41	97,85
05/01/2022	99,29	99,70	97,10	97,10
