Data	Abertura	Máxima	Mínima	Fechamento
31/05/2022	25,17	25,24	24,81	24,93
30/05/2022	25,44	25,80	24,69	24,90
27/05/2022	24,94	25,61	24,93	25,20
26/05/2022	24,68	25,27	24,16	24,95
25/05/2022	23,98	24,77	23,81	24,68
24/05/2022	24,20	24,49	23,64	24,26
23/05/2022	25,00	25,04	24,30	24,44
20/05/2022	24,90	24,95	24,13	24,67
19/05/2022	23,85	24,86	23,77	24,54
18/05/2022	24,83	24,83	23,61	23,87
17/05/2022	24,91	25,45	24,42	24,83
16/05/2022	24,26	24,98	24,04	24,52
13/05/2022	23,71	24,77	23,63	24,25
12/05/2022	22,36	23,74	22,02	23,66
11/05/2022	23,22	23,58	22,36	22,63
10/05/2022	22,91	24,10	22,91	23,37
09/05/2022	21,98	22,86	21,52	22,69
06/05/2022	22,03	22,09	21,38	21,90
05/05/2022	22,46	22,77	21,70	22,12
04/05/2022	22,31	23,16	21,41	23,11
03/05/2022	23,09	23,20	22,34	22,64
02/05/2022	23,15	23,47	22,54	23,08
29/04/2022	24,49	24,59	22,92	23,09
28/04/2022	23,90	24,42	23,50	24,13
27/04/2022	24,01	24,46	23,62	23,84
26/04/2022	24,90	25,10	23,72	23,85
25/04/2022	24,99	25,67	24,81	25,12
22/04/2022	26,05	26,44	25,04	25,27
20/04/2022	26,06	26,26	25,71	26,25
19/04/2022	24,98	26,15	24,94	25,91
18/04/2022	24,89	25,52	24,89	25,25
14/04/2022	25,08	25,47	24,93	25,10
13/04/2022	24,91	25,52	24,83	25,37
12/04/2022	25,47	26,00	24,74	24,80
11/04/2022	25,59	25,59	24,95	25,25
08/04/2022	25,36	25,65	25,19	25,59
07/04/2022	24,91	25,85	24,60	25,64
06/04/2022	25,04	25,38	24,21	25,11
05/04/2022	26,30	26,41	25,13	25,34
04/04/2022	26,63	26,66	26,20	26,38
01/04/2022	26,21	26,92	26,18	26,63
31/03/2022	26,38	26,75	25,79	26,04
30/03/2022	26,97	26,97	26,00	26,34
29/03/2022	27,52	28,08	27,06	27,15
28/03/2022	27,07	27,37	26,57	27,00
25/03/2022	26,71	27,45	26,67	26,96
24/03/2022	26,07	26,90	25,93	26,55
23/03/2022	25,57	26,45	25,16	26,04
22/03/2022	25,30	25,90	25,19	25,69
21/03/2022	25,47	25,80	24,43	24,97
18/03/2022	25,10	26,01	24,88	25,60
17/03/2022	24,35	25,31	24,08	25,14
16/03/2022	23,70	24,68	23,50	24,46
15/03/2022	23,70	24,13	22,97	23,71
14/03/2022	24,28	24,79	23,51	23,59
11/03/2022	24,48	25,04	23,73	24,06
10/03/2022	24,80	24,80	23,83	24,44
09/03/2022	23,95	25,45	23,95	25,05
08/03/2022	23,20	23,95	22,76	23,44
07/03/2022	24,12	24,13	22,76	23,00
04/03/2022	24,81	25,04	23,75	24,08
03/03/2022	24,90	25,32	24,36	24,77
02/03/2022	25,73	26,30	24,52	24,93
25/02/2022	25,46	25,96	25,00	25,69
24/02/2022	24,01	26,16	23,86	25,66
23/02/2022	25,54	26,64	25,01	25,24
22/02/2022	24,78	25,68	24,75	25,59
21/02/2022	25,00	25,34	24,04	24,51
