Data	Abertura	Máxima	Mínima	Fechamento
31/05/2022	8,14	8,19	8,04	8,09
30/05/2022	8,18	8,27	7,97	8,12
27/05/2022	8,23	8,29	8,05	8,15
26/05/2022	7,76	8,25	7,71	8,21
25/05/2022	8,14	8,14	7,61	7,71
24/05/2022	8,31	8,44	8,04	8,14
23/05/2022	8,30	8,64	8,28	8,50
20/05/2022	8,70	8,70	7,99	8,21
19/05/2022	8,53	8,82	8,48	8,52
18/05/2022	8,59	8,71	8,46	8,50
17/05/2022	8,77	8,92	8,56	8,64
16/05/2022	8,65	8,74	8,39	8,61
13/05/2022	8,75	8,92	8,53	8,64
12/05/2022	8,42	8,79	8,27	8,61
11/05/2022	8,47	8,86	8,44	8,49
10/05/2022	8,34	8,62	8,24	8,53
09/05/2022	8,22	8,39	8,08	8,20
06/05/2022	8,39	8,63	8,30	8,46
05/05/2022	8,88	8,96	8,18	8,47
04/05/2022	8,47	9,18	8,42	9,13
03/05/2022	8,86	8,90	8,50	8,63
02/05/2022	9,25	9,38	8,54	8,76
29/04/2022	9,99	10,12	9,32	9,33
28/04/2022	9,63	9,97	9,48	9,85
27/04/2022	9,76	9,86	9,50	9,65
26/04/2022	9,52	9,70	9,38	9,61
25/04/2022	9,39	9,74	9,31	9,64
22/04/2022	9,65	9,65	9,41	9,51
20/04/2022	10,11	10,11	9,86	9,90
19/04/2022	9,76	10,24	9,52	10,08
18/04/2022	9,49	9,87	9,38	9,81
14/04/2022	9,62	9,78	9,58	9,61
13/04/2022	9,66	9,78	9,48	9,70
12/04/2022	10,01	10,13	9,55	9,57
11/04/2022	9,80	9,92	9,75	9,82
08/04/2022	10,16	10,22	9,90	9,98
07/04/2022	10,01	10,31	9,98	10,24
06/04/2022	10,72	10,79	10,02	10,08
05/04/2022	11,02	11,23	10,83	10,85
04/04/2022	11,22	11,30	10,86	11,02
01/04/2022	10,67	11,25	10,43	11,16
31/03/2022	10,97	11,06	10,53	10,56
30/03/2022	10,42	11,14	10,26	10,93
29/03/2022	10,48	10,69	10,14	10,35
28/03/2022	10,61	10,66	10,05	10,23
25/03/2022	10,81	10,91	10,41	10,58
24/03/2022	10,53	11,11	10,51	10,78
23/03/2022	10,44	10,64	10,19	10,46
22/03/2022	10,07	10,52	10,07	10,45
21/03/2022	10,34	10,35	9,83	9,98
18/03/2022	9,81	10,36	9,77	10,30
17/03/2022	9,63	9,88	9,56	9,86
16/03/2022	9,77	10,05	9,39	9,72
15/03/2022	9,58	9,73	9,37	9,58
14/03/2022	10,13	10,34	9,57	9,70
11/03/2022	10,62	10,72	10,08	10,12
10/03/2022	10,70	10,82	10,38	10,55
09/03/2022	10,22	10,91	10,20	10,88
08/03/2022	9,74	10,23	9,60	10,11
07/03/2022	9,78	10,06	9,51	9,75
04/03/2022	9,96	10,04	9,72	9,94
03/03/2022	9,95	10,42	9,90	10,02
02/03/2022	9,98	10,16	9,84	9,99
25/02/2022	10,18	10,20	9,92	9,98
24/02/2022	9,49	10,29	9,36	10,10
23/02/2022	10,25	10,52	9,95	9,96
