Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	28,48	29,44	28,33	29,21
31/05/2022	28,66	28,76	28,22	28,58
30/05/2022	28,26	28,81	28,26	28,40
27/05/2022	28,05	28,58	28,04	28,12
26/05/2022	28,04	28,18	27,76	27,91
25/05/2022	27,80	28,35	27,68	28,06
24/05/2022	27,41	27,94	27,20	27,85
23/05/2022	27,70	28,08	27,58	27,69
20/05/2022	27,32	27,53	27,06	27,25
19/05/2022	26,16	26,92	26,04	26,66
18/05/2022	26,94	27,06	26,12	26,22
17/05/2022	27,70	27,75	26,88	27,22
16/05/2022	26,75	27,50	26,71	27,13
13/05/2022	26,49	26,90	26,44	26,52
12/05/2022	26,06	26,44	25,87	26,39
11/05/2022	25,92	26,86	25,80	26,60
10/05/2022	26,30	26,39	25,42	25,55
09/05/2022	26,65	26,72	26,16	26,21
06/05/2022	27,50	27,81	26,93	27,20
05/05/2022	27,63	28,04	27,27	27,68
04/05/2022	27,39	27,98	27,01	27,79
03/05/2022	27,38	27,84	27,29	27,59
02/05/2022	28,00	28,00	26,93	27,38
29/04/2022	28,84	29,07	27,71	27,71
28/04/2022	28,61	28,71	27,61	28,35
27/04/2022	27,43	28,23	27,24	27,75
26/04/2022	27,34	27,34	26,63	26,80
25/04/2022	26,69	27,61	26,53	27,30
22/04/2022	28,29	28,29	27,38	27,81
20/04/2022	29,14	29,31	28,42	28,90
19/04/2022	29,93	29,99	29,00	29,45
18/04/2022	30,74	30,74	29,80	30,17
14/04/2022	30,47	31,16	30,40	30,81
13/04/2022	30,73	30,88	30,31	30,54
12/04/2022	31,23	31,45	30,59	30,59
11/04/2022	30,91	31,16	30,60	30,91
08/04/2022	31,64	31,80	30,75	31,08
07/04/2022	31,53	31,98	31,30	31,70
06/04/2022	31,64	32,01	31,33	31,91
05/04/2022	32,16	32,40	31,66	31,74
04/04/2022	32,35	32,52	32,05	32,25
01/04/2022	31,78	32,25	31,52	32,20
31/03/2022	31,70	31,94	31,30	31,30
30/03/2022	31,52	31,69	31,09	31,54
29/03/2022	32,23	32,43	30,98	31,15
28/03/2022	32,15	32,18	31,25	31,83
25/03/2022	32,90	33,07	31,57	31,86
24/03/2022	33,23	33,51	32,50	32,74
23/03/2022	33,93	34,20	33,12	33,45
22/03/2022	34,54	34,58	33,59	33,85
21/03/2022	33,96	35,08	33,80	34,48
18/03/2022	32,89	33,43	32,74	33,31
17/03/2022	32,18	32,96	32,18	32,76
16/03/2022	31,64	32,28	31,20	31,77
15/03/2022	30,62	31,31	30,37	31,04
14/03/2022	32,07	32,26	31,00	31,32
11/03/2022	32,65	33,09	32,17	32,45
10/03/2022	31,95	33,19	31,55	32,84
09/03/2022	32,41	32,53	31,79	32,16
08/03/2022	34,06	34,43	32,42	32,78
07/03/2022	33,13	33,95	32,83	33,75
04/03/2022	30,74	32,58	30,67	32,58
03/03/2022	30,50	31,10	30,30	31,03
02/03/2022	30,32	30,88	29,56	30,36
25/02/2022	27,21	28,69	26,94	28,50
24/02/2022	26,48	27,57	26,07	27,44
23/02/2022	28,18	28,33	27,26	27,27
22/02/2022	28,15	28,24	27,50	27,87
21/02/2022	27,74	28,18	27,54	28,04
18/02/2022	27,64	27,86	27,43	27,49
17/02/2022	28,07	28,09	27,38	27,38
16/02/2022	28,39	28,85	28,17	28,25
15/02/2022	28,72	28,96	28,12	28,30
14/02/2022	29,33	29,71	29,13	29,38
11/02/2022	29,27	29,76	28,83	29,59
10/02/2022	28,80	29,54	28,74	29,27
09/02/2022	27,98	28,83	27,72	28,57
08/02/2022	28,10	28,39	27,71	28,24
07/02/2022	27,24	28,15	27,24	27,92
04/02/2022	26,59	27,23	26,56	27,20
03/02/2022	26,70	26,76	26,31	26,63
02/02/2022	26,42	26,81	26,07	26,62
01/02/2022	25,31	26,54	25,31	26,31
31/01/2022	25,63	25,76	25,13	25,39
28/01/2022	25,81	25,94	25,43	25,66
27/01/2022	26,01	26,02	25,17	25,55
26/01/2022	26,02	26,63	25,53	25,63
25/01/2022	25,36	25,82	25,26	25,64
24/01/2022	25,91	25,93	24,99	25,40
21/01/2022	26,63	26,65	25,91	26,16
20/01/2022	27,26	27,51	26,64	26,80
19/01/2022	26,63	27,43	26,60	27,16
18/01/2022	25,94	26,72	25,94	26,36
17/01/2022	25,88	26,25	25,79	25,90
14/01/2022	25,74	26,10	25,25	26,04
13/01/2022	26,02	26,17	25,69	25,91
12/01/2022	26,16	26,53	26,03	26,25
11/01/2022	25,34	26,30	25,25	25,82
10/01/2022	25,02	25,42	24,77	25,22
07/01/2022	24,33	25,23	24,18	25,22
06/01/2022	23,71	24,49	23,69	24,27
05/01/2022	23,50	23,96	23,23	23,60
04/01/2022	23,61	23,86	23,32	23,54
03/01/2022	23,82	24,17	23,30	23,32
30/12/2021	23,27	23,74	23,12	23,64
29/12/2021	23,13	23,33	22,91	23,17
28/12/2021	23,32	23,48	22,91	23,18
27/12/2021	22,76	23,32	22,66	23,32
23/12/2021	22,58	22,83	22,42	22,72
22/12/2021	22,17	22,92	22,11	22,55
21/12/2021	21,59	22,36	21,46	22,30
20/12/2021	21,76	22,15	20,84	21,13
17/12/2021	22,24	22,85	20,35	21,89
16/12/2021	21,66	22,03	21,47	21,76
15/12/2021	21,52	21,61	21,03	21,28
14/12/2021	21,71	21,71	21,36	21,45
13/12/2021	21,29	21,90	21,29	21,48
10/12/2021	20,96	21,17	20,74	20,88
09/12/2021	20,86	20,93	20,67	20,81
08/12/2021	21,25	21,26	20,83	20,97
07/12/2021	21,46	21,86	20,90	21,04
06/12/2021	20,32	21,06	20,27	20,88
03/12/2021	20,53	20,77	19,83	20,17
02/12/2021	19,73	20,53	19,55	20,45
01/12/2021	19,70	19,94	19,45	19,48
30/11/2021	19,19	19,70	19,12	19,41
29/11/2021	19,47	19,59	19,12	19,19
26/11/2021	18,91	19,09	18,70	19,05
25/11/2021	19,58	19,70	19,19	19,52
24/11/2021	19,21	19,50	19,08	19,43
23/11/2021	19,37	20,01	19,02	19,17
22/11/2021	18,23	19,01	18,16	18,74
19/11/2021	17,69	18,15	17,66	17,94
18/11/2021	18,33	18,34	17,38	17,53
