Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	4,83	4,92	4,81	4,85
31/05/2022	4,78	4,91	4,78	4,83
30/05/2022	4,75	4,79	4,71	4,76
27/05/2022	4,72	4,84	4,69	4,73
26/05/2022	4,58	4,70	4,58	4,67
25/05/2022	4,62	4,66	4,59	4,60
24/05/2022	4,51	4,67	4,47	4,62
23/05/2022	4,71	4,80	4,62	4,64
20/05/2022	4,56	4,70	4,55	4,61
19/05/2022	4,11	4,48	4,10	4,45
18/05/2022	4,24	4,24	4,08	4,08
17/05/2022	4,41	4,45	4,27	4,27
16/05/2022	4,38	4,39	4,27	4,32
13/05/2022	4,25	4,38	4,21	4,34
12/05/2022	4,26	4,26	4,14	4,19
11/05/2022	4,33	4,48	4,29	4,33
10/05/2022	4,58	4,65	4,28	4,28
09/05/2022	4,69	4,69	4,56	4,61
06/05/2022	4,87	4,90	4,74	4,76
05/05/2022	5,15	5,20	4,86	4,89
04/05/2022	5,01	5,30	4,95	5,24
03/05/2022	4,88	5,12	4,83	5,04
02/05/2022	4,81	4,87	4,69	4,84
29/04/2022	4,80	4,93	4,70	4,74
28/04/2022	4,78	4,81	4,66	4,74
27/04/2022	4,75	4,80	4,69	4,71
26/04/2022	4,87	4,89	4,62	4,62
25/04/2022	4,80	4,89	4,75	4,87
22/04/2022	5,02	5,08	4,90	4,92
20/04/2022	5,26	5,28	5,07	5,08
19/04/2022	5,25	5,31	5,21	5,30
18/04/2022	5,27	5,33	5,21	5,30
14/04/2022	5,30	5,33	5,26	5,31
13/04/2022	5,27	5,42	5,27	5,34
12/04/2022	5,45	5,45	5,23	5,29
11/04/2022	5,24	5,40	5,21	5,35
08/04/2022	5,33	5,35	5,21	5,31
07/04/2022	5,32	5,40	5,29	5,36
06/04/2022	5,44	5,44	5,31	5,39
05/04/2022	5,63	5,63	5,42	5,43
04/04/2022	5,59	5,74	5,57	5,65
01/04/2022	5,55	5,67	5,54	5,58
31/03/2022	5,59	5,63	5,50	5,50
30/03/2022	5,56	5,72	5,52	5,57
29/03/2022	5,61	5,64	5,48	5,50
28/03/2022	5,65	5,67	5,53	5,55
25/03/2022	5,61	5,74	5,59	5,61
24/03/2022	5,59	5,63	5,51	5,60
23/03/2022	5,68	5,74	5,57	5,57
22/03/2022	5,60	5,77	5,59	5,68
21/03/2022	5,59	5,68	5,54	5,62
18/03/2022	5,27	5,60	5,24	5,60
17/03/2022	5,23	5,31	5,19	5,24
16/03/2022	5,47	5,49	5,11	5,17
15/03/2022	5,46	5,46	5,17	5,21
14/03/2022	5,79	5,88	5,48	5,51
11/03/2022	5,96	6,14	5,87	5,87
10/03/2022	5,93	6,08	5,76	5,93
09/03/2022	5,93	6,19	5,87	6,12
08/03/2022	6,24	6,29	5,95	5,95
07/03/2022	6,21	6,38	6,12	6,18
04/03/2022	6,04	6,16	5,94	6,14
03/03/2022	5,96	6,19	5,96	6,04
02/03/2022	5,85	5,94	5,75	5,91
25/02/2022	5,47	5,69	5,47	5,65
24/02/2022	5,33	5,58	5,27	5,54
23/02/2022	5,70	5,79	5,59	5,59
22/02/2022	5,68	5,75	5,64	5,71
21/02/2022	5,83	5,88	5,58	5,63
18/02/2022	5,92	5,92	5,73	5,74
17/02/2022	5,99	6,01	5,81	5,82
16/02/2022	6,08	6,18	6,02	6,05
15/02/2022	5,96	6,10	5,94	6,06
14/02/2022	5,97	6,13	5,95	6,08
11/02/2022	6,26	6,29	6,02	6,02
10/02/2022	6,42	6,52	6,24	6,26
09/02/2022	6,45	6,47	6,27	6,33
08/02/2022	6,50	6,57	6,42	6,45
07/02/2022	6,53	6,62	6,47	6,49
04/02/2022	6,53	6,57	6,37	6,49
03/02/2022	6,54	6,58	6,45	6,53
02/02/2022	6,57	6,72	6,52	6,54
01/02/2022	6,35	6,62	6,35	6,56
31/01/2022	6,50	6,51	6,34	6,36
28/01/2022	6,64	6,64	6,47	6,52
27/01/2022	6,66	6,74	6,45	6,49
26/01/2022	6,66	6,86	6,58	6,59
25/01/2022	6,38	6,66	6,33	6,59
24/01/2022	6,45	6,46	6,30	6,38
21/01/2022	6,55	6,71	6,54	6,55
20/01/2022	6,68	6,82	6,58	6,58
19/01/2022	6,76	6,84	6,63	6,66
18/01/2022	6,41	6,63	6,35	6,56
17/01/2022	6,50	6,56	6,41	6,42
14/01/2022	6,52	6,59	6,45	6,55
13/01/2022	6,60	6,71	6,51	6,53
12/01/2022	6,54	6,78	6,41	6,66
11/01/2022	6,37	6,56	6,35	6,38
10/01/2022	6,28	6,41	6,10	6,37
07/01/2022	6,28	6,50	6,17	6,36
