Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	19,35	19,40	18,74	18,74
31/05/2022	19,57	19,73	19,23	19,35
30/05/2022	19,65	19,74	19,39	19,41
27/05/2022	19,94	19,94	19,49	19,56
26/05/2022	19,61	19,92	19,61	19,79
25/05/2022	19,67	19,77	19,36	19,59
24/05/2022	19,33	19,92	19,33	19,83
23/05/2022	19,95	20,00	19,38	19,49
20/05/2022	19,76	19,84	19,39	19,77
19/05/2022	19,06	19,70	18,92	19,53
18/05/2022	19,66	19,75	19,00	19,05
17/05/2022	19,53	19,85	19,37	19,74
16/05/2022	19,23	19,52	19,19	19,36
13/05/2022	19,62	19,70	19,21	19,29
12/05/2022	19,11	19,57	19,04	19,52
11/05/2022	19,37	19,38	19,03	19,18
10/05/2022	19,25	19,53	18,93	19,32
09/05/2022	18,77	19,14	18,47	19,07
06/05/2022	20,20	20,20	18,75	18,87
05/05/2022	20,26	20,42	19,79	20,30
04/05/2022	20,26	20,58	19,96	20,48
03/05/2022	20,40	20,49	20,09	20,27
02/05/2022	20,41	20,76	19,88	20,45
29/04/2022	21,15	21,15	20,38	20,57
28/04/2022	20,90	21,16	20,80	20,96
27/04/2022	21,20	21,20	20,76	21,05
26/04/2022	21,16	21,42	20,83	20,94
25/04/2022	21,28	21,46	20,99	21,38
22/04/2022	21,40	21,65	21,19	21,36
20/04/2022	22,10	22,29	21,61	21,73
19/04/2022	22,53	22,53	21,83	22,04
18/04/2022	22,98	23,16	22,90	23,03
14/04/2022	23,21	23,35	22,88	23,09
13/04/2022	23,44	23,68	23,17	23,25
12/04/2022	23,71	24,16	23,28	23,34
11/04/2022	23,07	23,99	23,06	23,54
08/04/2022	23,13	23,41	22,87	23,28
07/04/2022	23,21	23,56	23,10	23,23
06/04/2022	23,39	23,48	23,02	23,34
05/04/2022	23,29	23,50	22,94	23,39
04/04/2022	22,40	23,24	22,40	23,15
01/04/2022	22,58	23,04	22,08	22,51
31/03/2022	22,18	22,59	22,13	22,50
30/03/2022	21,90	22,24	21,56	22,18
29/03/2022	22,65	22,67	21,83	21,83
28/03/2022	22,78	22,89	21,98	22,18
25/03/2022	21,84	22,82	21,80	22,69
24/03/2022	21,68	21,97	21,40	21,97
23/03/2022	21,47	21,86	21,31	21,56
22/03/2022	20,99	21,71	20,97	21,56
21/03/2022	20,83	20,93	20,38	20,93
18/03/2022	19,78	20,87	19,55	20,85
17/03/2022	19,70	19,94	19,28	19,94
16/03/2022	19,69	19,90	19,21	19,78
15/03/2022	19,37	19,74	19,25	19,66
14/03/2022	19,38	19,70	19,27	19,53
11/03/2022	19,64	19,81	19,20	19,38
10/03/2022	19,25	19,66	18,84	19,50
09/03/2022	18,91	19,60	18,78	19,48
08/03/2022	19,19	19,33	18,65	18,91
07/03/2022	19,32	19,45	19,00	19,16
04/03/2022	20,10	20,10	19,23	19,66
03/03/2022	19,77	20,18	19,60	20,16
02/03/2022	19,03	19,90	19,02	19,90
25/02/2022	18,13	19,03	18,05	19,03
24/02/2022	17,65	18,28	17,36	18,28
23/02/2022	18,04	18,08	17,76	17,90
22/02/2022	17,46	18,19	17,28	18,19
21/02/2022	17,34	17,39	17,08	17,34
18/02/2022	17,20	17,53	17,03	17,38
17/02/2022	16,65	17,51	16,65	17,09
16/02/2022	16,27	17,41	16,19	16,83
15/02/2022	16,37	16,46	15,95	15,99
14/02/2022	16,60	16,96	16,23	16,28
11/02/2022	16,82	16,95	16,59	16,63
10/02/2022	16,40	16,73	16,38	16,73
09/02/2022	16,01	16,58	15,99	16,38
08/02/2022	15,74	15,92	15,59	15,85
07/02/2022	15,87	16,03	15,65	15,90
04/02/2022	16,45	16,45	15,51	15,79
03/02/2022	16,52	16,84	16,42	16,43
02/02/2022	16,61	16,78	16,34	16,55
01/02/2022	16,65	16,73	16,37	16,60
31/01/2022	16,48	16,73	16,29	16,65
28/01/2022	16,41	16,74	16,29	16,52
27/01/2022	15,79	16,56	15,65	16,53
26/01/2022	15,49	15,84	15,25	15,64
25/01/2022	14,98	15,48	14,83	15,45
24/01/2022	14,83	15,01	14,61	14,94
21/01/2022	14,63	14,86	14,51	14,86
20/01/2022	15,12	15,16	14,51	14,64
19/01/2022	14,66	15,06	14,56	15,03
18/01/2022	14,48	14,67	14,19	14,60
17/01/2022	14,32	14,63	14,28	14,48
14/01/2022	14,19	14,39	13,87	14,39
13/01/2022	14,48	14,54	14,01	14,19
12/01/2022	14,20	14,53	14,05	14,48
11/01/2022	13,97	14,25	13,97	14,23
10/01/2022	13,88	14,33	13,72	14,05
07/01/2022	14,18	14,29	13,93	13,95
06/01/2022	14,06	14,73	13,97	14,26
05/01/2022	14,16	14,53	13,95	13,95
04/01/2022	14,31	14,38	14,15	14,27
03/01/2022	15,16	15,18	14,25	14,31
30/12/2021	14,98	15,29	14,88	15,24
29/12/2021	15,23	15,23	14,83	14,91
28/12/2021	15,47	15,51	15,06	15,20
27/12/2021	15,36	15,56	15,30	15,46
23/12/2021	15,24	15,41	15,11	15,38
22/12/2021	15,31	15,32	14,82	15,29
21/12/2021	15,50	15,54	15,17	15,31
20/12/2021	15,72	15,85	15,34	15,50
17/12/2021	15,80	15,93	15,67	15,80
16/12/2021	15,60	16,08	15,60	15,97
15/12/2021	15,31	15,67	15,27	15,54
14/12/2021	15,28	15,61	15,07	15,22
13/12/2021	15,55	15,61	15,25	15,25
10/12/2021	14,89	15,63	14,88	15,54
09/12/2021	14,85	14,86	14,48	14,80
08/12/2021	14,92	15,03	14,68	14,92
07/12/2021	15,29	15,31	14,69	14,84
06/12/2021	14,85	15,18	14,84	15,08
03/12/2021	14,98	15,31	14,68	14,77
02/12/2021	15,18	15,24	14,72	14,96
01/12/2021	15,43	15,54	14,88	15,02
30/11/2021	15,49	15,61	15,17	15,32
29/11/2021	15,87	15,88	15,53	15,53
26/11/2021	15,99	16,02	15,61	15,65
25/11/2021	16,09	16,50	16,08	16,32
24/11/2021	15,92	16,27	15,79	16,08
23/11/2021	15,88	16,00	15,50	16,00
22/11/2021	16,12	16,30	15,69	15,79
19/11/2021	15,96	16,39	15,91	16,13
18/11/2021	16,18	16,36	15,80	15,99
17/11/2021	16,54	16,58	15,98	16,16
16/11/2021	17,10	17,17	16,31	16,47
12/11/2021	16,46	17,10	16,33	16,94
11/11/2021	16,60	16,63	16,35	16,42
10/11/2021	16,93	17,14	16,33	16,48
09/11/2021	16,64	17,38	16,64	17,11
08/11/2021	16,29	16,89	16,26	16,62
05/11/2021	16,69	16,84	16,29	16,40
04/11/2021	16,85	16,97	16,27	16,57
03/11/2021	16,83	17,25	16,70	16,90
01/11/2021	16,43	16,98	16,36	16,87
29/10/2021	16,78	16,81	16,25	16,25
28/10/2021	16,71	16,95	16,53	16,69
27/10/2021	16,72	17,10	16,72	16,83
26/10/2021	16,51	17,01	16,50	16,76
25/10/2021	16,53	16,92	16,38	16,73
22/10/2021	16,45	16,80	16,03	16,43
21/10/2021	16,95	17,01	16,28	16,63
20/10/2021	17,77	17,79	17,12	17,19
19/10/2021	18,16	18,20	17,47	17,64
18/10/2021	18,11	18,41	17,97	18,29
15/10/2021	17,59	18,41	17,54	18,21
14/10/2021	17,93	17,97	17,50	17,57
13/10/2021	17,46	17,94	17,46	17,88
11/10/2021	17,64	18,00	17,42	17,55
08/10/2021	17,56	17,79	17,42	17,66
07/10/2021	17,60	17,73	17,38	17,41
06/10/2021	17,44	17,75	17,26	17,75
05/10/2021	17,22	17,77	17,07	17,63
04/10/2021	17,22	17,27	16,97	17,20
01/10/2021	17,35	17,40	17,01	17,33
30/09/2021	17,09	17,46	16,87	17,34
29/09/2021	17,24	17,32	16,89	17,01
28/09/2021	17,17	17,37	16,97	17,20
27/09/2021	17,79	17,92	17,02	17,24
24/09/2021	17,75	18,14	17,52	17,72
23/09/2021	17,76	17,90	17,65	17,90
22/09/2021	17,85	17,92	17,65	17,73
21/09/2021	17,60	17,86	17,43	17,67
20/09/2021	17,56	17,92	17,47	17,56
17/09/2021	17,67	17,98	17,48	17,78
16/09/2021	18,01	18,23	17,65	17,71
15/09/2021	18,22	18,22	17,85	18,14
14/09/2021	18,37	18,45	18,09	18,23
13/09/2021	18,15	18,54	18,01	18,30
10/09/2021	18,13	18,32	17,83	17,98
09/09/2021	17,40	18,16	17,32	18,06
08/09/2021	18,30	18,40	17,38	17,49
06/09/2021	17,88	18,34	17,81	18,33
03/09/2021	17,79	17,93	17,62	17,89
02/09/2021	17,70	17,87	17,50	17,72
01/09/2021	17,71	17,95	17,44	17,75
31/08/2021	18,27	18,34	17,62	17,72
30/08/2021	18,21	18,29	18,06	18,25
27/08/2021	18,06	18,31	17,97	18,31
26/08/2021	18,31	18,47	18,01	18,01
25/08/2021	18,28	18,45	18,08	18,44
24/08/2021	18,51	18,51	18,25	18,42
23/08/2021	18,75	18,75	18,04	18,35
20/08/2021	18,28	18,75	18,24	18,75
19/08/2021	17,51	18,51	17,45	18,43
18/08/2021	17,63	17,85	17,42	17,67
17/08/2021	18,04	18,09	17,45	17,68
16/08/2021	18,24	18,39	17,94	18,12
13/08/2021	18,55	18,55	18,20	18,39
12/08/2021	18,42	18,70	18,29	18,50
11/08/2021	18,34	18,65	18,27	18,52
10/08/2021	18,52	18,55	18,21	18,38
09/08/2021	18,72	18,92	18,45	18,50
06/08/2021	18,41	18,77	18,27	18,70
05/08/2021	18,65	18,66	18,19	18,41
04/08/2021	18,61	18,73	18,32	18,61
03/08/2021	18,39	18,67	18,23	18,67
02/08/2021	18,53	18,75	18,30	18,42
30/07/2021	18,60	18,87	18,17	18,54
29/07/2021	19,04	19,04	18,59	18,78
28/07/2021	19,25	19,29	18,74	19,08
27/07/2021	19,43	19,61	19,11	19,33
26/07/2021	19,29	19,53	19,04	19,41
23/07/2021	19,53	19,62	19,15	19,24
22/07/2021	19,60	19,75	19,45	19,53
21/07/2021	19,73	19,77	19,52	19,59
20/07/2021	19,80	19,87	19,63	19,71
19/07/2021	20,02	20,10	19,62	19,80
16/07/2021	20,29	20,32	20,04	20,16
15/07/2021	20,40	20,48	20,05	20,18
14/07/2021	20,36	20,61	20,09	20,47
13/07/2021	20,02	20,22	19,87	20,20
12/07/2021	20,26	20,32	19,78	20,06
08/07/2021	20,08	20,32	19,93	20,28
07/07/2021	20,28	20,52	20,13	20,40
06/07/2021	20,46	20,49	19,97	20,15
05/07/2021	20,73	20,79	20,50	20,51
02/07/2021	20,48	20,89	20,17	20,81
01/07/2021	20,45	20,50	20,10	20,40
30/06/2021	20,51	20,72	20,35	20,50
29/06/2021	20,87	20,89	20,29	20,65
28/06/2021	20,88	20,98	20,60	20,91
25/06/2021	21,20	21,20	20,75	20,88
24/06/2021	20,88	21,21	20,81	21,12
23/06/2021	20,84	20,92	20,62	20,78
22/06/2021	21,12	21,13	20,49	20,96
21/06/2021	21,48	21,70	21,13	21,14
18/06/2021	21,31	21,56	20,87	21,56
17/06/2021	21,44	21,58	21,11	21,29
16/06/2021	21,89	21,92	21,29	21,48
15/06/2021	22,04	22,05	21,81	21,84
14/06/2021	22,17	22,21	21,78	21,99
11/06/2021	23,00	23,00	22,02	22,04
10/06/2021	22,28	23,19	22,20	22,95
09/06/2021	22,05	22,47	22,05	22,23
08/06/2021	22,44	22,64	21,99	22,22
07/06/2021	22,25	22,62	22,06	22,41
04/06/2021	22,20	22,30	22,03	22,18
02/06/2021	21,84	22,32	21,81	22,21
01/06/2021	21,90	21,94	21,60	21,81
31/05/2021	21,32	21,80	21,13	21,80
28/05/2021	21,07	21,57	20,90	21,32
27/05/2021	21,03	21,82	21,03	21,07
26/05/2021	20,97	21,05	20,53	20,92
25/05/2021	21,18	21,30	20,66	20,84
24/05/2021	20,67	21,36	20,53	21,11
21/05/2021	20,06	20,68	20,06	20,63
20/05/2021	19,92	20,21	19,84	20,12
19/05/2021	19,75	20,28	19,71	19,89
18/05/2021	19,72	20,03	19,54	19,94
17/05/2021	20,01	20,11	19,67	19,75
14/05/2021	20,38	20,38	19,87	20,01
13/05/2021	19,90	20,35	19,78	20,16
12/05/2021	20,61	20,61	19,75	19,83
11/05/2021	20,48	20,92	20,40	20,92
10/05/2021	21,31	21,31	20,53	20,80
07/05/2021	20,64	21,01	20,37	20,91
06/05/2021	21,07	21,09	20,50	20,53
05/05/2021	20,57	21,09	20,39	21,07
04/05/2021	20,70	20,78	20,37	20,56
03/05/2021	21,13	21,26	20,55	20,70
30/04/2021	21,39	21,57	21,03	21,13
29/04/2021	21,32	21,58	21,19	21,58
28/04/2021	21,18	21,42	21,11	21,32
27/04/2021	21,49	21,54	21,02	21,15
26/04/2021	22,00	22,07	21,25	21,49
23/04/2021	21,76	22,02	21,61	21,98
22/04/2021	22,45	22,45	21,58	21,61
20/04/2021	21,78	22,58	21,77	22,31
19/04/2021	22,15	22,23	21,51	21,60
16/04/2021	21,92	22,19	21,89	22,19
15/04/2021	21,81	22,04	21,69	22,04
14/04/2021	22,12	22,20	21,55	21,73
13/04/2021	22,19	22,26	21,91	22,03
12/04/2021	22,11	22,27	21,91	22,20
09/04/2021	22,39	22,65	21,91	22,11
08/04/2021	22,25	22,60	22,08	22,60
07/04/2021	22,29	22,52	21,95	22,25
06/04/2021	22,49	22,56	22,08	22,37
05/04/2021	22,06	22,64	21,99	22,64
01/04/2021	22,28	22,30	21,66	21,83
31/03/2021	21,87	22,31	21,50	22,22
30/03/2021	21,21	21,93	21,21	21,90
29/03/2021	21,14	21,46	21,07	21,36
26/03/2021	21,08	21,48	21,01	21,26
25/03/2021	20,77	21,39	20,63	21,19
24/03/2021	20,95	21,44	20,43	20,79
23/03/2021	18,29	18,74	18,16	18,44
22/03/2021	18,20	18,55	18,20	18,44
19/03/2021	18,13	18,44	18,01	18,39
18/03/2021	18,16	18,27	17,92	18,03
17/03/2021	18,04	18,40	17,92	18,31
16/03/2021	18,24	18,26	17,94	18,07
15/03/2021	18,37	18,37	18,06	18,25
12/03/2021	18,30	18,40	18,04	18,40
11/03/2021	18,37	18,55	17,95	18,44
10/03/2021	18,23	18,37	17,72	18,32
09/03/2021	17,90	18,20	17,82	18,20
08/03/2021	18,51	18,55	17,77	17,98
05/03/2021	18,72	18,79	18,12	18,75
04/03/2021	18,18	18,86	18,02	18,57
03/03/2021	17,96	18,21	17,42	17,98
02/03/2021	18,05	18,20	17,58	18,10
01/03/2021	18,29	18,56	18,01	18,24
26/02/2021	18,92	18,95	18,11	18,19
25/02/2021	18,86	19,26	18,67	18,86
24/02/2021	19,56	19,62	18,83	18,95
23/02/2021	19,38	19,83	19,26	19,46
22/02/2021	19,26	19,61	19,20	19,38
19/02/2021	19,67	20,02	19,55	19,77
18/02/2021	19,52	19,80	19,24	19,71
17/02/2021	19,30	19,35	18,98	19,26
12/02/2021	19,36	19,40	19,12	19,28
11/02/2021	18,71	19,53	18,71	19,41
10/02/2021	18,66	18,85	18,49	18,57
09/02/2021	18,73	18,95	18,57	18,65
08/02/2021	18,68	19,01	18,57	18,83
05/02/2021	18,63	18,85	18,57	18,68
04/02/2021	18,75	18,96	18,46	18,56
03/02/2021	18,68	18,99	18,64	18,79
02/02/2021	18,81	19,01	18,53	18,64
01/02/2021	18,36	18,70	18,21	18,60
29/01/2021	18,54	18,66	18,19	18,22
28/01/2021	18,41	18,79	18,32	18,64
27/01/2021	18,37	18,77	18,36	18,45
26/01/2021	18,22	18,79	18,13	18,42
22/01/2021	18,19	18,31	18,07	18,22
21/01/2021	18,78	18,95	18,28	18,33
20/01/2021	19,13	19,31	18,70	18,70
19/01/2021	19,28	19,43	18,93	19,08
18/01/2021	18,70	19,31	18,60	19,14
15/01/2021	19,23	19,57	19,05	19,42
14/01/2021	19,37	19,90	19,15	19,68
13/01/2021	20,63	20,99	19,30	19,48
