Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	21,93	22,40	21,71	22,18
31/05/2022	22,32	22,46	21,53	21,84
30/05/2022	22,51	22,64	21,85	22,17
27/05/2022	21,77	22,50	21,76	22,30
26/05/2022	21,01	21,77	20,93	21,63
25/05/2022	20,99	21,10	20,48	21,00
24/05/2022	20,17	20,96	19,93	20,96
23/05/2022	20,26	20,81	20,06	20,63
20/05/2022	19,57	19,88	19,26	19,84
19/05/2022	17,55	19,12	17,45	18,90
18/05/2022	18,33	18,46	17,60	17,63
17/05/2022	18,70	19,21	18,61	18,72
16/05/2022	18,11	18,68	18,02	18,40
13/05/2022	17,50	18,22	17,37	17,92
12/05/2022	17,60	17,89	16,96	17,24
11/05/2022	18,40	18,99	18,19	18,25
10/05/2022	19,24	19,30	17,66	17,96
09/05/2022	19,33	19,51	18,97	19,07
06/05/2022	19,99	20,35	19,56	19,97
05/05/2022	21,16	21,36	19,51	20,20
04/05/2022	20,73	21,47	20,35	21,47
03/05/2022	20,08	20,92	20,08	20,92
02/05/2022	20,29	20,50	19,45	20,03
29/04/2022	21,63	22,10	20,61	20,72
28/04/2022	20,85	21,30	20,42	21,11
27/04/2022	20,67	21,19	20,50	20,65
26/04/2022	20,91	21,03	19,75	19,75
25/04/2022	20,90	21,32	20,45	21,07
22/04/2022	22,70	22,79	21,47	21,64
20/04/2022	24,26	24,30	23,23	23,44
19/04/2022	24,14	24,57	23,60	24,45
18/04/2022	24,91	24,97	24,22	24,34
14/04/2022	25,88	26,06	24,85	25,02
13/04/2022	25,32	26,11	25,32	25,87
12/04/2022	25,57	25,85	25,25	25,29
11/04/2022	24,79	25,66	24,76	25,08
08/04/2022	24,56	25,54	24,55	25,30
07/04/2022	24,26	24,88	24,20	24,75
06/04/2022	25,36	25,38	24,25	24,61
05/04/2022	25,89	26,21	25,22	25,32
04/04/2022	25,78	26,48	25,67	25,99
01/04/2022	25,84	26,10	25,30	25,72
31/03/2022	26,33	26,74	25,46	25,60
30/03/2022	25,87	26,44	25,53	26,24
29/03/2022	26,10	26,21	25,22	25,61
28/03/2022	26,42	26,48	25,64	25,83
25/03/2022	26,52	26,75	25,69	26,14
24/03/2022	25,97	26,32	25,28	26,26
23/03/2022	25,70	26,54	25,64	25,79
22/03/2022	25,94	26,28	25,19	25,56
21/03/2022	25,62	26,41	25,59	25,90
18/03/2022	25,41	25,78	24,98	25,25
17/03/2022	23,98	25,41	23,88	25,37
16/03/2022	24,00	24,36	23,01	23,50
15/03/2022	23,38	23,86	22,86	22,96
14/03/2022	24,89	25,74	23,78	23,96
11/03/2022	27,20	27,35	25,42	25,45
10/03/2022	26,79	27,20	25,86	27,04
09/03/2022	27,08	27,58	26,04	27,51
08/03/2022	28,71	28,99	26,93	27,09
07/03/2022	29,12	30,03	28,21	28,46
04/03/2022	27,81	28,57	27,53	28,52
03/03/2022	27,38	28,09	26,86	28,02
02/03/2022	26,27	26,85	26,03	26,68
25/02/2022	22,72	24,68	22,61	24,68
24/02/2022	22,36	23,11	22,18	23,11
23/02/2022	24,62	24,79	23,17	23,31
22/02/2022	24,54	24,69	23,99	24,50
21/02/2022	24,44	24,96	24,20	24,33
18/02/2022	24,79	24,94	24,15	24,23
17/02/2022	25,59	25,79	24,46	24,55
16/02/2022	26,11	26,53	26,02	26,07
15/02/2022	26,94	26,94	25,62	25,96
14/02/2022	27,14	27,76	26,87	27,28
11/02/2022	27,90	28,15	27,20	27,35
10/02/2022	28,07	28,84	27,58	27,74
09/02/2022	26,95	27,81	26,91	27,71
08/02/2022	26,96	27,45	26,67	27,38
07/02/2022	26,26	27,16	26,23	27,01
04/02/2022	25,97	26,34	25,58	26,19
03/02/2022	26,61	26,75	25,88	26,07
02/02/2022	26,38	26,79	26,18	26,51
01/02/2022	25,26	26,48	24,93	26,38
31/01/2022	24,93	25,41	24,07	25,12
28/01/2022	26,23	26,53	24,84	25,24
27/01/2022	25,89	26,28	25,32	25,74
26/01/2022	25,58	26,25	25,21	25,57
25/01/2022	25,56	25,78	24,69	24,99
24/01/2022	25,05	25,54	24,32	25,51
21/01/2022	25,81	26,07	25,29	25,32
20/01/2022	26,18	26,64	25,88	25,91
19/01/2022	26,05	26,54	25,76	26,03
18/01/2022	24,69	25,49	24,42	25,36
17/01/2022	25,08	25,17	24,64	24,72
14/01/2022	25,58	25,67	25,22	25,29
13/01/2022	25,38	26,11	25,25	25,74
12/01/2022	24,98	25,99	24,82	25,84
11/01/2022	24,39	25,39	24,24	24,45
10/01/2022	23,42	24,84	22,46	24,51
07/01/2022	22,99	23,79	22,54	23,72
06/01/2022	23,37	23,66	22,68	22,76
05/01/2022	23,70	23,86	22,99	23,05
04/01/2022	24,35	24,46	23,56	23,64
03/01/2022	24,87	25,21	24,01	24,01
30/12/2021	24,69	24,95	24,39	24,48
29/12/2021	24,38	24,65	24,15	24,53
28/12/2021	24,38	24,66	24,05	24,44
27/12/2021	24,06	24,47	23,76	24,41
23/12/2021	24,26	24,37	23,92	24,14
22/12/2021	24,17	24,49	23,92	24,25
21/12/2021	23,77	24,48	23,63	24,33
20/12/2021	24,54	24,57	23,16	23,22
17/12/2021	25,07	25,22	24,54	24,95
16/12/2021	24,49	25,33	24,15	25,29
15/12/2021	23,75	24,54	23,34	23,85
14/12/2021	24,44	24,66	23,81	23,88
13/12/2021	24,33	24,96	23,87	24,24
10/12/2021	24,15	24,32	23,20	23,88
09/12/2021	23,21	24,21	23,05	23,96
08/12/2021	24,02	24,41	23,55	23,61
07/12/2021	24,72	24,92	23,82	23,91
06/12/2021	23,20	23,78	22,68	23,64
03/12/2021	22,81	23,34	22,32	22,80
02/12/2021	21,49	23,09	21,40	23,09
01/12/2021	21,94	22,33	21,11	21,15
30/11/2021	21,88	22,23	21,07	21,31
29/11/2021	22,66	22,89	21,99	22,08
26/11/2021	21,80	22,27	21,37	21,82
25/11/2021	22,45	23,08	22,22	22,95
24/11/2021	22,14	22,76	21,85	22,45
23/11/2021	22,23	23,04	21,86	22,09
22/11/2021	21,70	21,79	20,96	21,35
19/11/2021	19,88	21,09	19,70	20,95
18/11/2021	20,28	20,43	19,31	19,40
17/11/2021	21,04	21,56	20,34	20,50
16/11/2021	22,07	22,10	20,66	20,68
12/11/2021	22,11	22,73	21,84	21,98
11/11/2021	21,55	22,43	21,32	22,28
10/11/2021	20,54	21,02	20,39	20,74
09/11/2021	21,09	21,73	20,72	20,87
08/11/2021	20,67	21,94	20,63	21,25
05/11/2021	21,13	21,25	20,55	20,80
04/11/2021	20,95	21,83	20,15	20,89
03/11/2021	22,23	22,45	21,43	21,64
01/11/2021	22,23	22,99	22,13	22,68
29/10/2021	23,57	23,60	22,27	22,31
28/10/2021	23,76	24,02	23,43	23,55
27/10/2021	24,08	24,87	23,93	24,00
26/10/2021	25,31	25,42	23,85	23,93
25/10/2021	24,83	25,70	24,63	25,56
22/10/2021	24,45	25,28	24,02	24,58
