Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	7,86	7,91	7,74	7,77
31/05/2022	7,79	7,89	7,74	7,86
30/05/2022	7,79	7,93	7,70	7,77
27/05/2022	7,62	7,82	7,58	7,82
26/05/2022	7,64	7,67	7,58	7,61
25/05/2022	7,69	7,71	7,60	7,61
24/05/2022	7,61	7,69	7,56	7,69
23/05/2022	7,65	7,70	7,60	7,63
20/05/2022	7,80	7,83	7,56	7,64
19/05/2022	7,57	7,80	7,48	7,80
18/05/2022	7,48	7,60	7,44	7,55
17/05/2022	7,52	7,63	7,42	7,48
16/05/2022	7,51	7,57	7,40	7,44
13/05/2022	7,44	7,57	7,43	7,49
12/05/2022	7,38	7,52	7,38	7,44
11/05/2022	7,47	7,52	7,36	7,39
10/05/2022	7,61	7,87	7,45	7,46
09/05/2022	7,49	7,71	7,46	7,60
06/05/2022	7,68	7,72	7,48	7,54
05/05/2022	7,94	7,96	7,67	7,67
04/05/2022	7,71	7,99	7,54	7,99
03/05/2022	7,72	7,72	7,59	7,71
02/05/2022	7,81	7,81	7,57	7,72
29/04/2022	7,99	8,01	7,80	7,84
28/04/2022	7,87	8,02	7,76	8,02
27/04/2022	7,67	8,00	7,65	7,85
26/04/2022	7,78	7,84	7,59	7,67
25/04/2022	7,74	7,87	7,57	7,80
22/04/2022	7,92	8,05	7,74	7,78
20/04/2022	8,05	8,28	7,98	8,11
19/04/2022	8,05	8,20	7,88	8,01
18/04/2022	7,82	8,09	7,82	8,02
14/04/2022	7,72	7,74	7,58	7,65
13/04/2022	7,88	7,91	7,64	7,69
12/04/2022	7,82	7,98	7,78	7,86
11/04/2022	7,75	7,82	7,72	7,74
08/04/2022	7,84	7,88	7,77	7,81
07/04/2022	7,81	7,92	7,80	7,86
06/04/2022	7,83	7,85	7,67	7,83
05/04/2022	8,20	8,20	7,83	7,83
04/04/2022	8,46	8,47	8,20	8,20
01/04/2022	8,63	8,73	8,37	8,47
31/03/2022	8,59	8,63	8,43	8,58
30/03/2022	8,66	8,66	8,50	8,56
29/03/2022	8,54	8,74	8,51	8,66
28/03/2022	8,37	8,55	8,30	8,54
25/03/2022	8,33	8,46	8,30	8,37
24/03/2022	8,20	8,37	8,15	8,34
23/03/2022	8,15	8,27	7,99	8,17
22/03/2022	7,93	8,22	7,93	8,18
21/03/2022	7,98	8,08	7,89	7,92
18/03/2022	7,63	8,00	7,59	8,00
17/03/2022	7,35	7,64	7,32	7,63
16/03/2022	7,53	7,55	7,27	7,33
15/03/2022	7,38	7,48	7,26	7,48
14/03/2022	7,55	7,64	7,38	7,38
11/03/2022	7,75	7,77	7,47	7,51
10/03/2022	7,70	7,84	7,69	7,73
09/03/2022	7,81	7,95	7,67	7,67
08/03/2022	7,68	7,80	7,54	7,77
07/03/2022	7,95	8,01	7,62	7,62
04/03/2022	8,15	8,20	7,92	7,98
03/03/2022	8,06	8,29	8,04	8,22
02/03/2022	7,99	8,12	7,92	8,05
25/02/2022	7,88	8,06	7,88	8,03
24/02/2022	7,91	8,01	7,75	7,94
23/02/2022	8,16	8,30	8,10	8,10
22/02/2022	8,14	8,30	8,11	8,16
21/02/2022	8,34	8,37	8,10	8,14
18/02/2022	8,50	8,50	8,32	8,38
17/02/2022	8,85	8,85	8,49	8,49
16/02/2022	9,12	9,20	8,85	8,85
15/02/2022	9,07	9,15	8,98	9,05
14/02/2022	8,96	9,15	8,87	9,05
11/02/2022	8,76	9,21	8,72	8,94
10/02/2022	8,73	8,94	8,65	8,76
09/02/2022	8,60	8,80	8,60	8,74
08/02/2022	8,50	8,75	8,50	8,62
07/02/2022	8,63	8,72	8,57	8,64
04/02/2022	8,53	8,67	8,46	8,59
03/02/2022	8,54	8,67	8,50	8,53
02/02/2022	8,75	8,80	8,50	8,51
01/02/2022	8,67	8,80	8,57	8,75
31/01/2022	8,18	8,68	8,18	8,68
28/01/2022	7,83	8,26	7,78	8,17
27/01/2022	7,79	8,04	7,77	7,87
26/01/2022	7,86	7,91	7,74	7,80
25/01/2022	7,83	7,88	7,74	7,80
24/01/2022	7,99	7,99	7,68	7,93
21/01/2022	7,86	8,27	7,80	8,02
20/01/2022	7,62	7,96	7,60	7,91
19/01/2022	7,64	7,66	7,57	7,62
18/01/2022	7,82	7,84	7,54	7,60
17/01/2022	7,85	7,94	7,79	7,87
14/01/2022	7,75	7,90	7,74	7,90
13/01/2022	7,65	7,83	7,62	7,81
12/01/2022	7,57	7,70	7,57	7,65
11/01/2022	7,63	7,67	7,55	7,59
10/01/2022	7,71	7,71	7,51	7,63
07/01/2022	7,61	7,71	7,54	7,71
06/01/2022	7,58	7,64	7,43	7,62
05/01/2022	7,73	7,73	7,55	7,57
04/01/2022	7,82	7,86	7,71	7,73
03/01/2022	8,07	8,09	7,74	7,79
30/12/2021	7,78	8,13	7,69	8,07
29/12/2021	7,86	7,91	7,74	7,80
28/12/2021	7,81	7,93	7,68	7,86
27/12/2021	7,80	7,91	7,75	7,83
23/12/2021	7,96	7,96	7,78	7,80
22/12/2021	7,91	7,94	7,81	7,88
21/12/2021	7,93	8,00	7,78	7,91
20/12/2021	8,01	8,01	7,79	7,93
17/12/2021	8,07	8,16	7,89	8,01
16/12/2021	8,20	8,27	8,04	8,20
15/12/2021	8,12	8,22	7,93	8,16
14/12/2021	8,45	8,59	8,09	8,09
13/12/2021	8,50	8,73	8,40	8,45
10/12/2021	8,50	8,54	8,35	8,50
09/12/2021	8,64	8,65	8,35	8,45
08/12/2021	8,64	8,79	8,56	8,63
07/12/2021	8,59	8,72	8,52	8,67
06/12/2021	8,18	8,61	8,11	8,54
03/12/2021	7,97	8,40	7,97	8,14
02/12/2021	7,89	8,14	7,89	8,00
01/12/2021	8,01	8,11	7,77	7,82
30/11/2021	8,42	8,42	7,82	7,93
29/11/2021	8,54	8,62	8,37	8,42
26/11/2021	8,45	8,61	8,34	8,41
25/11/2021	8,38	8,68	8,38	8,61
24/11/2021	8,54	8,60	8,30	8,37
23/11/2021	9,04	9,04	8,51	8,54
22/11/2021	9,12	9,29	8,92	9,00
19/11/2021	8,96	9,14	8,88	9,13
18/11/2021	9,02	9,05	8,72	8,97
17/11/2021	9,37	9,37	8,80	8,96
16/11/2021	9,07	9,41	8,91	9,39
12/11/2021	9,07	9,26	8,97	9,02
11/11/2021	8,74	9,19	8,73	9,11
10/11/2021	8,73	8,94	8,71	8,76
09/11/2021	8,70	8,84	8,67	8,74
08/11/2021	8,80	8,88	8,62	8,68
05/11/2021	8,57	8,83	8,39	8,80
04/11/2021	8,51	8,71	8,44	8,51
03/11/2021	8,42	8,60	8,27	8,51
01/11/2021	8,35	8,48	8,14	8,42
29/10/2021	8,27	8,35	8,11	8,21
28/10/2021	8,36	8,44	8,21	8,24
27/10/2021	8,51	8,62	8,36	8,38
26/10/2021	8,78	8,78	8,32	8,47
25/10/2021	8,61	8,97	8,51	8,82
22/10/2021	8,57	8,63	8,04	8,49
21/10/2021	8,68	8,87	8,42	8,58
20/10/2021	9,07	9,17	8,92	8,95
19/10/2021	9,20	9,27	8,94	9,07
18/10/2021	9,05	9,32	8,60	9,29
15/10/2021	8,17	9,11	8,10	9,10
14/10/2021	8,07	8,29	7,97	8,11
13/10/2021	7,58	8,09	7,58	7,98
11/10/2021	7,41	7,87	7,37	7,59
08/10/2021	7,30	7,48	7,30	7,41
07/10/2021	7,56	7,61	7,26	7,29
06/10/2021	7,39	7,51	7,20	7,51
05/10/2021	7,62	7,66	7,46	7,46
04/10/2021	7,92	7,94	7,57	7,57
01/10/2021	7,73	8,00	7,64	7,92
30/09/2021	7,88	7,93	7,69	7,76
29/09/2021	8,04	8,05	7,82	7,82
28/09/2021	8,31	8,31	7,95	7,95
27/09/2021	8,17	8,41	8,17	8,32
24/09/2021	7,98	8,25	7,94	8,17
23/09/2021	8,07	8,20	7,97	8,04
22/09/2021	7,84	8,09	7,82	8,03
21/09/2021	7,90	8,01	7,79	7,79
20/09/2021	7,97	8,05	7,79	7,86
17/09/2021	8,50	8,50	8,21	8,21
16/09/2021	8,60	8,62	8,48	8,52
15/09/2021	8,81	8,81	8,58	8,62
14/09/2021	8,81	8,89	8,74	8,81
13/09/2021	8,68	9,00	8,65	8,81
10/09/2021	8,82	8,97	8,57	8,60
09/09/2021	8,55	8,73	8,36	8,66
08/09/2021	8,94	8,94	8,58	8,58
06/09/2021	9,06	9,20	8,95	8,96
03/09/2021	8,96	9,13	8,90	9,13
02/09/2021	9,20	9,21	8,93	8,93
01/09/2021	9,26	9,42	9,21	9,21
31/08/2021	9,30	9,36	9,22	9,27
30/08/2021	9,43	9,45	9,30	9,33
27/08/2021	9,53	9,58	9,42	9,46
26/08/2021	9,62	9,70	9,42	9,51
25/08/2021	9,54	9,71	9,43	9,65
24/08/2021	9,42	9,74	9,40	9,57
23/08/2021	9,52	9,61	9,32	9,36
20/08/2021	9,50	9,64	9,40	9,50
19/08/2021	9,34	9,61	9,23	9,51
18/08/2021	9,12	9,66	9,09	9,40
17/08/2021	9,45	9,50	9,08	9,10
16/08/2021	9,87	9,88	9,48	9,49
13/08/2021	10,12	10,12	9,81	9,95
12/08/2021	9,87	10,13	9,74	10,07
11/08/2021	9,80	9,94	9,69	9,82
10/08/2021	9,84	9,92	9,74	9,78
09/08/2021	9,83	9,92	9,76	9,84
06/08/2021	9,76	10,06	9,68	9,93
05/08/2021	10,00	10,04	9,73	9,82
04/08/2021	10,25	10,30	9,97	9,98
03/08/2021	10,22	10,23	9,97	10,21
02/08/2021	10,42	10,56	10,14	10,25
30/07/2021	10,57	10,67	10,29	10,29
29/07/2021	10,57	10,79	10,44	10,65
28/07/2021	10,69	10,69	10,33	10,58
27/07/2021	11,18	11,20	10,44	10,70
26/07/2021	10,77	11,36	10,56	11,19
23/07/2021	10,19	10,76	10,16	10,74
22/07/2021	9,91	10,26	9,91	10,13
21/07/2021	9,77	10,11	9,63	9,88
20/07/2021	9,72	9,86	9,43	9,74
19/07/2021	9,86	9,98	9,59	9,70
16/07/2021	10,36	10,46	9,95	10,01
15/07/2021	10,66	10,68	10,34	10,35
14/07/2021	10,84	10,95	10,64	10,71
13/07/2021	10,98	11,05	10,74	10,86
12/07/2021	11,08	11,20	10,81	10,98
08/07/2021	11,23	11,25	11,04	11,08
07/07/2021	11,43	11,49	11,23	11,43
06/07/2021	11,55	11,55	11,29	11,43
05/07/2021	11,73	11,81	11,44	11,55
02/07/2021	12,04	12,07	11,58	11,84
01/07/2021	12,20	12,26	12,03	12,04
30/06/2021	12,29	12,47	12,15	12,27
