Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	13,68	13,80	13,45	13,62
31/05/2022	14,08	14,13	13,65	13,65
30/05/2022	14,48	14,51	13,68	13,98
27/05/2022	14,69	14,73	14,21	14,31
26/05/2022	14,24	14,75	14,24	14,63
25/05/2022	14,40	14,44	14,16	14,28
24/05/2022	14,53	14,68	14,17	14,49
23/05/2022	14,98	14,98	14,66	14,73
20/05/2022	14,75	14,90	14,55	14,79
19/05/2022	14,28	14,63	14,06	14,53
18/05/2022	14,99	15,00	14,17	14,27
17/05/2022	15,10	15,39	15,00	15,00
16/05/2022	14,42	15,07	14,14	14,92
13/05/2022	14,47	14,83	14,39	14,42
12/05/2022	13,90	14,44	13,76	14,39
11/05/2022	14,24	14,45	13,90	14,03
10/05/2022	14,18	14,48	14,12	14,30
09/05/2022	13,79	14,16	13,62	13,94
06/05/2022	14,23	14,32	13,87	13,97
05/05/2022	14,60	14,70	14,01	14,28
04/05/2022	14,24	14,87	13,82	14,82
03/05/2022	14,14	14,42	14,04	14,36
02/05/2022	14,15	14,28	13,86	14,18
29/04/2022	14,81	15,00	14,15	14,15
28/04/2022	14,46	14,73	14,25	14,64
27/04/2022	14,35	14,67	14,24	14,35
26/04/2022	14,59	14,68	14,06	14,13
25/04/2022	14,28	14,77	14,17	14,68
22/04/2022	14,51	14,56	14,23	14,37
20/04/2022	14,78	14,94	14,63	14,74
19/04/2022	14,69	14,85	14,48	14,77
18/04/2022	14,72	14,95	14,63	14,76
14/04/2022	14,95	15,05	14,64	14,72
13/04/2022	14,98	15,08	14,68	14,87
12/04/2022	15,39	15,61	14,68	14,82
11/04/2022	15,01	15,07	14,75	14,90
08/04/2022	15,44	15,48	14,93	15,22
07/04/2022	15,73	15,84	15,38	15,55
06/04/2022	16,29	16,29	15,62	15,80
05/04/2022	17,01	17,11	16,34	16,39
04/04/2022	17,32	17,35	16,79	16,95
01/04/2022	16,97	17,40	16,66	17,26
31/03/2022	16,97	17,28	16,70	16,83
30/03/2022	17,42	17,46	16,62	17,00
29/03/2022	18,18	18,44	17,32	17,32
28/03/2022	18,09	18,14	17,41	17,84
25/03/2022	17,04	18,25	17,04	18,11
24/03/2022	16,40	16,97	16,35	16,95
23/03/2022	15,92	16,72	15,81	16,39
22/03/2022	15,56	16,19	15,46	15,92
21/03/2022	15,16	15,69	15,02	15,47
18/03/2022	13,90	15,54	13,84	15,47
17/03/2022	14,41	14,44	13,84	14,14
16/03/2022	14,15	14,58	14,12	14,40
15/03/2022	13,40	14,10	13,36	13,97
14/03/2022	13,59	13,82	13,23	13,51
11/03/2022	14,13	14,31	13,31	13,47
10/03/2022	13,88	14,17	13,38	14,07
09/03/2022	13,38	14,13	13,36	14,04
08/03/2022	13,29	13,67	13,05	13,27
07/03/2022	13,76	13,91	13,03	13,03
04/03/2022	14,41	14,41	13,80	13,86
03/03/2022	14,31	14,92	14,30	14,34
02/03/2022	14,42	14,73	14,18	14,30
25/02/2022	14,72	14,95	14,31	14,61
24/02/2022	14,37	15,07	13,88	14,82
23/02/2022	15,27	15,58	14,77	14,86
22/02/2022	15,33	15,65	15,06	15,14
21/02/2022	15,63	15,71	15,00	15,13
18/02/2022	15,70	15,95	15,54	15,63
17/02/2022	16,00	16,17	15,51	15,61
16/02/2022	16,13	16,20	15,66	16,01
15/02/2022	15,53	16,04	15,46	15,97
14/02/2022	15,27	15,66	15,08	15,32
11/02/2022	15,30	15,78	15,03	15,26
10/02/2022	15,30	15,51	14,97	15,17
09/02/2022	15,29	15,73	15,13	15,25
08/02/2022	15,23	15,49	14,92	15,27
07/02/2022	15,37	15,43	15,06	15,28
04/02/2022	16,19	16,27	15,26	15,38
03/02/2022	16,28	16,68	16,01	16,18
02/02/2022	16,62	16,84	16,10	16,18
01/02/2022	16,81	16,99	16,49	16,58
31/01/2022	16,50	16,94	16,40	16,82
28/01/2022	16,59	16,78	16,31	16,51
27/01/2022	16,50	16,77	16,46	16,69
26/01/2022	15,86	16,91	15,86	16,37
25/01/2022	14,78	15,89	14,72	15,71
24/01/2022	15,03	15,28	14,61	14,90
