Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	43,91	43,94	41,72	42,26
31/05/2022	43,23	43,90	43,23	43,90
30/05/2022	43,70	43,99	43,03	43,22
27/05/2022	44,09	44,09	43,53	43,70
26/05/2022	45,16	45,16	44,05	44,11
25/05/2022	44,70	45,31	44,63	45,17
24/05/2022	43,77	44,88	43,77	44,84
23/05/2022	43,88	44,21	43,59	44,01
20/05/2022	43,33	43,73	42,96	43,61
19/05/2022	42,70	43,25	42,56	43,06
18/05/2022	43,11	43,35	42,62	42,81
17/05/2022	42,90	43,48	42,61	43,17
16/05/2022	42,36	42,80	42,23	42,55
13/05/2022	41,48	42,58	41,48	42,36
12/05/2022	40,75	41,79	40,75	41,79
11/05/2022	41,81	42,07	40,98	41,19
10/05/2022	42,11	42,37	41,59	41,74
09/05/2022	40,92	42,28	40,83	42,00
06/05/2022	40,98	41,32	40,76	41,00
05/05/2022	42,10	42,10	40,65	40,99
04/05/2022	40,93	42,30	40,62	42,30
03/05/2022	41,14	41,28	40,81	41,03
02/05/2022	41,11	41,37	40,52	41,16
29/04/2022	42,19	42,26	41,11	41,23
28/04/2022	42,16	42,20	41,66	41,80
27/04/2022	42,31	42,36	41,78	42,10
26/04/2022	43,38	44,01	42,12	42,16
25/04/2022	42,84	44,16	42,84	43,73
22/04/2022	42,83	43,35	42,83	43,09
20/04/2022	42,81	43,68	42,64	43,39
19/04/2022	43,25	43,35	42,49	42,87
18/04/2022	43,29	43,95	43,24	43,40
14/04/2022	43,21	43,36	42,86	43,36
13/04/2022	43,52	43,73	43,10	43,27
12/04/2022	43,49	43,74	43,13	43,44
11/04/2022	42,99	43,36	42,97	43,31
08/04/2022	43,10	43,44	42,82	43,26
07/04/2022	42,94	43,29	42,64	43,20
06/04/2022	42,73	43,09	42,47	43,09
05/04/2022	42,93	43,21	42,78	42,87
04/04/2022	43,63	43,63	42,87	43,01
01/04/2022	42,77	43,64	42,41	43,64
31/03/2022	42,64	42,85	42,38	42,54
30/03/2022	42,45	43,20	42,03	42,50
29/03/2022	43,29	43,66	42,38	42,41
28/03/2022	42,78	43,05	42,55	42,84
25/03/2022	42,42	43,18	42,32	42,78
24/03/2022	41,55	42,46	41,54	42,42
23/03/2022	41,18	41,71	40,94	41,55
22/03/2022	40,73	41,57	40,70	41,14
21/03/2022	40,23	40,68	39,91	40,59
18/03/2022	40,39	40,41	40,07	40,24
17/03/2022	39,73	40,44	39,63	40,39
16/03/2022	39,40	39,74	39,28	39,73
15/03/2022	39,29	39,55	39,13	39,35
14/03/2022	39,24	39,56	38,97	39,41
11/03/2022	39,58	39,63	39,04	39,17
10/03/2022	38,99	39,51	38,73	39,30
09/03/2022	38,40	39,38	38,35	39,25
08/03/2022	38,47	38,81	38,05	38,39
07/03/2022	38,67	38,82	38,39	38,49
04/03/2022	38,78	38,92	38,37	38,83
03/03/2022	39,41	39,43	38,51	38,72
