Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	41,73	43,14	41,60	43,00
31/05/2022	42,14	43,25	41,75	42,14
30/05/2022	43,37	43,58	41,39	42,00
27/05/2022	43,30	44,32	43,15	43,46
26/05/2022	45,00	45,84	43,30	44,00
25/05/2022	44,41	45,62	44,41	44,92
24/05/2022	43,52	44,69	43,38	44,69
23/05/2022	44,46	44,46	43,41	43,82
20/05/2022	44,59	44,87	43,29	43,97
19/05/2022	43,98	44,77	43,10	43,88
18/05/2022	43,96	44,18	41,03	42,59
17/05/2022	42,35	43,97	42,26	43,53
16/05/2022	41,66	42,39	41,36	41,92
13/05/2022	40,45	42,11	40,27	41,30
12/05/2022	39,48	40,35	39,18	40,16
11/05/2022	40,70	40,70	39,43	39,75
10/05/2022	39,20	40,43	39,08	39,88
09/05/2022	38,46	39,31	38,27	38,95
06/05/2022	38,98	39,79	38,53	38,67
05/05/2022	39,48	39,96	38,46	39,11
04/05/2022	38,39	39,93	37,49	39,75
03/05/2022	38,97	39,31	38,57	38,85
02/05/2022	40,26	40,33	37,85	39,07
29/04/2022	41,05	42,62	40,48	40,48
28/04/2022	40,30	41,33	39,97	40,66
27/04/2022	40,68	40,80	39,82	40,18
26/04/2022	40,00	40,50	39,54	39,54
25/04/2022	39,03	40,58	39,03	40,24
22/04/2022	40,35	40,70	39,07	39,37
20/04/2022	40,43	42,11	39,40	41,42
19/04/2022	41,87	41,87	38,66	39,85
18/04/2022	42,25	42,55	41,42	41,69
14/04/2022	42,68	42,82	42,16	42,60
13/04/2022	41,84	42,78	40,99	42,60
12/04/2022	41,48	42,55	41,18	41,47
11/04/2022	41,79	41,90	39,66	40,96
08/04/2022	40,09	42,38	39,97	42,11
07/04/2022	39,20	40,76	38,69	39,99
06/04/2022	37,06	39,03	36,07	38,77
05/04/2022	38,85	38,85	37,32	37,37
04/04/2022	38,58	39,27	38,16	38,87
01/04/2022	37,50	39,14	37,37	38,58
31/03/2022	36,38	37,47	36,13	37,28
30/03/2022	36,31	36,42	35,61	36,27
29/03/2022	36,64	37,10	36,18	36,36
28/03/2022	36,24	36,34	35,69	35,91
25/03/2022	35,69	36,10	35,34	35,86
24/03/2022	35,27	35,58	35,10	35,51
23/03/2022	35,33	35,42	34,55	35,16
22/03/2022	34,43	35,42	34,36	35,19
21/03/2022	34,64	34,67	33,68	34,01
18/03/2022	33,60	34,42	33,21	34,42
17/03/2022	32,83	33,69	32,48	33,47
16/03/2022	33,15	33,58	32,40	32,84
15/03/2022	33,02	33,62	32,59	33,13
14/03/2022	33,59	34,07	32,84	33,07
11/03/2022	34,17	34,43	33,15	33,40
10/03/2022	33,83	34,05	32,56	34,04
09/03/2022	33,07	34,94	32,91	34,30
08/03/2022	32,27	33,04	31,79	32,70
07/03/2022	33,97	33,97	32,15	32,28
04/03/2022	34,45	34,53	33,14	34,05
03/03/2022	33,82	34,93	33,68	34,44
02/03/2022	34,19	34,42	33,74	33,87
25/02/2022	33,24	34,13	33,19	34,13
24/02/2022	33,38	33,62	32,29	33,18
23/02/2022	34,06	34,66	33,89	34,20
22/02/2022	33,29	34,17	33,04	33,48
21/02/2022	34,13	34,25	33,18	33,24
18/02/2022	34,90	34,90	33,93	34,01
17/02/2022	34,85	34,99	34,20	34,53
16/02/2022	35,48	36,21	34,42	34,52
15/02/2022	33,05	34,85	32,60	34,85
14/02/2022	32,75	33,36	32,37	32,81
11/02/2022	33,49	33,87	32,56	32,72
10/02/2022	33,37	33,84	32,99	33,36
09/02/2022	32,64	33,51	31,70	33,36
08/02/2022	32,69	32,84	32,27	32,54
07/02/2022	33,08	33,13	32,46	32,84
04/02/2022	33,41	33,63	32,80	33,07
03/02/2022	33,13	33,89	32,90	33,71
02/02/2022	34,00	34,43	32,52	33,26
01/02/2022	34,76	34,81	33,81	33,98
31/01/2022	34,84	34,99	34,01	34,64
28/01/2022	34,11	34,88	33,99	34,78
27/01/2022	34,95	35,53	34,03	34,26
26/01/2022	34,02	34,80	33,72	34,45
25/01/2022	32,40	33,61	32,37	33,40
24/01/2022	33,37	33,89	32,54	32,70
21/01/2022	32,95	33,82	32,64	33,36
20/01/2022	32,45	33,16	32,29	32,83
19/01/2022	31,34	32,78	31,31	32,43
18/01/2022	30,92	31,44	30,72	31,12
17/01/2022	30,88	31,35	30,50	31,11
14/01/2022	30,77	31,23	30,34	31,03
13/01/2022	30,83	31,75	30,34	30,84
12/01/2022	29,98	31,00	29,09	30,83
11/01/2022	28,87	29,62	28,84	29,29
