Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	29,43	29,45	29,06	29,09
31/05/2022	29,30	29,45	28,76	29,17
30/05/2022	29,67	29,67	28,96	29,04
27/05/2022	29,23	29,74	29,21	29,40
26/05/2022	28,96	29,34	28,59	29,04
25/05/2022	28,81	29,05	28,56	28,91
24/05/2022	28,35	29,20	28,08	29,10
23/05/2022	28,39	29,20	28,36	28,73
20/05/2022	27,72	28,37	27,47	27,96
19/05/2022	26,26	27,34	26,20	27,05
18/05/2022	27,78	27,88	26,31	26,36
17/05/2022	28,15	28,64	27,85	27,95
16/05/2022	27,57	28,24	27,46	27,72
13/05/2022	27,12	27,64	26,89	27,32
12/05/2022	26,44	27,06	26,27	26,92
11/05/2022	25,94	27,16	25,86	26,65
10/05/2022	27,22	27,22	25,17	25,89
09/05/2022	27,17	27,44	26,78	27,07
06/05/2022	27,52	28,25	26,91	27,72
05/05/2022	27,25	27,79	26,06	27,57
04/05/2022	26,97	27,19	26,19	26,94
03/05/2022	26,90	27,42	26,86	27,15
02/05/2022	27,38	27,62	26,15	26,93
29/04/2022	28,89	29,09	27,48	27,49
28/04/2022	27,81	28,91	27,38	28,54
27/04/2022	26,69	28,11	26,69	27,74
26/04/2022	27,22	27,26	26,12	26,16
25/04/2022	27,40	27,57	26,36	27,22
22/04/2022	28,14	28,37	27,41	27,78
20/04/2022	29,62	29,93	28,30	28,55
19/04/2022	28,79	29,79	28,65	29,75
18/04/2022	28,81	29,47	28,71	28,98
14/04/2022	28,98	29,54	28,70	28,91
13/04/2022	28,87	29,31	28,68	29,14
12/04/2022	29,28	29,41	28,75	28,81
11/04/2022	28,62	29,02	28,49	28,78
08/04/2022	28,71	29,18	28,32	28,89
07/04/2022	29,16	29,50	28,36	28,79
06/04/2022	29,76	29,77	28,94	29,50
05/04/2022	29,79	30,32	29,48	29,62
04/04/2022	30,10	30,25	29,59	29,64
01/04/2022	30,50	30,77	29,79	30,11
31/03/2022	30,38	30,58	29,91	30,28
30/03/2022	29,83	30,34	29,30	30,19
29/03/2022	30,32	30,60	29,21	29,57
28/03/2022	30,19	30,86	29,85	30,18
25/03/2022	30,55	30,90	29,81	30,05
24/03/2022	29,58	30,61	28,92	30,35
23/03/2022	29,50	30,19	29,41	29,46
22/03/2022	29,96	30,11	29,09	29,36
21/03/2022	30,04	30,57	29,64	29,86
18/03/2022	29,01	29,97	28,85	29,97
17/03/2022	27,99	29,17	27,93	29,02
16/03/2022	27,81	28,41	27,08	27,68
15/03/2022	27,91	28,06	27,09	27,09
14/03/2022	29,27	29,57	28,24	28,37
11/03/2022	29,68	29,92	29,21	29,70
10/03/2022	28,49	29,67	28,13	29,67
09/03/2022	27,42	28,36	26,82	28,36
08/03/2022	28,18	28,62	27,17	27,44
07/03/2022	28,94	29,23	27,95	28,18
04/03/2022	27,54	28,69	27,25	28,69
03/03/2022	26,79	27,89	26,61	27,62
02/03/2022	26,10	26,65	25,77	26,45
25/02/2022	23,62	24,85	23,04	24,85
24/02/2022	23,12	24,02	22,53	23,70
23/02/2022	24,89	25,08	23,76	23,96
22/02/2022	25,06	25,20	24,52	24,79
21/02/2022	25,08	25,27	24,56	24,63
18/02/2022	25,57	25,61	24,87	24,93
17/02/2022	26,65	26,65	25,34	25,37
16/02/2022	27,09	27,42	26,66	26,79
15/02/2022	26,86	27,21	26,37	27,01
14/02/2022	27,33	27,57	26,80	27,11
11/02/2022	28,23	28,25	27,19	27,42
10/02/2022	28,49	28,88	28,04	28,11
09/02/2022	28,06	28,66	27,76	28,34
08/02/2022	28,50	28,54	27,69	28,21
07/02/2022	28,24	28,67	27,98	28,50
04/02/2022	27,78	28,19	27,63	28,09
03/02/2022	28,39	28,62	27,82	28,04
02/02/2022	27,99	28,42	27,88	28,26
01/02/2022	27,22	28,24	26,89	28,04
31/01/2022	27,13	27,54	27,05	27,17
28/01/2022	27,64	27,87	27,04	27,40
27/01/2022	27,51	27,66	27,11	27,29
26/01/2022	27,06	27,71	26,84	27,21
25/01/2022	27,08	27,23	26,40	26,73
24/01/2022	26,71	27,30	25,94	27,13
21/01/2022	27,81	27,90	26,75	26,80
20/01/2022	28,66	28,68	27,87	27,94
19/01/2022	28,60	28,71	28,15	28,34
18/01/2022	27,01	28,02	26,90	27,91
17/01/2022	27,51	27,67	27,00	27,00
14/01/2022	27,44	27,84	27,44	27,60
13/01/2022	27,86	28,29	27,49	27,59
12/01/2022	27,79	28,56	27,68	28,16
11/01/2022	26,93	27,79	26,78	27,52
10/01/2022	26,14	27,31	26,14	26,92
07/01/2022	26,54	26,83	26,17	26,77
06/01/2022	26,69	27,24	26,42	26,54
05/01/2022	27,06	27,47	26,53	26,53
04/01/2022	26,76	27,31	26,65	26,98
03/01/2022	26,73	27,26	26,61	26,61
30/12/2021	26,70	27,05	26,52	26,61
29/12/2021	26,48	26,61	26,32	26,48
28/12/2021	26,40	26,66	26,17	26,44
27/12/2021	26,15	26,67	26,09	26,55
23/12/2021	26,89	26,93	26,15	26,30
22/12/2021	27,03	27,13	26,47	26,82
21/12/2021	26,95	27,50	26,80	27,07
20/12/2021	27,84	27,88	26,45	26,64
17/12/2021	29,00	29,22	28,14	28,31
16/12/2021	29,11	29,17	28,50	29,11
15/12/2021	28,47	28,88	27,59	28,46
14/12/2021	29,38	29,55	28,30	28,62
13/12/2021	29,09	29,72	28,40	28,75
10/12/2021	28,54	29,17	28,54	28,88
09/12/2021	28,00	28,50	27,51	28,26
08/12/2021	28,24	28,69	28,07	28,24
07/12/2021	28,60	28,99	28,06	28,26
06/12/2021	27,88	28,31	27,65	27,82
03/12/2021	27,09	27,90	26,87	27,18
02/12/2021	25,87	27,06	25,80	27,00
01/12/2021	25,77	26,59	25,54	25,54
30/11/2021	25,17	25,91	24,72	25,18
29/11/2021	25,58	25,94	25,18	25,18
26/11/2021	24,81	25,15	24,51	24,94
25/11/2021	25,34	26,01	25,13	25,61
24/11/2021	24,91	25,50	24,69	25,38
23/11/2021	25,67	26,69	24,67	24,97
22/11/2021	24,77	25,10	24,34	24,82
