Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	12,29	12,46	12,17	12,26
31/05/2022	12,26	12,35	12,07	12,19
30/05/2022	12,37	12,38	12,12	12,16
27/05/2022	12,14	12,39	12,13	12,24
26/05/2022	12,09	12,19	11,97	12,11
25/05/2022	12,04	12,17	11,96	12,07
24/05/2022	11,79	12,17	11,75	12,11
23/05/2022	11,79	12,14	11,76	11,95
20/05/2022	11,60	11,83	11,54	11,66
19/05/2022	11,10	11,50	11,01	11,38
18/05/2022	11,53	11,59	11,08	11,09
17/05/2022	11,71	11,80	11,57	11,66
16/05/2022	11,44	11,63	11,34	11,49
13/05/2022	11,12	11,39	11,04	11,29
12/05/2022	10,91	11,10	10,76	11,05
11/05/2022	10,66	11,09	10,59	10,95
10/05/2022	11,05	11,05	10,37	10,54
09/05/2022	11,16	11,31	11,03	11,15
06/05/2022	11,38	11,71	11,25	11,38
05/05/2022	11,09	11,51	10,77	11,45
04/05/2022	10,97	11,07	10,69	11,05
03/05/2022	10,82	11,06	10,80	11,05
02/05/2022	11,11	11,13	10,61	10,83
29/04/2022	11,64	11,66	11,11	11,11
28/04/2022	11,27	11,53	11,01	11,48
27/04/2022	10,80	11,27	10,77	11,13
26/04/2022	10,96	10,99	10,56	10,59
25/04/2022	10,95	11,04	10,70	10,98
22/04/2022	11,34	11,39	11,05	11,19
20/04/2022	11,88	11,98	11,43	11,49
19/04/2022	11,54	11,98	11,41	11,94
18/04/2022	11,54	11,75	11,41	11,58
14/04/2022	11,49	11,70	11,44	11,55
13/04/2022	11,49	11,58	11,32	11,52
12/04/2022	11,52	11,62	11,38	11,43
11/04/2022	11,39	11,53	11,31	11,38
08/04/2022	11,37	11,56	11,26	11,48
07/04/2022	11,63	11,71	11,27	11,40
06/04/2022	11,82	11,85	11,52	11,71
05/04/2022	11,80	12,07	11,69	11,77
04/04/2022	11,93	12,01	11,82	11,87
01/04/2022	12,08	12,18	11,85	11,97
31/03/2022	12,02	12,14	11,85	11,99
30/03/2022	11,88	12,02	11,74	11,98
29/03/2022	12,08	12,15	11,71	11,81
28/03/2022	12,03	12,22	11,87	12,02
25/03/2022	12,24	12,34	11,94	12,00
24/03/2022	11,83	12,20	11,67	12,17
23/03/2022	11,81	12,05	11,75	11,76
22/03/2022	12,03	12,09	11,67	11,78
21/03/2022	11,92	12,17	11,87	11,96
18/03/2022	11,62	11,88	11,54	11,88
17/03/2022	11,09	11,64	11,04	11,62
16/03/2022	11,25	11,35	10,78	11,01
15/03/2022	11,12	11,25	10,85	10,93
14/03/2022	11,59	11,73	11,24	11,27
11/03/2022	11,71	11,84	11,58	11,69
10/03/2022	11,32	11,71	11,23	11,71
09/03/2022	11,08	11,36	10,84	11,34
08/03/2022	11,29	11,44	10,98	11,05
07/03/2022	11,54	11,66	11,23	11,23
04/03/2022	11,08	11,47	11,02	11,47
03/03/2022	10,85	11,23	10,73	11,10
02/03/2022	10,47	10,80	10,36	10,74
25/02/2022	9,65	10,09	9,50	10,09
24/02/2022	9,49	9,85	9,38	9,73
23/02/2022	10,31	10,33	9,79	9,81
22/02/2022	10,20	10,31	10,09	10,19
21/02/2022	10,30	10,39	10,11	10,12
18/02/2022	10,48	10,50	10,21	10,21
17/02/2022	10,91	10,91	10,37	10,37
16/02/2022	11,13	11,23	10,93	10,96
15/02/2022	11,07	11,15	10,89	11,04
14/02/2022	11,25	11,38	11,10	11,14
11/02/2022	11,66	11,67	11,26	11,29
10/02/2022	11,66	11,85	11,57	11,63
09/02/2022	11,47	11,78	11,42	11,62
08/02/2022	11,67	11,67	11,24	11,55
07/02/2022	11,44	11,69	11,41	11,61
04/02/2022	11,44	11,52	11,29	11,44
03/02/2022	11,62	11,65	11,42	11,46
02/02/2022	11,51	11,64	11,45	11,52
01/02/2022	11,23	11,60	11,16	11,53
31/01/2022	11,28	11,40	11,18	11,22
28/01/2022	11,41	11,55	11,25	11,33
27/01/2022	11,37	11,40	11,19	11,34
26/01/2022	11,24	11,45	11,17	11,26
25/01/2022	11,16	11,26	10,95	11,12
24/01/2022	10,94	11,26	10,72	11,18
21/01/2022	11,50	11,53	11,12	11,12
20/01/2022	11,80	11,91	11,54	11,54
19/01/2022	11,62	11,79	11,61	11,74
18/01/2022	11,23	11,50	11,09	11,46
17/01/2022	11,34	11,39	11,20	11,20
14/01/2022	11,38	11,47	11,29	11,38
13/01/2022	11,47	11,70	11,38	11,38
12/01/2022	11,43	11,71	11,43	11,64
11/01/2022	11,10	11,42	11,08	11,35
10/01/2022	10,99	11,28	10,93	11,08
07/01/2022	10,97	11,12	10,83	11,08
06/01/2022	11,01	11,20	10,90	10,92
05/01/2022	11,24	11,33	10,94	10,94
04/01/2022	11,03	11,29	10,96	11,17
03/01/2022	11,07	11,29	10,94	10,94
30/12/2021	11,02	11,13	10,93	11,03
29/12/2021	10,91	10,96	10,85	10,92
28/12/2021	10,97	11,02	10,83	10,91
27/12/2021	10,90	10,98	10,83	10,95
23/12/2021	11,03	11,04	10,77	10,90
22/12/2021	11,00	11,05	10,84	11,00
21/12/2021	11,03	11,12	10,90	11,03
20/12/2021	11,46	11,46	10,84	10,88
17/12/2021	11,85	11,94	11,51	11,51
16/12/2021	11,85	11,92	11,73	11,89
15/12/2021	11,70	11,84	11,34	11,67
14/12/2021	11,84	12,03	11,63	11,67
13/12/2021	11,92	12,15	11,69	11,75
10/12/2021	11,70	11,90	11,70	11,82
09/12/2021	11,50	11,64	11,35	11,57
08/12/2021	11,62	11,77	11,47	11,61
07/12/2021	11,63	11,81	11,50	11,53
06/12/2021	11,25	11,44	11,14	11,35
03/12/2021	11,14	11,34	10,94	11,04
02/12/2021	10,61	11,07	10,57	11,04
01/12/2021	10,54	10,83	10,40	10,47
30/11/2021	10,39	10,64	10,18	10,32
29/11/2021	10,62	10,73	10,38	10,42
26/11/2021	10,23	10,36	10,07	10,32
25/11/2021	10,52	10,71	10,40	10,58
