Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	8,70	8,91	8,61	8,79
31/05/2022	9,21	9,29	8,69	8,69
30/05/2022	9,36	9,57	9,15	9,20
27/05/2022	9,00	9,36	8,90	9,19
26/05/2022	8,39	9,15	8,36	8,93
25/05/2022	8,30	8,57	8,18	8,40
24/05/2022	8,63	8,67	8,24	8,43
23/05/2022	8,34	8,75	8,23	8,70
20/05/2022	8,33	8,49	8,12	8,32
19/05/2022	8,48	8,61	8,24	8,30
18/05/2022	8,82	8,90	8,38	8,48
17/05/2022	8,80	9,11	8,75	8,85
16/05/2022	8,73	8,80	8,43	8,72
13/05/2022	8,50	9,08	8,35	8,67
12/05/2022	7,94	8,59	7,82	8,37
11/05/2022	8,25	8,42	7,92	7,96
10/05/2022	8,33	8,54	8,15	8,29
09/05/2022	8,50	8,62	8,18	8,18
06/05/2022	8,89	8,93	8,58	8,61
05/05/2022	9,02	9,14	8,65	8,91
04/05/2022	9,03	9,20	8,55	9,19
03/05/2022	9,10	9,19	8,94	9,04
02/05/2022	9,27	9,27	8,80	9,10
29/04/2022	9,47	9,84	9,22	9,22
28/04/2022	9,50	9,52	8,99	9,36
27/04/2022	9,63	9,74	9,34	9,42
26/04/2022	9,64	9,83	9,37	9,43
25/04/2022	9,55	9,78	9,35	9,70
22/04/2022	9,88	9,93	9,56	9,62
20/04/2022	10,27	10,53	10,04	10,07
19/04/2022	10,07	10,32	9,91	10,30
18/04/2022	10,23	10,30	10,05	10,09
14/04/2022	10,37	10,48	10,11	10,22
13/04/2022	10,56	10,70	10,31	10,43
12/04/2022	10,42	10,94	10,36	10,40
11/04/2022	10,40	10,70	10,22	10,36
08/04/2022	10,64	10,70	10,15	10,54
07/04/2022	10,70	10,89	10,57	10,73
06/04/2022	11,21	11,21	10,52	10,71
05/04/2022	11,98	12,11	11,20	11,27
04/04/2022	11,98	12,11	11,88	11,98
01/04/2022	11,60	11,99	11,54	11,98
31/03/2022	11,80	12,12	11,53	11,53
30/03/2022	12,25	12,37	11,82	11,83
29/03/2022	11,70	12,42	11,67	12,18
28/03/2022	11,75	11,81	11,28	11,50
25/03/2022	11,30	11,91	11,19	11,71
24/03/2022	10,52	11,30	10,30	11,30
23/03/2022	10,14	10,76	10,03	10,54
22/03/2022	9,69	10,14	9,66	10,14
21/03/2022	9,51	10,00	9,43	9,62
18/03/2022	9,10	9,64	8,89	9,48
17/03/2022	9,23	9,25	8,80	9,14
16/03/2022	9,25	9,45	9,00	9,24
15/03/2022	9,10	9,23	8,84	9,13
14/03/2022	9,49	9,56	9,06	9,07
11/03/2022	10,14	10,14	9,34	9,42
10/03/2022	10,86	10,86	9,94	10,10
09/03/2022	10,51	11,21	10,46	10,99
08/03/2022	10,28	10,59	9,90	10,41
07/03/2022	10,95	11,02	10,15	10,15
04/03/2022	10,90	11,11	10,60	11,02
03/03/2022	11,66	11,80	10,94	10,96
02/03/2022	12,17	12,17	11,55	11,56
25/02/2022	11,85	12,17	11,52	12,17
24/02/2022	11,65	12,08	11,20	11,95
23/02/2022	12,37	12,86	12,13	12,22
22/02/2022	12,23	12,69	12,23	12,35
21/02/2022	12,82	12,92	12,11	12,11
18/02/2022	12,65	13,25	12,51	12,82
17/02/2022	13,15	13,52	12,71	12,71
16/02/2022	12,73	13,27	12,50	13,21
15/02/2022	11,77	12,77	11,76	12,72
14/02/2022	12,03	12,17	11,52	11,63
11/02/2022	12,40	12,65	11,93	11,99
10/02/2022	12,70	12,89	12,24	12,41
09/02/2022	12,68	13,05	12,62	12,68
08/02/2022	12,48	12,93	12,31	12,60
07/02/2022	12,77	13,03	12,46	12,54
04/02/2022	12,89	12,91	12,38	12,78
03/02/2022	12,77	13,13	12,49	12,93
02/02/2022	12,73	13,06	12,56	12,74
01/02/2022	12,75	12,90	12,55	12,75
31/01/2022	12,02	12,77	12,02	12,69
28/01/2022	11,67	12,01	11,53	12,00
27/01/2022	11,50	11,78	11,44	11,69
26/01/2022	11,28	11,72	11,20	11,38
25/01/2022	10,44	11,28	10,21	11,17
24/01/2022	10,34	10,63	9,85	10,48
21/01/2022	9,45	10,32	9,41	10,14
20/01/2022	9,17	9,99	9,17	9,50
19/01/2022	8,74	9,26	8,74	9,17
18/01/2022	8,68	8,91	8,62	8,71
17/01/2022	8,95	9,00	8,64	8,79
14/01/2022	9,12	9,24	8,83	8,97
13/01/2022	9,38	9,51	9,11	9,13
12/01/2022	8,75	9,53	8,75	9,51
11/01/2022	8,54	9,02	8,46	8,80
10/01/2022	8,61	8,85	8,48	8,54
07/01/2022	8,51	8,77	8,25	8,54
06/01/2022	8,63	8,77	8,34	8,45
