Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	2,96	3,05	2,88	3,00
31/05/2022	2,84	3,07	2,84	2,94
30/05/2022	2,83	2,87	2,77	2,81
27/05/2022	2,90	2,96	2,81	2,82
26/05/2022	2,86	2,92	2,83	2,89
25/05/2022	2,83	2,94	2,83	2,86
24/05/2022	2,77	2,92	2,76	2,86
23/05/2022	2,61	2,85	2,61	2,84
20/05/2022	2,46	2,62	2,43	2,60
19/05/2022	2,41	2,44	2,37	2,44
18/05/2022	2,47	2,52	2,37	2,39
17/05/2022	2,71	2,78	2,41	2,45
16/05/2022	2,59	2,69	2,49	2,66
13/05/2022	2,62	2,68	2,60	2,61
12/05/2022	2,53	2,65	2,50	2,60
11/05/2022	2,64	2,65	2,53	2,54
10/05/2022	2,70	2,79	2,64	2,65
09/05/2022	2,65	2,70	2,64	2,68
06/05/2022	2,70	2,75	2,64	2,69
05/05/2022	2,68	2,70	2,62	2,68
04/05/2022	2,61	2,74	2,56	2,73
03/05/2022	2,67	2,70	2,61	2,63
02/05/2022	2,79	2,81	2,63	2,66
29/04/2022	2,83	2,92	2,76	2,77
28/04/2022	2,82	2,83	2,75	2,80
27/04/2022	2,87	2,87	2,78	2,79
26/04/2022	2,85	2,91	2,79	2,81
25/04/2022	2,81	2,92	2,80	2,86
22/04/2022	2,92	2,95	2,88	2,91
20/04/2022	3,00	3,02	2,93	2,93
19/04/2022	3,06	3,08	2,99	3,01
18/04/2022	3,06	3,09	3,02	3,07
14/04/2022	3,13	3,13	3,03	3,04
13/04/2022	3,11	3,18	3,06	3,13
12/04/2022	3,22	3,26	3,09	3,09
11/04/2022	3,24	3,24	3,17	3,18
08/04/2022	3,26	3,30	3,22	3,26
07/04/2022	3,38	3,42	3,23	3,27
06/04/2022	3,39	3,41	3,30	3,39
05/04/2022	3,59	3,62	3,40	3,40
04/04/2022	3,53	3,63	3,49	3,59
01/04/2022	3,51	3,61	3,48	3,51
31/03/2022	3,50	3,56	3,47	3,50
30/03/2022	3,59	3,63	3,50	3,50
29/03/2022	3,45	3,62	3,45	3,61
28/03/2022	3,48	3,48	3,36	3,41
25/03/2022	3,25	3,49	3,24	3,45
24/03/2022	3,10	3,28	3,10	3,24
23/03/2022	3,21	3,27	3,09	3,09
22/03/2022	3,01	3,14	3,01	3,11
21/03/2022	3,02	3,08	2,96	2,99
18/03/2022	3,00	3,13	2,99	3,01
17/03/2022	3,00	3,04	2,89	2,98
16/03/2022	2,88	2,94	2,87	2,93
15/03/2022	2,88	2,89	2,82	2,84
14/03/2022	2,94	3,02	2,85	2,87
11/03/2022	3,04	3,06	2,92	2,93
10/03/2022	3,05	3,06	2,98	3,01
09/03/2022	3,05	3,16	3,04	3,05
08/03/2022	2,98	3,08	2,91	3,03
07/03/2022	3,08	3,09	2,95	2,95
04/03/2022	3,27	3,27	3,09	3,10
03/03/2022	3,10	3,37	3,10	3,26
02/03/2022	3,07	3,12	2,99	3,10
25/02/2022	3,05	3,11	2,99	3,06
24/02/2022	3,09	3,21	3,01	3,16
23/02/2022	3,21	3,29	3,16	3,17
22/02/2022	3,17	3,27	3,16	3,21
21/02/2022	3,22	3,28	3,11	3,13
18/02/2022	3,30	3,36	3,21	3,22
17/02/2022	3,32	3,38	3,26	3,29
16/02/2022	3,30	3,34	3,27	3,34
15/02/2022	3,23	3,30	3,22	3,28
14/02/2022	3,18	3,25	3,15	3,19
11/02/2022	3,16	3,42	3,15	3,18
10/02/2022	3,12	3,15	3,08	3,15
09/02/2022	3,07	3,12	3,03	3,12
08/02/2022	2,99	3,09	2,97	3,08
07/02/2022	3,00	3,04	2,97	3,00
04/02/2022	2,95	3,06	2,81	3,02
03/02/2022	3,01	3,05	2,95	2,95
02/02/2022	3,25	3,28	3,00	3,02
01/02/2022	3,27	3,41	3,27	3,32
31/01/2022	3,21	3,27	3,16	3,27
28/01/2022	3,19	3,26	3,16	3,21
27/01/2022	3,28	3,35	3,20	3,23
26/01/2022	3,30	3,34	3,23	3,27
25/01/2022	3,14	3,28	3,11	3,28
24/01/2022	3,31	3,32	3,16	3,16
21/01/2022	3,50	3,51	3,33	3,34
20/01/2022	3,36	3,56	3,36	3,52
19/01/2022	3,36	3,44	3,35	3,37
18/01/2022	3,45	3,47	3,33	3,35
17/01/2022	3,51	3,58	3,47	3,48
14/01/2022	3,53	3,57	3,48	3,54
13/01/2022	3,62	3,66	3,53	3,53
12/01/2022	3,60	3,70	3,60	3,63
11/01/2022	3,55	3,64	3,53	3,59
10/01/2022	3,65	3,68	3,52	3,54
07/01/2022	3,61	3,70	3,56	3,65
06/01/2022	3,65	3,70	3,58	3,60
05/01/2022	3,78	3,82	3,64	3,64
04/01/2022	4,05	4,05	3,79	3,80
03/01/2022	4,05	4,10	3,88	3,91
30/12/2021	3,95	4,04	3,95	4,02
29/12/2021	4,08	4,12	3,93	3,93
28/12/2021	4,01	4,09	4,00	4,05
27/12/2021	3,93	4,02	3,93	4,02
23/12/2021	4,03	4,03	3,91	3,91
22/12/2021	4,05	4,10	3,99	4,02
21/12/2021	4,18	4,23	4,04	4,06
20/12/2021	4,27	4,28	4,19	4,19
17/12/2021	4,41	4,42	4,20	4,34
16/12/2021	4,36	4,49	4,36	4,44
15/12/2021	4,40	4,40	4,25	4,34
14/12/2021	4,43	4,47	4,34	4,36
13/12/2021	4,38	4,49	4,36	4,40
10/12/2021	4,31	4,39	4,31	4,37
09/12/2021	4,34	4,44	4,26	4,29
08/12/2021	4,26	4,37	4,19	4,35
07/12/2021	4,40	4,41	4,21	4,23
06/12/2021	4,18	4,42	4,17	4,33
03/12/2021	4,24	4,35	4,16	4,18
02/12/2021	4,20	4,35	4,20	4,25
01/12/2021	4,35	4,37	4,12	4,16
30/11/2021	4,19	4,31	4,09	4,31
29/11/2021	4,20	4,26	4,14	4,19
26/11/2021	4,07	4,23	4,07	4,14
25/11/2021	4,19	4,27	4,18	4,25
24/11/2021	4,07	4,23	4,05	4,20
23/11/2021	4,04	4,12	3,96	4,09
22/11/2021	4,15	4,17	3,99	4,00
19/11/2021	4,23	4,30	4,11	4,12
18/11/2021	4,31	4,38	4,21	4,21
17/11/2021	4,62	4,65	4,30	4,30
16/11/2021	4,74	4,76	4,56	4,56
12/11/2021	4,90	4,95	4,70	4,72
11/11/2021	4,90	5,15	4,88	5,01
10/11/2021	4,88	5,01	4,85	4,86
09/11/2021	4,78	4,94	4,77	4,89
08/11/2021	4,81	4,81	4,73	4,76
05/11/2021	4,86	4,94	4,77	4,79
04/11/2021	4,90	4,98	4,77	4,80
03/11/2021	4,82	4,95	4,78	4,89
01/11/2021	4,74	4,92	4,72	4,86
29/10/2021	4,83	4,85	4,68	4,69
28/10/2021	4,85	4,93	4,77	4,77
27/10/2021	4,87	4,97	4,84	4,85
26/10/2021	5,03	5,05	4,85	4,86
25/10/2021	5,02	5,13	5,00	5,05
22/10/2021	4,99	5,06	4,75	5,01
21/10/2021	5,16	5,25	5,00	5,05
20/10/2021	5,17	5,39	5,15	5,22
19/10/2021	5,24	5,36	5,11	5,13
18/10/2021	5,16	5,29	5,07	5,22
15/10/2021	5,13	5,24	5,13	5,18
14/10/2021	5,18	5,20	5,07	5,15
13/10/2021	5,03	5,21	5,00	5,16
11/10/2021	5,08	5,14	4,98	5,00
08/10/2021	4,87	5,20	4,85	5,11
07/10/2021	4,85	4,94	4,81	4,82
06/10/2021	4,79	4,84	4,73	4,84
05/10/2021	4,86	4,95	4,83	4,83
04/10/2021	4,88	4,97	4,79	4,85
01/10/2021	4,78	4,94	4,75	4,94
30/09/2021	4,84	4,87	4,72	4,73
29/09/2021	4,83	4,95	4,79	4,83
