Data	Abertura	Máxima	Mínima	Fechamento
31/05/2022	9,50	9,56	9,46	9,53
30/05/2022	9,46	9,53	9,41	9,44
27/05/2022	9,49	9,54	9,41	9,46
26/05/2022	9,43	9,52	9,39	9,46
25/05/2022	9,55	9,61	9,40	9,42
24/05/2022	9,47	9,58	9,37	9,58
23/05/2022	9,43	9,55	9,39	9,49
20/05/2022	9,33	9,41	9,28	9,37
19/05/2022	9,18	9,29	9,15	9,25
18/05/2022	9,35	9,41	9,17	9,18
17/05/2022	9,41	9,49	9,32	9,32
16/05/2022	9,22	9,28	9,12	9,24
13/05/2022	9,11	9,19	9,09	9,14
12/05/2022	8,87	9,09	8,86	9,06
11/05/2022	8,75	8,93	8,73	8,91
10/05/2022	8,84	8,91	8,70	8,72
09/05/2022	8,88	8,94	8,73	8,78
06/05/2022	8,89	9,05	8,86	8,90
05/05/2022	9,04	9,04	8,81	8,87
04/05/2022	9,07	9,13	8,88	9,10
03/05/2022	9,14	9,22	9,07	9,13
02/05/2022	9,21	9,27	9,00	9,15
29/04/2022	9,41	9,55	9,20	9,21
28/04/2022	9,41	9,42	9,25	9,35
27/04/2022	9,52	9,60	9,31	9,40
26/04/2022	9,83	9,85	9,38	9,46
25/04/2022	9,85	9,92	9,73	9,88
22/04/2022	9,96	10,01	9,83	9,91
20/04/2022	10,04	10,08	9,97	10,06
19/04/2022	10,10	10,18	9,93	10,05
18/04/2022	10,08	10,17	10,04	10,16
14/04/2022	10,06	10,12	10,01	10,10
13/04/2022	10,12	10,19	10,01	10,09
12/04/2022	10,28	10,29	10,06	10,08
11/04/2022	10,29	10,29	10,16	10,18
08/04/2022	10,27	10,31	10,18	10,27
07/04/2022	10,34	10,34	10,19	10,27
06/04/2022	10,37	10,43	10,25	10,36
05/04/2022	10,65	10,67	10,34	10,44
04/04/2022	10,82	10,82	10,61	10,72
01/04/2022	10,81	10,89	10,71	10,79
31/03/2022	10,86	10,92	10,74	10,75
30/03/2022	10,87	10,87	10,72	10,84
29/03/2022	10,89	10,97	10,78	10,85
28/03/2022	10,80	10,85	10,67	10,77
25/03/2022	10,90	10,92	10,67	10,80
24/03/2022	10,75	10,90	10,71	10,82
23/03/2022	10,74	10,77	10,64	10,70
22/03/2022	10,63	10,79	10,63	10,74
21/03/2022	10,32	10,66	10,26	10,59
18/03/2022	10,15	10,32	10,14	10,32
17/03/2022	9,90	10,24	9,88	10,17
16/03/2022	9,76	9,91	9,72	9,90
15/03/2022	9,81	9,86	9,60	9,72
14/03/2022	9,76	9,92	9,75	9,81
11/03/2022	9,85	9,94	9,66	9,73
10/03/2022	9,81	9,86	9,72	9,83
09/03/2022	9,50	9,95	9,47	9,95
08/03/2022	9,52	9,56	9,34	9,45
07/03/2022	9,66	9,68	9,43	9,47
04/03/2022	9,91	9,91	9,66	9,78
03/03/2022	9,89	10,08	9,77	9,89
02/03/2022	9,93	10,15	9,81	9,86
25/02/2022	9,79	9,94	9,75	9,93
24/02/2022	9,79	9,87	9,63	9,83
23/02/2022	10,16	10,23	9,94	9,99
22/02/2022	10,13	10,30	10,04	10,14
21/02/2022	10,44	10,44	10,06	10,12
18/02/2022	10,42	10,49	10,38	10,43
17/02/2022	10,48	10,51	10,36	10,38
16/02/2022	10,51	10,60	10,44	10,49
15/02/2022	10,47	10,56	10,41	10,52
14/02/2022	10,45	10,47	10,36	10,39
11/02/2022	10,42	10,56	10,27	10,43
10/02/2022	9,89	10,04	9,83	10,00
09/02/2022	10,04	10,06	9,85	9,89
08/02/2022	10,03	10,09	9,95	10,06
07/02/2022	10,16	10,24	10,04	10,04
04/02/2022	9,93	10,22	9,89	10,18
03/02/2022	9,98	10,04	9,87	9,98
02/02/2022	10,13	10,13	9,90	9,95
01/02/2022	10,08	10,17	10,06	10,12
31/01/2022	9,96	10,17	9,91	10,10
28/01/2022	9,85	10,00	9,79	9,98
27/01/2022	9,79	10,01	9,78	9,88
26/01/2022	9,69	9,81	9,63	9,75
25/01/2022	9,42	9,69	9,36	9,65
24/01/2022	9,46	9,54	9,32	9,42
21/01/2022	9,51	9,62	9,43	9,47
20/01/2022	9,56	9,60	9,49	9,53
19/01/2022	9,52	9,62	9,44	9,54
18/01/2022	9,42	9,62	9,40	9,53
17/01/2022	9,40	9,52	9,34	9,46
14/01/2022	9,41	9,52	9,38	9,47
13/01/2022	9,08	9,39	9,07	9,36
12/01/2022	9,15	9,25	9,01	9,11
11/01/2022	8,98	9,16	8,91	9,14
10/01/2022	8,96	9,03	8,89	8,99
07/01/2022	8,88	9,00	8,83	8,99
06/01/2022	8,80	8,95	8,76	8,88
05/01/2022	8,87	8,92	8,74	8,81
04/01/2022	8,85	8,98	8,79	8,90
03/01/2022	8,84	9,00	8,74	8,84
30/12/2021	8,86	8,87	8,72	8,75
29/12/2021	8,89	8,92	8,79	8,85
28/12/2021	8,90	8,96	8,85	8,89
27/12/2021	8,82	8,90	8,78	8,90
23/12/2021	8,80	8,84	8,73	8,81
22/12/2021	8,75	8,80	8,67	8,79
21/12/2021	8,88	8,91	8,71	8,76
20/12/2021	8,89	8,90	8,71	8,82
17/12/2021	9,02	9,03	8,88	8,90
16/12/2021	9,09	9,11	8,98	9,06
