Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	26,73	27,11	26,33	26,94
31/05/2022	26,15	26,82	25,74	26,60
30/05/2022	26,43	26,53	25,73	25,87
27/05/2022	26,32	26,59	25,93	26,09
26/05/2022	25,66	26,86	25,48	26,24
25/05/2022	25,05	25,70	24,57	25,56
24/05/2022	25,05	25,34	24,38	25,17
23/05/2022	25,95	26,00	25,38	25,39
20/05/2022	25,95	26,19	25,48	25,65
19/05/2022	25,49	25,87	25,24	25,67
18/05/2022	25,80	25,96	25,17	25,50
17/05/2022	26,63	27,04	25,84	26,03
16/05/2022	25,60	26,15	25,31	25,90
13/05/2022	25,40	25,94	25,30	25,47
12/05/2022	24,36	25,72	24,24	25,28
11/05/2022	24,74	24,89	24,16	24,53
10/05/2022	24,30	25,24	24,07	24,74
09/05/2022	23,90	24,54	23,42	23,89
06/05/2022	23,22	24,96	22,97	24,24
05/05/2022	23,98	24,08	22,55	22,87
04/05/2022	23,42	24,44	22,54	24,26
03/05/2022	24,14	24,19	23,32	23,52
02/05/2022	23,71	23,97	23,20	23,90
29/04/2022	24,57	25,05	23,67	23,75
28/04/2022	24,51	24,74	24,07	24,39
27/04/2022	24,90	25,32	24,16	24,53
26/04/2022	24,87	25,75	24,27	24,46
25/04/2022	24,67	25,16	24,32	25,00
22/04/2022	25,40	25,61	24,70	25,02
20/04/2022	26,00	26,27	25,20	25,98
19/04/2022	26,28	26,44	25,89	26,25
18/04/2022	26,61	27,00	26,19	26,43
14/04/2022	26,51	27,08	26,42	26,74
13/04/2022	26,50	26,71	26,01	26,67
12/04/2022	27,15	27,54	26,07	26,20
11/04/2022	26,30	27,02	26,01	26,75
08/04/2022	26,57	27,37	26,16	26,73
07/04/2022	26,71	27,23	26,30	26,82
06/04/2022	27,84	27,84	26,60	27,05
05/04/2022	29,45	29,83	27,55	27,96
04/04/2022	29,18	29,61	28,30	29,39
01/04/2022	27,90	29,30	27,88	29,06
31/03/2022	27,48	27,91	27,11	27,50
30/03/2022	27,50	27,97	26,93	27,34
29/03/2022	27,80	28,08	27,18	27,49
28/03/2022	27,64	27,83	26,54	26,92
25/03/2022	27,90	28,52	27,32	27,58
24/03/2022	26,13	27,95	25,81	27,65
23/03/2022	24,80	26,26	24,34	26,15
22/03/2022	24,25	25,18	24,20	24,78
21/03/2022	24,03	24,07	22,85	23,92
18/03/2022	21,29	24,18	21,03	24,03
17/03/2022	22,66	23,00	22,16	22,79
16/03/2022	22,49	22,89	22,23	22,69
15/03/2022	21,98	22,60	21,81	22,27
14/03/2022	23,04	23,09	22,05	22,19
11/03/2022	23,68	24,06	22,53	22,74
10/03/2022	23,78	24,33	23,01	23,62
09/03/2022	23,62	24,95	23,16	24,34
08/03/2022	21,92	23,85	21,33	23,27
07/03/2022	23,58	23,83	21,87	21,87
04/03/2022	24,59	24,76	23,74	24,01
03/03/2022	25,17	25,49	24,48	24,64
02/03/2022	24,38	25,93	24,32	25,12
25/02/2022	25,46	25,56	24,64	25,20
24/02/2022	25,03	25,84	24,24	25,38
23/02/2022	25,77	26,94	25,40	25,57
22/02/2022	26,53	26,79	25,68	25,80
21/02/2022	27,33	27,33	25,79	26,24
18/02/2022	27,41	27,58	26,83	27,46
17/02/2022	27,33	27,89	27,08	27,10
16/02/2022	27,06	27,53	26,64	27,37
15/02/2022	26,17	27,11	26,03	26,98
14/02/2022	25,39	26,14	25,38	25,78
11/02/2022	25,50	26,20	24,74	25,23
10/02/2022	25,90	26,03	25,24	25,45
09/02/2022	26,20	26,30	25,44	25,78
08/02/2022	25,19	25,64	24,60	25,45
07/02/2022	25,98	26,39	25,24	25,56
04/02/2022	26,37	26,49	25,28	26,07
03/02/2022	26,55	27,12	26,06	26,54
02/02/2022	26,97	27,35	25,95	26,46
01/02/2022	27,91	28,47	26,59	26,85
31/01/2022	27,95	28,33	27,68	27,98
28/01/2022	27,41	28,22	27,26	28,01
27/01/2022	28,06	28,75	27,46	27,79
26/01/2022	27,77	28,73	27,15	27,61
25/01/2022	25,49	27,16	25,44	26,88
24/01/2022	26,21	26,25	25,41	25,75
21/01/2022	25,77	26,86	25,41	26,31
20/01/2022	25,18	26,49	25,04	26,01
19/01/2022	23,68	25,02	23,55	24,73
18/01/2022	23,31	23,63	22,94	23,38
17/01/2022	23,83	24,11	23,32	23,37
14/01/2022	24,58	24,65	23,60	23,85
13/01/2022	24,29	24,88	24,03	24,64
12/01/2022	23,33	24,77	23,19	24,53
11/01/2022	22,55	23,40	22,24	23,15
10/01/2022	22,63	23,00	22,25	22,63
07/01/2022	22,64	23,28	22,16	22,88
06/01/2022	21,76	22,83	21,33	22,69
05/01/2022	22,61	22,87	21,54	21,58
04/01/2022	23,14	23,43	22,33	22,69
03/01/2022	24,33	24,53	22,97	22,97
30/12/2021	23,83	24,64	23,79	24,32
29/12/2021	24,35	24,39	23,78	23,78
28/12/2021	24,41	24,73	24,05	24,34
27/12/2021	24,03	24,74	23,99	24,25
23/12/2021	24,58	24,77	23,76	24,05
22/12/2021	24,54	24,62	23,73	24,48
21/12/2021	25,26	25,43	24,32	24,46
20/12/2021	25,57	25,91	24,90	25,02
17/12/2021	25,58	26,46	25,17	26,00
16/12/2021	26,95	27,02	25,69	25,96
15/12/2021	26,32	26,88	25,73	26,74
14/12/2021	27,80	28,01	26,04	26,20
13/12/2021	28,24	28,49	27,55	27,55
10/12/2021	28,38	28,77	27,88	28,14
09/12/2021	29,05	29,30	27,60	27,99
08/12/2021	29,13	29,66	28,49	29,32
07/12/2021	29,91	30,04	28,69	29,19
06/12/2021	29,20	29,72	28,71	29,51
03/12/2021	28,47	30,10	28,37	28,98
02/12/2021	28,49	28,82	27,90	28,34
01/12/2021	28,63	29,38	27,71	28,03
30/11/2021	28,33	29,04	27,54	28,18
29/11/2021	29,47	29,79	28,43	28,67
26/11/2021	29,72	29,72	28,33	29,09
25/11/2021	30,43	31,19	30,14	30,48
24/11/2021	30,79	31,17	29,71	30,32
23/11/2021	31,12	31,41	29,88	30,86
22/11/2021	32,15	32,36	30,67	30,89
19/11/2021	31,60	33,10	31,53	32,02
18/11/2021	30,79	31,57	30,56	31,55
17/11/2021	31,41	31,58	29,82	30,69
16/11/2021	32,27	32,42	30,56	30,92
12/11/2021	33,48	33,48	31,64	31,93
11/11/2021	32,86	34,44	32,56	33,61
10/11/2021	31,73	33,51	31,73	32,45
09/11/2021	30,88	32,69	30,81	32,02
08/11/2021	31,36	31,36	30,33	30,71
05/11/2021	31,14	32,49	31,02	31,31
04/11/2021	31,39	31,80	30,38	30,71
03/11/2021	29,75	31,96	29,69	31,40
01/11/2021	29,04	30,14	29,04	29,90
29/10/2021	29,41	29,65	28,70	29,03
28/10/2021	28,59	29,68	28,59	29,13
27/10/2021	28,48	29,89	28,39	29,15
26/10/2021	29,27	29,49	28,15	28,36
25/10/2021	28,95	30,08	28,70	29,59
22/10/2021	29,72	29,82	27,38	28,86
21/10/2021	30,61	31,65	29,83	30,07
20/10/2021	30,78	32,36	30,78	31,47
19/10/2021	31,97	31,97	30,47	31,01
18/10/2021	32,14	32,99	31,43	32,41
15/10/2021	31,02	32,42	30,84	32,20
14/10/2021	31,38	31,67	30,76	31,16
13/10/2021	30,69	31,88	30,48	31,32
11/10/2021	31,47	31,47	30,40	30,53
08/10/2021	30,80	32,42	30,73	31,25
07/10/2021	30,69	30,89	30,12	30,41
06/10/2021	30,08	30,53	29,22	30,44
05/10/2021	30,95	31,41	30,51	30,83
04/10/2021	32,45	32,54	30,59	30,91
01/10/2021	31,05	32,69	30,75	32,62
30/09/2021	31,08	31,68	30,76	31,00
29/09/2021	31,02	31,95	30,80	31,05
28/09/2021	32,08	32,12	30,42	30,84
27/09/2021	33,42	33,47	31,99	32,29
24/09/2021	33,29	33,39	32,90	33,30
23/09/2021	33,11	33,75	32,93	33,50
22/09/2021	33,06	33,21	32,36	32,97
21/09/2021	32,28	33,46	32,10	32,82
20/09/2021	32,49	32,87	31,63	32,07
17/09/2021	33,30	33,58	32,78	32,82
16/09/2021	33,00	33,65	32,75	33,45
15/09/2021	33,80	34,10	32,62	33,03
14/09/2021	33,49	34,09	33,28	33,56
13/09/2021	32,95	33,70	32,74	33,38
