Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	3,73	3,80	3,62	3,71
31/05/2022	3,88	3,88	3,70	3,72
30/05/2022	4,03	4,11	3,78	3,84
27/05/2022	4,08	4,14	3,92	4,00
26/05/2022	3,72	4,12	3,72	4,07
25/05/2022	3,70	3,80	3,64	3,71
24/05/2022	3,61	3,71	3,58	3,71
23/05/2022	3,71	3,78	3,61	3,70
20/05/2022	3,78	3,81	3,57	3,67
19/05/2022	3,72	3,85	3,67	3,73
18/05/2022	3,96	4,03	3,70	3,72
17/05/2022	4,46	4,50	3,93	3,94
16/05/2022	4,40	4,57	4,25	4,45
13/05/2022	4,23	4,48	4,22	4,38
12/05/2022	3,83	4,21	3,74	4,18
11/05/2022	3,88	4,09	3,87	3,93
10/05/2022	4,05	4,11	3,80	3,95
09/05/2022	4,17	4,24	3,91	3,91
06/05/2022	4,41	4,47	4,25	4,30
05/05/2022	4,71	4,76	4,38	4,42
04/05/2022	4,52	4,97	4,37	4,95
03/05/2022	4,81	4,82	4,57	4,60
02/05/2022	4,91	4,97	4,74	4,80
29/04/2022	5,26	5,30	4,88	4,88
28/04/2022	5,15	5,28	4,98	5,18
27/04/2022	5,36	5,46	5,08	5,10
26/04/2022	5,40	5,47	5,18	5,18
25/04/2022	5,44	5,57	5,37	5,44
22/04/2022	5,48	5,59	5,42	5,55
20/04/2022	5,94	6,04	5,58	5,61
19/04/2022	5,85	6,02	5,76	5,94
18/04/2022	5,99	6,04	5,81	5,89
14/04/2022	6,00	6,07	5,92	6,01
13/04/2022	6,08	6,17	5,93	6,03
12/04/2022	6,32	6,40	5,96	5,97
11/04/2022	5,95	6,20	5,84	6,08
08/04/2022	6,35	6,36	6,08	6,13
07/04/2022	6,59	6,84	6,47	6,56
06/04/2022	6,81	6,83	6,45	6,62
05/04/2022	7,17	7,38	6,86	6,91
04/04/2022	7,35	7,36	7,03	7,19
01/04/2022	6,92	7,38	6,88	7,35
31/03/2022	6,93	6,99	6,76	6,82
30/03/2022	7,01	7,13	6,73	6,87
29/03/2022	6,68	7,12	6,68	7,00
28/03/2022	6,55	6,67	6,39	6,47
25/03/2022	6,63	6,80	6,34	6,54
24/03/2022	6,05	6,67	5,97	6,60
23/03/2022	5,79	6,04	5,69	6,00
22/03/2022	5,80	5,98	5,71	5,81
21/03/2022	5,84	5,96	5,65	5,72
18/03/2022	5,42	5,87	5,38	5,82
17/03/2022	5,13	5,55	5,01	5,54
16/03/2022	5,05	5,20	4,91	5,13
15/03/2022	4,80	5,02	4,65	4,87
14/03/2022	5,86	5,89	5,30	5,33
11/03/2022	6,03	6,30	5,69	5,69
10/03/2022	6,15	6,16	5,82	5,96
09/03/2022	6,23	6,52	6,17	6,23
08/03/2022	6,05	6,25	5,75	6,05
07/03/2022	6,22	6,34	5,80	5,85
04/03/2022	6,29	6,41	6,11	6,29
03/03/2022	6,33	6,48	6,15	6,31
02/03/2022	5,95	6,34	5,94	6,31
25/02/2022	6,19	6,27	5,86	6,01
24/02/2022	5,55	6,16	5,33	6,12
23/02/2022	6,14	6,49	5,91	5,91
22/02/2022	6,17	6,31	6,01	6,07
21/02/2022	6,42	6,45	6,02	6,02
18/02/2022	6,72	6,82	6,36	6,36
17/02/2022	6,81	6,93	6,59	6,63
16/02/2022	6,83	6,98	6,72	6,82
15/02/2022	6,61	6,84	6,61	6,84
14/02/2022	6,35	6,62	6,32	6,48
11/02/2022	6,98	7,02	6,30	6,35
10/02/2022	6,67	6,98	6,43	6,94
09/02/2022	6,59	6,85	6,38	6,60
08/02/2022	6,31	6,54	6,24	6,54
07/02/2022	6,33	6,60	6,23	6,31
04/02/2022	6,55	6,60	6,20	6,33
03/02/2022	6,60	6,85	6,34	6,53
02/02/2022	7,09	7,25	6,44	6,51
01/02/2022	7,00	7,33	6,88	7,01
31/01/2022	6,80	7,11	6,67	7,00
28/01/2022	7,21	7,23	6,62	6,71
27/01/2022	6,91	7,28	6,88	7,22
