Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	9,70	9,70	9,39	9,48
31/05/2022	9,77	9,89	9,64	9,66
30/05/2022	10,22	10,31	9,67	9,72
27/05/2022	10,38	10,51	9,95	10,17
26/05/2022	9,86	10,44	9,85	10,38
25/05/2022	9,45	9,95	9,42	9,76
24/05/2022	9,56	9,62	9,22	9,40
23/05/2022	9,71	9,84	9,54	9,66
20/05/2022	9,64	9,69	9,45	9,63
19/05/2022	9,50	9,73	9,37	9,52
18/05/2022	10,14	10,19	9,29	9,60
17/05/2022	10,36	10,66	10,13	10,16
16/05/2022	9,97	10,34	9,89	10,22
13/05/2022	9,71	10,35	9,63	9,95
12/05/2022	9,52	9,79	9,40	9,71
11/05/2022	9,57	9,67	9,34	9,58
10/05/2022	9,60	9,74	9,37	9,54
09/05/2022	9,42	9,69	9,38	9,48
06/05/2022	9,93	9,97	9,51	9,62
05/05/2022	10,54	10,54	9,78	9,93
04/05/2022	10,33	10,73	9,77	10,70
03/05/2022	10,31	10,41	10,17	10,39
02/05/2022	10,34	10,34	10,03	10,26
29/04/2022	10,88	11,11	10,32	10,32
28/04/2022	10,71	10,80	10,50	10,74
27/04/2022	10,80	10,96	10,54	10,68
26/04/2022	10,87	10,96	10,63	10,72
25/04/2022	10,69	11,04	10,52	11,00
22/04/2022	11,05	11,11	10,69	10,79
20/04/2022	11,12	11,26	11,02	11,19
19/04/2022	11,11	11,11	10,74	11,07
18/04/2022	11,06	11,31	11,04	11,16
14/04/2022	11,31	11,42	11,06	11,09
13/04/2022	11,43	11,64	11,32	11,35
12/04/2022	11,47	11,82	11,24	11,33
11/04/2022	11,45	11,48	11,23	11,32
08/04/2022	11,61	11,67	11,29	11,57
07/04/2022	12,02	12,02	11,56	11,73
06/04/2022	12,24	12,24	11,85	12,07
05/04/2022	12,88	12,93	12,24	12,28
04/04/2022	13,10	13,10	12,80	12,91
01/04/2022	13,01	13,35	12,81	13,12
31/03/2022	12,95	13,22	12,83	12,85
30/03/2022	13,11	13,11	12,72	12,85
29/03/2022	13,07	13,69	13,00	13,10
28/03/2022	13,03	13,03	12,64	12,88
25/03/2022	12,68	13,24	12,68	13,00
24/03/2022	11,88	12,75	11,75	12,66
23/03/2022	11,41	11,96	11,30	11,84
22/03/2022	11,12	11,46	11,12	11,45
21/03/2022	10,95	11,18	10,78	11,02
18/03/2022	10,11	11,12	9,95	11,09
17/03/2022	10,95	10,95	10,00	10,11
16/03/2022	10,45	10,97	10,37	10,63
15/03/2022	10,05	10,41	9,82	10,34
14/03/2022	10,49	10,75	9,97	10,09
11/03/2022	11,60	11,66	10,39	10,45
10/03/2022	11,90	12,34	11,78	11,86
09/03/2022	11,20	12,30	11,11	12,30
08/03/2022	11,13	11,36	10,89	11,09
07/03/2022	11,39	11,54	11,05	11,05
04/03/2022	11,83	11,86	11,46	11,56
03/03/2022	11,76	12,25	11,75	11,85
02/03/2022	11,81	12,01	11,75	11,77
25/02/2022	12,10	12,24	11,66	11,95
24/02/2022	11,75	12,25	11,56	12,06
23/02/2022	12,39	12,72	12,21	12,30
22/02/2022	12,36	12,71	12,18	12,39
21/02/2022	12,79	12,82	12,22	12,24
18/02/2022	12,55	13,10	12,47	12,79
17/02/2022	12,76	12,94	12,45	12,45
16/02/2022	12,67	12,83	12,44	12,75
15/02/2022	12,34	12,67	12,34	12,62
14/02/2022	12,10	12,36	11,99	12,22
11/02/2022	12,13	12,54	11,96	12,10
10/02/2022	12,45	12,53	12,08	12,11
09/02/2022	12,46	12,65	12,32	12,38
08/02/2022	12,29	12,41	12,15	12,32
07/02/2022	12,42	12,57	12,28	12,34
04/02/2022	12,94	12,95	12,33	12,46
03/02/2022	12,93	13,19	12,71	12,96
02/02/2022	13,17	13,29	12,78	12,88
01/02/2022	13,40	13,51	12,98	13,19
31/01/2022	13,28	13,51	13,12	13,41
28/01/2022	13,33	13,63	13,16	13,27
27/01/2022	13,23	13,58	13,14	13,50
26/01/2022	12,77	13,52	12,74	13,07
25/01/2022	11,89	12,70	11,80	12,53
24/01/2022	12,01	12,12	11,72	11,98
21/01/2022	11,74	12,19	11,73	12,04
20/01/2022	11,34	12,06	11,32	11,80
19/01/2022	10,84	11,46	10,83	11,24
18/01/2022	11,08	11,08	10,63	10,76
17/01/2022	11,10	11,19	10,76	11,00
14/01/2022	10,88	11,09	10,78	11,09
13/01/2022	10,87	11,00	10,71	10,94
12/01/2022	10,55	10,96	10,49	10,92
11/01/2022	10,39	10,68	10,39	10,55
10/01/2022	10,55	10,61	10,28	10,45
07/01/2022	10,44	10,75	10,26	10,58
06/01/2022	10,52	10,75	10,31	10,53
05/01/2022	10,94	11,01	10,42	10,52
04/01/2022	11,38	11,38	10,87	10,95
03/01/2022	12,01	12,09	11,26	11,31
30/12/2021	11,89	12,15	11,66	12,00
29/12/2021	11,82	12,08	11,64	11,74
28/12/2021	11,68	11,86	11,63	11,79
27/12/2021	11,35	11,83	11,35	11,65
23/12/2021	11,48	11,49	11,15	11,38
22/12/2021	11,44	11,59	11,26	11,40
21/12/2021	11,49	11,69	11,25	11,41
20/12/2021	11,58	11,60	11,28	11,48
17/12/2021	11,58	11,85	11,44	11,69
16/12/2021	11,99	12,14	11,65	11,70
15/12/2021	11,76	11,88	11,43	11,83
14/12/2021	12,26	12,28	11,72	11,72
13/12/2021	12,28	12,53	11,99	12,08
10/12/2021	11,85	12,49	11,83	12,30
09/12/2021	12,15	12,19	11,64	11,68
08/12/2021	11,60	12,35	11,37	12,25
07/12/2021	12,11	12,18	11,50	11,57
06/12/2021	11,89	12,19	11,72	11,94
03/12/2021	11,19	12,28	11,18	11,81
02/12/2021	11,05	11,30	10,92	11,22
01/12/2021	10,98	11,31	10,71	10,72
30/11/2021	10,98	11,04	10,53	10,94
29/11/2021	11,37	11,40	11,02	11,11
26/11/2021	11,34	11,39	11,03	11,22
25/11/2021	11,27	11,73	11,26	11,73
24/11/2021	11,16	11,55	11,06	11,28
23/11/2021	11,34	11,38	11,01	11,34
22/11/2021	11,63	11,78	11,22	11,33
19/11/2021	11,38	11,82	11,33	11,63
18/11/2021	11,30	11,97	11,20	11,38
17/11/2021	11,59	11,78	11,17	11,29
16/11/2021	12,14	12,20	11,36	11,51
12/11/2021	12,28	12,58	12,04	12,10
11/11/2021	12,26	12,63	12,18	12,30
10/11/2021	11,65	12,45	11,49	12,11
09/11/2021	11,17	11,84	11,15	11,56
08/11/2021	11,17	11,34	11,04	11,15
05/11/2021	10,98	11,35	10,91	11,28
04/11/2021	10,92	11,33	10,74	10,84
03/11/2021	10,36	11,17	10,36	10,92
01/11/2021	10,24	10,63	10,06	10,48
29/10/2021	10,26	10,37	9,93	10,01
28/10/2021	10,45	10,78	10,11	10,17
27/10/2021	10,38	10,76	10,33	10,56
26/10/2021	10,60	10,77	10,22	10,27
25/10/2021	10,49	10,85	10,32	10,74
22/10/2021	10,49	10,65	9,73	10,40
21/10/2021	11,13	11,32	10,45	10,61
20/10/2021	11,55	11,71	11,29	11,36
19/10/2021	12,33	12,33	11,36	11,44
18/10/2021	12,09	12,60	11,97	12,31
15/10/2021	12,13	12,37	12,04	12,22
14/10/2021	12,30	12,45	12,00	12,13
13/10/2021	11,96	12,45	11,91	12,26
11/10/2021	12,09	12,18	11,90	11,90
08/10/2021	11,65	12,29	11,65	12,09
07/10/2021	11,71	11,91	11,53	11,54
06/10/2021	11,59	11,69	11,25	11,64
05/10/2021	12,08	12,08	11,64	11,64
04/10/2021	12,35	12,38	11,86	11,92
01/10/2021	12,31	12,86	12,28	12,50
30/09/2021	12,22	12,62	12,13	12,13
29/09/2021	12,44	12,61	12,11	12,15
28/09/2021	13,06	13,06	12,31	12,31
27/09/2021	13,28	13,33	12,91	13,06
24/09/2021	13,25	13,33	12,93	13,24
23/09/2021	13,71	13,81	13,30	13,35
22/09/2021	13,82	13,90	13,59	13,71
21/09/2021	13,43	13,74	13,28	13,62
20/09/2021	13,32	13,50	13,06	13,33
17/09/2021	13,60	13,71	13,44	13,59
16/09/2021	13,57	13,86	13,45	13,63
15/09/2021	13,89	13,96	13,44	13,72
14/09/2021	13,81	14,18	13,68	13,89
13/09/2021	13,50	14,01	13,36	13,82
10/09/2021	13,61	13,98	13,20	13,25
09/09/2021	12,76	13,43	12,38	13,43
08/09/2021	13,52	13,52	12,70	12,78
06/09/2021	12,97	13,66	12,91	13,54
03/09/2021	13,07	13,36	13,02	13,04
02/09/2021	13,41	13,53	13,04	13,04
01/09/2021	13,52	13,72	13,33	13,44
31/08/2021	13,43	14,06	13,32	13,51
30/08/2021	13,47	13,48	13,05	13,26
27/08/2021	13,15	13,66	12,95	13,49
26/08/2021	13,31	13,31	12,84	12,87
25/08/2021	13,15	13,41	13,00	13,39
24/08/2021	12,44	13,27	12,40	13,14
23/08/2021	12,72	12,77	12,13	12,32
20/08/2021	12,48	12,78	12,41	12,69
19/08/2021	12,35	12,69	12,24	12,62
18/08/2021	12,68	12,78	12,39	12,48
17/08/2021	12,79	12,84	12,36	12,64
16/08/2021	12,96	13,08	12,60	12,86
13/08/2021	13,05	13,59	12,96	12,99
12/08/2021	13,32	13,32	12,54	13,02
11/08/2021	13,29	13,56	13,28	13,35
10/08/2021	13,69	13,72	13,28	13,34
09/08/2021	13,51	13,75	13,43	13,61
06/08/2021	13,41	13,65	13,24	13,51
05/08/2021	14,00	14,07	13,43	13,43
04/08/2021	13,85	14,07	13,60	13,86
03/08/2021	14,23	14,24	13,60	13,89
02/08/2021	14,35	14,55	14,20	14,21
30/07/2021	14,34	14,52	14,12	14,15
29/07/2021	14,67	14,85	14,45	14,48
28/07/2021	14,81	14,81	14,25	14,62
27/07/2021	14,96	14,99	14,60	14,72
26/07/2021	15,16	15,20	14,92	15,01
23/07/2021	15,61	15,64	15,09	15,20
22/07/2021	15,55	15,62	15,29	15,58
21/07/2021	15,56	15,71	15,26	15,53
20/07/2021	15,85	15,85	15,46	15,55
19/07/2021	15,77	15,97	15,63	15,86
16/07/2021	16,57	16,57	15,92	15,92
15/07/2021	16,50	16,55	16,11	16,28
14/07/2021	16,31	16,68	16,29	16,50
13/07/2021	16,08	16,30	15,94	16,13
12/07/2021	15,87	16,26	15,81	16,14
08/07/2021	15,60	15,90	15,44	15,77
