Data	Abertura	Máxima	Mínima	Fechamento
31/05/2022	30,41	30,62	30,02	30,05
30/05/2022	30,84	30,87	29,12	29,99
27/05/2022	32,15	32,15	30,57	30,60
26/05/2022	32,02	32,56	31,95	32,13
25/05/2022	31,70	32,28	31,26	32,05
24/05/2022	31,20	32,09	30,71	31,60
23/05/2022	31,63	32,65	31,60	32,55
20/05/2022	31,10	31,32	30,80	31,32
19/05/2022	30,14	30,83	29,97	30,72
18/05/2022	30,73	31,07	30,06	30,21
17/05/2022	31,47	31,60	30,70	30,71
16/05/2022	30,80	31,36	30,58	31,12
13/05/2022	30,66	30,97	30,48	30,81
12/05/2022	29,91	30,64	29,91	30,42
11/05/2022	29,47	30,49	29,39	30,18
10/05/2022	29,10	29,54	28,95	29,17
09/05/2022	29,40	29,71	28,83	28,92
06/05/2022	29,39	29,78	28,68	29,73
05/05/2022	28,60	29,22	27,89	28,78
04/05/2022	27,51	28,93	27,33	28,84
03/05/2022	27,08	27,33	26,81	27,20
02/05/2022	27,13	27,27	26,37	26,96
29/04/2022	27,65	28,40	27,23	27,23
28/04/2022	27,38	27,53	27,20	27,21
27/04/2022	27,31	27,48	26,93	27,03
26/04/2022	27,07	27,50	26,88	27,03
25/04/2022	26,95	27,37	26,56	27,07
22/04/2022	27,92	28,14	27,26	27,48
20/04/2022	28,46	28,73	28,17	28,59
19/04/2022	28,02	28,77	27,98	28,46
18/04/2022	28,02	28,22	27,40	27,62
14/04/2022	28,41	28,84	28,02	28,12
13/04/2022	28,27	28,63	28,05	28,44
12/04/2022	28,30	28,53	27,80	27,85
11/04/2022	27,89	28,05	27,79	27,93
08/04/2022	28,03	28,31	27,85	28,14
07/04/2022	26,85	28,02	26,74	28,00
06/04/2022	26,82	26,97	26,36	26,62
05/04/2022	26,87	27,20	26,64	26,64
04/04/2022	27,06	27,06	26,53	26,90
01/04/2022	27,60	27,80	27,07	27,15
31/03/2022	26,79	27,62	26,74	27,52
30/03/2022	26,74	27,14	26,64	27,14
29/03/2022	26,43	26,95	26,26	26,57
28/03/2022	26,37	26,39	25,48	25,99
25/03/2022	26,45	26,78	26,26	26,57
24/03/2022	26,36	26,82	26,05	26,67
23/03/2022	26,27	26,71	26,07	26,36
22/03/2022	26,32	26,41	25,79	26,01
21/03/2022	25,43	26,40	25,21	26,13
18/03/2022	24,75	25,35	24,56	25,18
17/03/2022	25,71	25,83	24,27	24,69
16/03/2022	25,91	25,95	24,98	25,36
15/03/2022	25,62	25,95	25,07	25,58
14/03/2022	26,68	27,06	25,93	26,22
11/03/2022	27,89	28,28	26,38	26,73
10/03/2022	26,82	28,46	26,75	27,72
09/03/2022	26,82	27,00	26,11	26,78
08/03/2022	26,32	27,12	25,92	26,70
07/03/2022	28,38	28,46	26,02	26,16
04/03/2022	28,03	28,53	27,82	28,16
03/03/2022	28,64	28,73	28,10	28,17
02/03/2022	29,01	29,03	28,29	28,52
25/02/2022	27,52	27,97	27,06	27,97
24/02/2022	28,63	29,03	26,88	27,47
23/02/2022	28,12	28,46	27,80	28,15
22/02/2022	28,15	28,53	27,32	27,76
21/02/2022	27,19	27,97	27,15	27,85
18/02/2022	26,79	27,22	26,55	27,15
17/02/2022	27,02	27,38	26,78	26,98
16/02/2022	27,01	27,72	26,96	27,09
15/02/2022	26,87	26,88	26,23	26,72
14/02/2022	27,85	27,92	27,00	27,15
11/02/2022	26,96	27,89	26,84	27,77
10/02/2022	26,57	27,06	26,27	26,69
09/02/2022	26,11	26,89	26,04	26,28
08/02/2022	26,24	26,28	25,72	26,18
07/02/2022	26,78	26,97	26,43	26,45
04/02/2022	26,66	27,34	26,23	26,84
03/02/2022	26,61	27,08	26,01	26,38
02/02/2022	27,48	27,55	26,62	26,75
01/02/2022	26,61	27,41	26,28	27,15
31/01/2022	26,74	27,15	26,38	26,61
28/01/2022	27,80	28,26	26,49	26,77
27/01/2022	28,17	28,50	27,29	27,87
26/01/2022	27,39	28,19	27,39	27,86
25/01/2022	26,08	27,34	25,98	27,14
24/01/2022	26,07	26,53	25,53	26,28
21/01/2022	25,97	26,23	25,94	26,13
20/01/2022	25,91	26,32	25,59	26,09
19/01/2022	26,24	26,50	25,86	25,90
18/01/2022	25,96	26,31	25,48	26,03
17/01/2022	25,83	26,17	25,71	25,91
14/01/2022	24,91	25,99	24,88	25,87
13/01/2022	24,29	25,20	24,27	24,94
12/01/2022	23,81	24,60	23,81	24,45
11/01/2022	23,12	23,91	22,91	23,72
10/01/2022	23,03	23,23	22,80	23,04
07/01/2022	23,12	23,27	22,89	23,18
06/01/2022	23,27	23,57	22,90	23,07
05/01/2022	24,01	24,08	22,98	23,09
04/01/2022	23,99	24,18	23,78	24,02
03/01/2022	23,48	24,04	23,47	23,93
30/12/2021	23,49	23,61	23,35	23,40
29/12/2021	23,61	23,77	23,38	23,48
28/12/2021	23,86	24,09	23,61	23,67
27/12/2021	23,30	23,67	23,16	23,65
23/12/2021	23,30	23,38	23,16	23,30
22/12/2021	23,36	23,36	23,01	23,16
21/12/2021	23,49	23,63	23,13	23,20
20/12/2021	23,40	23,49	22,77	23,16
17/12/2021	24,12	24,38	23,67	23,85
16/12/2021	24,37	24,66	24,27	24,42
15/12/2021	23,94	24,10	23,52	24,10
14/12/2021	24,36	24,56	23,86	23,95
13/12/2021	24,41	24,72	24,09	24,24
10/12/2021	24,27	24,76	24,25	24,39
09/12/2021	23,94	24,26	23,68	24,09
08/12/2021	24,15	24,74	24,04	24,14
07/12/2021	24,09	24,32	23,69	24,15
06/12/2021	23,67	24,08	23,59	23,77
03/12/2021	23,43	23,81	23,21	23,66
02/12/2021	22,20	23,44	21,55	23,33
01/12/2021	21,98	22,59	21,72	21,81
30/11/2021	21,58	21,84	21,26	21,68
29/11/2021	21,63	21,97	21,22	21,71
26/11/2021	20,91	21,48	20,68	20,97
25/11/2021	21,40	21,95	21,04	21,82
24/11/2021	20,47	20,95	20,27	20,90
23/11/2021	19,60	20,66	19,52	20,48
22/11/2021	19,37	19,99	19,37	19,42
