Data	Abertura	Máxima	Mínima	Fechamento
20/05/2022	1,38	1,70	1,01	1,60
19/05/2022	0,66	1,30	0,58	1,22
18/05/2022	1,30	1,54	0,69	0,80
17/05/2022	1,91	1,91	1,28	1,28
16/05/2022	1,55	1,96	1,55	1,70
13/05/2022	1,43	1,67	1,31	1,54
12/05/2022	1,20	1,41	1,03	1,24
11/05/2022	0,75	1,35	0,72	1,10
10/05/2022	0,66	0,85	0,59	0,65
09/05/2022	0,80	0,98	0,59	0,60
06/05/2022	0,99	1,07	0,60	0,98
05/05/2022	0,55	0,93	0,42	0,74
04/05/2022	0,24	0,68	0,24	0,65
03/05/2022	0,23	0,27	0,17	0,21
02/05/2022	0,30	0,30	0,17	0,22
29/04/2022	0,33	0,58	0,32	0,32
28/04/2022	0,29	0,33	0,26	0,29
27/04/2022	0,36	0,36	0,26	0,27
26/04/2022	0,35	0,37	0,26	0,30
25/04/2022	0,32	0,38	0,21	0,33
22/04/2022	0,61	0,61	0,36	0,39
20/04/2022	0,70	0,78	0,57	0,72
19/04/2022	0,62	0,73	0,60	0,67
18/04/2022	0,62	0,68	0,42	0,52
14/04/2022	0,86	1,00	0,66	0,66
13/04/2022	0,90	1,03	0,84	0,92
12/04/2022	1,06	1,07	0,75	0,78
11/04/2022	0,90	1,00	0,85	0,92
08/04/2022	1,10	1,16	0,94	0,95
07/04/2022	0,55	1,05	0,50	1,05
06/04/2022	0,63	0,63	0,44	0,51
05/04/2022	0,63	0,67	0,54	0,58
04/04/2022	0,61	0,64	0,50	0,62
01/04/2022	0,88	0,92	0,69	0,78
31/03/2022	0,69	0,89	0,67	0,85
30/03/2022	0,70	0,76	0,63	0,74
29/03/2022	0,43	0,70	0,43	0,61
28/03/2022	0,54	0,56	0,43	0,47
25/03/2022	0,67	0,72	0,64	0,64
24/03/2022	0,66	0,82	0,65	0,72
23/03/2022	0,74	0,84	0,72	0,72
22/03/2022	0,76	0,76	0,62	0,64
21/03/2022	0,65	0,82	0,63	0,73
18/03/2022	0,50	0,61	0,47	0,54
17/03/2022	0,67	0,68	0,41	0,55
16/03/2022	0,76	0,76	0,51	0,58
15/03/2022	0,98	0,98	0,68	0,75
14/03/2022	1,20	1,26	1,12	1,12
11/03/2022	2,02	2,02	1,37	1,37
10/03/2022	1,49	2,05	1,49	1,95
09/03/2022	1,41	1,41	1,23	1,23
08/03/2022	1,35	1,65	1,35	1,54
07/03/2022	2,05	2,05	1,25	1,28
04/03/2022	1,83	1,98	1,83	1,93
03/03/2022	2,30	2,39	1,36	2,39
02/03/2022	2,46	2,46	2,46	2,46
25/02/2022	1,68	1,81	1,54	1,81
24/02/2022	2,00	2,00	1,54	1,60
23/02/2022	2,15	2,15	2,02	2,03
22/02/2022	2,28	2,28	1,73	1,80
21/02/2022	1,70	1,83	1,69	1,81
04/02/2022	0,87	0,87	0,87	0,87
