Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	20,75	21,23	20,39	21,09
31/05/2022	20,65	21,09	20,54	20,74
30/05/2022	20,64	20,85	20,57	20,65
27/05/2022	20,57	20,88	20,46	20,56
26/05/2022	20,27	20,69	20,25	20,54
25/05/2022	20,44	20,45	20,01	20,28
24/05/2022	20,19	20,52	20,06	20,33
23/05/2022	20,28	20,47	20,11	20,38
20/05/2022	19,99	20,18	19,81	20,18
19/05/2022	20,51	20,63	19,76	19,91
18/05/2022	20,67	20,88	20,38	20,50
17/05/2022	20,30	20,95	20,21	20,68
16/05/2022	19,87	20,15	19,55	20,15
13/05/2022	19,25	20,03	19,11	19,82
12/05/2022	18,10	19,24	18,04	19,20
11/05/2022	18,94	18,96	18,09	18,13
10/05/2022	19,48	19,61	18,74	18,90
09/05/2022	19,67	19,74	19,01	19,32
06/05/2022	20,07	20,35	19,90	19,98
05/05/2022	20,29	20,29	19,78	20,13
04/05/2022	19,95	20,45	19,85	20,42
03/05/2022	20,13	20,31	20,04	20,04
02/05/2022	20,28	20,56	19,88	20,17
29/04/2022	20,72	20,87	20,28	20,35
28/04/2022	20,33	20,69	20,19	20,59
27/04/2022	20,82	20,85	20,11	20,27
26/04/2022	20,81	21,09	20,39	20,55
25/04/2022	20,65	20,94	20,41	20,81
22/04/2022	20,95	21,37	20,73	20,78
20/04/2022	21,08	21,32	20,86	21,08
19/04/2022	21,18	21,37	20,96	21,08
18/04/2022	20,82	21,28	20,82	21,13
14/04/2022	20,76	21,15	20,35	20,82
13/04/2022	21,63	21,79	20,83	20,87
12/04/2022	21,65	21,98	21,42	21,42
11/04/2022	21,33	22,04	21,19	21,61
08/04/2022	20,58	21,46	20,52	21,31
07/04/2022	20,51	20,83	20,42	20,64
06/04/2022	20,60	20,65	20,20	20,47
05/04/2022	20,84	20,88	20,41	20,62
04/04/2022	21,00	21,18	20,62	20,84
01/04/2022	20,98	21,04	20,20	20,91
31/03/2022	20,73	21,04	20,62	20,66
30/03/2022	20,89	21,04	20,57	20,78
29/03/2022	20,51	21,00	20,33	20,81
28/03/2022	20,60	20,71	20,14	20,40
25/03/2022	19,92	20,71	19,82	20,42
24/03/2022	19,80	20,00	19,64	19,89
23/03/2022	20,08	20,31	19,62	19,80
22/03/2022	19,73	20,40	19,73	20,01
21/03/2022	19,62	20,26	19,44	19,66
18/03/2022	19,23	19,58	19,05	19,58
17/03/2022	19,17	19,32	19,12	19,23
16/03/2022	19,07	19,31	18,91	19,16
15/03/2022	18,83	19,16	18,70	18,99
14/03/2022	19,04	19,41	18,83	18,83
11/03/2022	19,08	19,33	18,85	19,00
10/03/2022	19,91	19,91	18,95	19,03
09/03/2022	19,40	20,06	19,23	20,04
08/03/2022	19,27	19,60	18,96	19,21
07/03/2022	20,29	20,29	19,09	19,10
04/03/2022	20,83	20,83	20,17	20,34
03/03/2022	20,48	20,93	20,33	20,76
02/03/2022	20,54	20,63	20,23	20,49
25/02/2022	20,47	20,75	20,33	20,54
24/02/2022	20,13	20,58	19,79	20,41
23/02/2022	20,80	20,91	20,56	20,58
22/02/2022	20,74	21,02	20,58	20,65
21/02/2022	21,08	21,23	20,72	20,72
18/02/2022	21,24	21,42	21,00	21,07
17/02/2022	21,22	21,51	20,94	21,16
16/02/2022	20,76	21,46	20,72	21,21
15/02/2022	21,08	21,08	20,52	20,70
14/02/2022	20,82	21,04	20,64	20,84
11/02/2022	20,72	21,06	20,50	20,83
10/02/2022	20,92	21,09	20,49	20,66
09/02/2022	20,11	20,87	20,11	20,87
08/02/2022	19,23	20,23	19,03	20,10
