Data	Abertura	Máxima	Mínima	Fechamento
31/05/2022	17,61	17,65	17,50	17,64
30/05/2022	17,67	17,75	17,33	17,69
27/05/2022	17,54	17,78	17,31	17,65
26/05/2022	17,48	17,54	17,44	17,52
25/05/2022	17,50	17,76	17,28	17,50
24/05/2022	17,66	17,94	17,54	17,54
23/05/2022	17,19	17,85	17,19	17,70
20/05/2022	17,34	17,38	17,11	17,20
19/05/2022	17,36	17,37	17,08	17,13
18/05/2022	17,75	17,75	17,23	17,40
17/05/2022	17,42	17,76	17,42	17,73
16/05/2022	17,17	17,55	17,12	17,42
13/05/2022	17,26	17,30	16,98	17,20
12/05/2022	17,00	17,48	16,90	17,26
11/05/2022	17,01	17,29	16,92	16,92
10/05/2022	17,32	17,57	17,15	17,16
09/05/2022	17,20	17,54	17,12	17,39
06/05/2022	16,97	17,47	16,90	17,37
05/05/2022	17,16	17,16	16,63	16,84
04/05/2022	16,71	17,12	16,59	17,12
03/05/2022	16,64	16,80	16,57	16,71
02/05/2022	16,63	16,83	16,32	16,55
29/04/2022	16,65	17,23	16,63	16,63
28/04/2022	16,92	16,93	16,32	16,63
27/04/2022	16,85	16,94	16,64	16,81
26/04/2022	17,60	17,66	16,73	16,80
25/04/2022	18,10	18,10	17,42	17,60
22/04/2022	17,96	18,21	17,79	18,21
20/04/2022	18,20	18,27	18,00	18,10
19/04/2022	18,43	18,43	17,98	18,21
18/04/2022	17,91	18,43	17,91	18,43
14/04/2022	18,03	18,21	17,80	17,89
13/04/2022	18,29	18,29	17,98	18,23
12/04/2022	18,52	18,52	18,09	18,23
11/04/2022	18,43	18,58	18,30	18,31
08/04/2022	18,52	18,81	18,40	18,44
07/04/2022	18,27	18,66	17,98	18,38
06/04/2022	18,20	18,27	17,79	18,27
05/04/2022	18,55	18,56	18,14	18,20
04/04/2022	18,63	18,81	18,54	18,56
01/04/2022	18,86	19,17	18,63	18,63
31/03/2022	18,81	19,16	18,41	18,63
30/03/2022	18,76	19,10	18,71	19,04
29/03/2022	18,60	19,10	18,60	18,86
28/03/2022	18,87	18,96	18,51	18,62
25/03/2022	18,76	18,86	18,30	18,84
24/03/2022	18,65	18,80	18,46	18,47
23/03/2022	18,68	18,89	18,42	18,43
22/03/2022	18,57	19,01	18,53	18,53
21/03/2022	18,04	18,69	18,04	18,65
18/03/2022	17,89	18,65	17,89	18,04
17/03/2022	17,67	18,07	17,48	17,80
16/03/2022	17,20	17,70	17,15	17,31
15/03/2022	17,34	17,40	17,05	17,07
14/03/2022	16,76	17,68	16,75	17,34
11/03/2022	16,85	16,94	16,65	16,71
10/03/2022	16,60	16,83	16,49	16,77
09/03/2022	15,74	16,90	15,60	16,63
08/03/2022	15,79	15,79	15,24	15,50
07/03/2022	15,92	15,92	15,41	15,41
04/03/2022	16,19	16,19	15,78	15,92
03/03/2022	16,06	16,33	16,06	16,19
02/03/2022	15,95	16,17	15,95	16,12
25/02/2022	15,80	16,20	15,71	16,09
24/02/2022	16,37	16,37	15,63	15,79
23/02/2022	16,49	16,76	16,34	16,37
22/02/2022	16,70	16,74	16,47	16,59
21/02/2022	16,85	16,85	16,45	16,63
18/02/2022	16,80	16,85	16,60	16,85
17/02/2022	16,87	17,04	16,68	16,78
16/02/2022	16,80	17,06	16,70	16,87
15/02/2022	16,72	17,09	16,71	16,85
14/02/2022	16,73	16,83	16,42	16,65
11/02/2022	16,55	17,14	16,52	16,53
10/02/2022	16,25	16,66	16,18	16,66
09/02/2022	16,58	16,68	16,08	16,21
08/02/2022	16,62	16,62	16,38	16,59
07/02/2022	16,51	16,73	16,37	16,57
04/02/2022	16,40	16,65	16,20	16,51
03/02/2022	16,41	16,57	16,05	16,33
02/02/2022	17,26	17,30	16,07	16,40
01/02/2022	17,10	17,33	16,80	17,01
31/01/2022	17,39	17,40	16,62	17,28
28/01/2022	17,37	17,59	17,01	17,01
27/01/2022	17,05	17,86	17,00	17,38
26/01/2022	17,37	17,48	16,95	16,99
25/01/2022	15,87	17,39	15,82	17,39
24/01/2022	16,30	16,30	15,78	15,85
21/01/2022	15,80	16,31	15,73	16,30
20/01/2022	16,03	16,10	15,79	15,84
19/01/2022	16,01	16,37	15,98	16,03
18/01/2022	16,24	16,27	15,95	16,05
17/01/2022	16,00	16,24	15,84	16,24
14/01/2022	16,22	16,39	16,04	16,23
13/01/2022	15,47	16,42	15,46	16,15
12/01/2022	16,02	16,15	15,47	15,64
11/01/2022	15,97	16,11	15,87	16,00
10/01/2022	15,77	16,26	15,77	15,80
07/01/2022	16,08	16,08	15,72	16,01
06/01/2022	15,68	16,09	15,62	15,90
05/01/2022	15,75	15,89	15,53	15,53
04/01/2022	15,45	16,06	15,45	15,74
03/01/2022	15,53	15,63	15,33	15,47
30/12/2021	15,54	15,84	15,38	15,38
29/12/2021	15,73	15,79	15,46	15,53
28/12/2021	15,66	15,82	15,61	15,77
27/12/2021	15,65	15,81	15,56	15,67
23/12/2021	15,53	15,71	15,43	15,56
22/12/2021	15,88	15,88	15,44	15,53
21/12/2021	15,78	15,83	15,62	15,80
20/12/2021	16,15	16,16	15,62	15,72
17/12/2021	16,52	16,56	16,15	16,15
16/12/2021	16,39	16,68	16,38	16,46
15/12/2021	16,36	16,62	16,15	16,40
14/12/2021	16,36	16,87	16,30	16,31
13/12/2021	16,63	16,90	16,31	16,34
10/12/2021	16,59	16,71	16,24	16,66
09/12/2021	16,97	17,01	16,40	16,66
08/12/2021	17,23	17,36	16,90	17,18
07/12/2021	17,49	17,65	16,99	17,23
06/12/2021	17,64	17,64	16,97	17,34
03/12/2021	17,45	17,70	17,16	17,40
02/12/2021	17,36	17,46	16,85	17,30
01/12/2021	17,37	17,45	16,86	17,14
30/11/2021	17,26	17,53	16,89	17,18
29/11/2021	17,73	17,77	17,12	17,46
26/11/2021	18,06	18,06	17,31	17,51
25/11/2021	18,30	18,32	17,82	18,06
24/11/2021	17,60	17,89	17,41	17,89
23/11/2021	17,65	17,70	17,24	17,45
22/11/2021	17,60	17,83	17,31	17,31
19/11/2021	17,39	17,72	17,39	17,58
18/11/2021	17,55	17,79	17,39	17,50
17/11/2021	17,68	17,80	17,39	17,55
16/11/2021	17,80	17,87	17,32	17,46
12/11/2021	17,84	17,92	17,52	17,80
11/11/2021	17,97	18,23	17,67	17,67
10/11/2021	17,25	18,31	17,21	17,69
09/11/2021	17,52	17,86	17,21	17,25
08/11/2021	17,63	17,85	17,47	17,52
05/11/2021	17,60	17,85	17,45	17,62
04/11/2021	18,33	18,33	17,46	17,53
03/11/2021	17,95	18,41	17,72	18,23
01/11/2021	17,53	18,19	17,39	17,86
29/10/2021	17,69	17,75	17,12	17,12
28/10/2021	17,81	17,81	17,32	17,69
27/10/2021	17,92	18,23	17,53	17,59
26/10/2021	17,72	17,72	17,39	17,68
25/10/2021	18,09	18,09	17,67	17,77
22/10/2021	17,53	17,61	16,61	17,42
