Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	26,80	27,65	26,47	26,47
31/05/2022	27,24	27,65	26,80	26,80
30/05/2022	27,83	28,16	26,84	27,19
27/05/2022	27,35	27,95	26,77	27,68
26/05/2022	25,79	27,56	25,56	27,27
25/05/2022	24,75	26,29	24,57	25,87
24/05/2022	24,75	25,33	24,37	24,96
23/05/2022	25,17	25,51	24,21	24,80
20/05/2022	24,82	25,30	24,47	25,19
19/05/2022	24,37	24,71	24,16	24,58
18/05/2022	24,56	24,94	24,36	24,55
17/05/2022	24,52	25,23	24,26	24,90
16/05/2022	24,25	24,47	23,85	24,18
13/05/2022	24,40	24,51	23,27	24,20
12/05/2022	23,27	24,58	22,78	24,33
11/05/2022	24,55	24,75	23,24	23,49
10/05/2022	25,52	25,66	24,48	24,56
09/05/2022	25,25	25,65	25,03	25,06
06/05/2022	25,80	25,99	25,21	25,57
05/05/2022	26,45	26,63	25,34	26,02
04/05/2022	26,13	27,20	25,29	27,20
03/05/2022	26,31	26,72	25,63	26,14
02/05/2022	26,31	26,62	25,74	26,23
29/04/2022	28,08	28,38	26,22	26,56
28/04/2022	28,08	28,08	27,36	27,79
27/04/2022	28,35	28,43	27,98	28,00
26/04/2022	28,53	28,60	27,65	28,20
25/04/2022	28,22	29,04	28,05	28,75
22/04/2022	29,33	29,39	28,00	28,48
20/04/2022	30,14	30,44	29,53	29,71
19/04/2022	29,81	30,26	29,36	30,16
18/04/2022	29,61	30,27	29,52	30,05
14/04/2022	30,31	30,34	29,23	29,94
13/04/2022	30,82	30,82	29,68	30,39
12/04/2022	31,65	31,68	30,51	30,75
11/04/2022	31,84	31,96	31,10	31,36
08/04/2022	32,61	32,61	31,80	32,26
07/04/2022	32,62	33,07	32,33	32,91
06/04/2022	33,76	33,81	32,70	33,15
05/04/2022	34,87	34,93	33,86	34,00
04/04/2022	34,54	35,05	34,43	34,82
01/04/2022	34,75	34,84	34,08	34,70
31/03/2022	34,11	34,66	34,08	34,38
30/03/2022	34,90	34,90	33,84	34,21
29/03/2022	34,87	35,31	34,71	34,99
28/03/2022	34,76	34,84	34,24	34,57
25/03/2022	34,78	35,00	34,58	34,81
24/03/2022	34,61	35,03	34,48	34,75
23/03/2022	34,52	34,77	34,25	34,60
22/03/2022	34,50	34,80	34,26	34,66
21/03/2022	34,45	34,48	33,88	34,24
18/03/2022	33,67	34,63	33,62	34,51
17/03/2022	34,25	34,25	33,50	33,85
16/03/2022	33,60	34,26	33,11	34,25
15/03/2022	33,22	33,65	32,63	33,50
14/03/2022	34,10	34,20	33,20	33,50
11/03/2022	33,66	34,35	33,51	33,97
10/03/2022	34,26	34,38	32,90	34,00
09/03/2022	34,50	35,06	34,35	34,68
08/03/2022	34,41	34,70	34,03	34,44
07/03/2022	34,32	35,08	33,75	34,19
04/03/2022	34,60	34,81	34,01	34,70
03/03/2022	35,00	35,50	34,28	34,85
02/03/2022	34,30	34,98	33,15	34,95
25/02/2022	35,22	35,79	34,34	35,20
24/02/2022	38,00	38,21	34,00	35,64
23/02/2022	24,84	30,94	24,29	30,94
22/02/2022	24,54	25,76	24,54	24,72
21/02/2022	25,49	25,61	24,46	24,49
18/02/2022	26,28	26,35	25,45	25,75
17/02/2022	25,99	26,69	25,66	26,06
16/02/2022	25,62	25,97	25,44	25,81
15/02/2022	25,48	25,87	25,29	25,58
14/02/2022	25,49	25,71	25,06	25,37
11/02/2022	25,27	26,04	25,21	25,41
10/02/2022	24,97	25,53	24,63	25,24
09/02/2022	24,48	25,04	24,39	24,95
08/02/2022	23,71	24,66	23,52	24,49
07/02/2022	23,92	24,15	23,47	23,82
04/02/2022	24,79	24,80	23,42	23,98
03/02/2022	24,81	25,40	24,40	24,78
02/02/2022	25,11	25,44	24,59	24,75
01/02/2022	25,40	25,87	24,65	25,07
31/01/2022	25,64	25,75	25,16	25,40
28/01/2022	25,27	25,87	25,01	25,69
27/01/2022	25,25	25,94	25,10	25,38
26/01/2022	24,34	25,24	24,05	25,05
25/01/2022	22,94	24,35	22,80	24,16
24/01/2022	23,80	24,07	22,80	23,13
21/01/2022	24,21	24,57	23,73	24,01
20/01/2022	23,90	24,49	23,69	24,37
19/01/2022	22,80	23,88	22,62	23,77
18/01/2022	23,20	23,39	22,15	22,54
17/01/2022	23,09	23,54	22,98	23,15
14/01/2022	23,26	23,34	22,88	23,03
13/01/2022	23,65	23,67	23,05	23,27
12/01/2022	22,82	23,74	22,72	23,62
11/01/2022	22,78	23,16	22,65	22,81
10/01/2022	23,39	23,50	22,36	22,74
07/01/2022	24,06	24,13	23,03	23,50
06/01/2022	24,36	24,53	23,69	24,11
05/01/2022	24,42	24,77	24,02	24,30
04/01/2022	25,80	26,01	24,32	24,40
03/01/2022	27,15	27,59	25,71	25,78
30/12/2021	25,92	27,70	25,75	27,49
29/12/2021	26,06	26,35	25,60	25,73
28/12/2021	25,66	26,13	25,52	26,13
27/12/2021	25,26	25,61	25,26	25,57
23/12/2021	25,51	25,64	24,42	25,26
22/12/2021	25,71	25,81	25,21	25,71
21/12/2021	25,63	25,76	25,24	25,60
20/12/2021	25,81	25,93	25,42	25,69
17/12/2021	25,71	26,10	25,33	25,81
16/12/2021	26,36	26,67	25,68	25,81
15/12/2021	25,51	26,23	25,47	26,16
14/12/2021	26,10	26,60	25,45	25,45
13/12/2021	26,39	26,55	25,78	26,11
10/12/2021	25,99	26,66	25,99	26,39
09/12/2021	26,50	26,50	25,59	25,89
08/12/2021	25,84	26,77	25,74	26,72
07/12/2021	26,18	26,44	25,83	25,92
06/12/2021	26,30	26,73	25,87	25,92
03/12/2021	25,90	27,21	25,90	26,27
02/12/2021	24,32	25,88	24,32	25,86
01/12/2021	24,76	26,06	24,17	24,17
30/11/2021	25,17	25,43	24,45	24,77
29/11/2021	25,64	25,64	24,96	25,23
26/11/2021	26,28	26,28	25,22	25,22
25/11/2021	26,52	27,07	26,50	26,81
24/11/2021	26,38	27,03	26,18	26,63
23/11/2021	26,77	27,02	26,20	26,60
22/11/2021	27,34	27,51	26,37	26,60
19/11/2021	28,38	28,57	27,24	27,41
18/11/2021	28,36	28,78	28,09	28,36
17/11/2021	29,17	29,27	27,80	28,06
16/11/2021	29,41	29,50	28,64	28,91
12/11/2021	29,21	29,76	29,03	29,21
11/11/2021	29,44	29,86	28,00	29,15
10/11/2021	28,43	30,07	28,14	29,46
09/11/2021	27,86	28,71	27,75	28,53
08/11/2021	27,60	28,18	27,36	27,86
05/11/2021	27,59	28,26	27,21	27,93
04/11/2021	27,28	27,87	26,83	27,32
03/11/2021	25,63	27,36	25,62	27,28
01/11/2021	25,97	26,15	25,55	25,77
29/10/2021	25,58	26,26	25,05	25,78
28/10/2021	26,01	26,30	25,35	25,40
27/10/2021	25,44	26,62	25,17	26,26
26/10/2021	25,62	25,71	25,01	25,29
25/10/2021	25,59	26,15	25,08	25,74
22/10/2021	25,16	25,75	24,23	25,43
21/10/2021	25,51	25,63	24,78	25,43
20/10/2021	25,38	26,27	25,38	26,03
19/10/2021	26,11	26,19	24,97	25,29
18/10/2021	26,01	26,44	25,56	26,14
15/10/2021	25,88	26,50	25,64	26,36
14/10/2021	26,03	26,22	25,46	25,85
13/10/2021	25,07	26,01	25,07	26,00
11/10/2021	24,83	25,36	24,83	24,95
08/10/2021	24,70	25,31	24,63	25,16
07/10/2021	24,52	24,93	24,08	24,49
06/10/2021	24,48	24,51	23,95	24,41
05/10/2021	24,89	25,10	24,49	24,57
04/10/2021	25,68	25,75	24,68	24,78
01/10/2021	25,38	26,15	25,23	25,89
30/09/2021	25,54	25,75	25,24	25,29
29/09/2021	26,10	26,24	25,46	25,46
28/09/2021	26,98	27,04	25,92	25,96
27/09/2021	26,96	27,42	26,82	27,19
24/09/2021	27,30	27,38	26,89	27,00
23/09/2021	27,70	28,10	27,43	27,46
22/09/2021	27,02	27,96	26,72	27,67
21/09/2021	27,64	27,74	26,81	26,83
20/09/2021	27,54	27,69	27,15	27,31
17/09/2021	27,84	28,02	27,40	27,77
16/09/2021	27,98	28,44	27,83	27,91
15/09/2021	29,38	29,42	28,12	28,25
14/09/2021	29,49	29,73	29,05	29,44
13/09/2021	28,80	29,63	28,60	29,36
10/09/2021	28,96	29,23	28,23	28,43
09/09/2021	27,60	28,88	27,42	28,70
08/09/2021	28,47	28,53	27,20	27,59
06/09/2021	27,94	28,67	27,76	28,67
03/09/2021	27,77	27,95	27,26	27,89
02/09/2021	28,37	28,46	27,47	27,47
01/09/2021	29,13	29,29	28,34	28,36
31/08/2021	29,67	30,64	28,86	29,13
30/08/2021	29,29	29,69	28,77	29,40
27/08/2021	29,27	29,71	29,06	29,39
26/08/2021	29,73	29,83	29,06	29,06
25/08/2021	30,15	30,26	29,51	29,78
24/08/2021	29,36	30,37	29,30	30,04
23/08/2021	29,69	29,73	28,73	29,10
20/08/2021	28,06	29,55	27,83	29,43
19/08/2021	27,59	28,52	27,44	28,29
18/08/2021	28,19	28,74	27,92	27,99
17/08/2021	28,77	28,77	27,83	28,19
16/08/2021	29,38	29,73	28,59	28,78
13/08/2021	28,82	29,48	28,23	29,46
12/08/2021	27,59	29,05	27,44	28,80
11/08/2021	28,38	28,46	27,61	28,02
10/08/2021	28,91	29,12	28,26	28,29
09/08/2021	28,91	29,33	28,77	28,85
06/08/2021	28,59	29,34	28,58	28,93
05/08/2021	28,98	29,71	28,58	28,77
04/08/2021	29,59	29,62	28,41	28,78
03/08/2021	30,38	30,44	29,42	29,58
02/08/2021	30,06	30,48	29,75	30,38
30/07/2021	30,50	30,62	29,71	29,71
29/07/2021	30,82	31,05	30,53	30,56
28/07/2021	30,93	31,29	30,79	30,83
27/07/2021	31,43	31,43	30,58	30,72
26/07/2021	31,46	31,82	31,40	31,56
23/07/2021	31,56	31,96	31,17	31,50
22/07/2021	31,75	31,99	31,24	31,47
21/07/2021	31,92	32,09	31,48	31,74
20/07/2021	31,73	32,11	31,52	32,03
19/07/2021	31,86	32,11	31,38	31,82
16/07/2021	32,75	32,82	31,84	31,98
15/07/2021	33,49	33,59	32,38	32,69
14/07/2021	34,04	34,11	33,14	33,57
13/07/2021	32,59	33,79	32,37	33,49
12/07/2021	32,27	32,98	32,04	32,82
08/07/2021	32,88	33,03	31,94	32,13
07/07/2021	32,95	33,48	32,51	33,44
06/07/2021	33,26	33,26	32,79	32,84
05/07/2021	33,79	33,80	33,20	33,35
02/07/2021	34,13	34,37	33,78	33,86
01/07/2021	34,56	34,72	33,85	33,92
30/06/2021	34,72	34,92	34,10	34,52
29/06/2021	34,94	35,16	34,28	35,09
28/06/2021	34,47	35,16	34,24	35,02
25/06/2021	35,73	35,80	34,02	34,48
24/06/2021	35,47	35,72	35,28	35,72
23/06/2021	35,73	36,00	35,06	35,26
22/06/2021	35,70	35,88	35,21	35,68
21/06/2021	35,51	35,81	35,26	35,76
18/06/2021	35,83	35,85	35,06	35,51
17/06/2021	36,07	37,24	35,60	35,92
16/06/2021	35,13	36,56	35,09	36,20
15/06/2021	33,65	35,07	33,62	35,07
14/06/2021	33,75	33,84	33,43	33,45
11/06/2021	34,14	34,41	33,15	33,62
10/06/2021	33,74	34,27	33,69	34,19
09/06/2021	33,33	33,80	33,23	33,65
08/06/2021	33,58	33,69	33,20	33,33
07/06/2021	33,59	34,18	33,46	33,65
04/06/2021	33,40	33,70	33,01	33,48
02/06/2021	34,69	34,69	33,36	33,54
01/06/2021	34,51	34,99	34,22	34,70
31/05/2021	34,53	34,60	33,60	34,42
28/05/2021	33,97	34,54	33,35	34,54
27/05/2021	32,41	33,93	32,14	33,76
26/05/2021	31,89	32,56	31,69	32,56
25/05/2021	31,78	32,44	31,54	31,85
24/05/2021	31,45	31,83	31,31	31,76
21/05/2021	31,73	31,90	31,15	31,32
20/05/2021	31,62	31,83	31,30	31,78
19/05/2021	31,52	31,88	31,30	31,56
18/05/2021	32,53	32,69	31,74	31,75
17/05/2021	33,01	33,01	32,28	32,53
14/05/2021	32,94	33,65	32,85	32,99
13/05/2021	32,72	33,07	32,33	32,76
12/05/2021	33,58	33,85	32,62	32,76
11/05/2021	33,37	34,32	32,81	34,32
10/05/2021	34,32	34,32	33,30	33,66
07/05/2021	33,63	34,39	33,49	34,33
06/05/2021	33,70	33,72	33,05	33,58
05/05/2021	32,91	34,13	32,78	33,70
04/05/2021	32,83	32,91	32,53	32,68
03/05/2021	32,51	32,90	32,05	32,90
30/04/2021	33,18	33,35	32,03	32,47
29/04/2021	32,79	33,20	32,50	33,14
28/04/2021	32,72	32,96	31,85	32,67
27/04/2021	33,12	33,12	32,41	32,41
26/04/2021	32,92	33,39	32,76	33,15
23/04/2021	32,06	33,25	31,86	33,02
22/04/2021	32,64	33,28	31,80	31,89
20/04/2021	32,17	32,58	31,71	32,41
19/04/2021	32,16	33,05	32,01	32,26
16/04/2021	31,62	32,04	31,13	32,04
15/04/2021	32,48	32,60	31,53	31,72
14/04/2021	33,50	33,57	32,29	32,36
13/04/2021	33,26	33,85	32,89	33,51
12/04/2021	33,91	33,93	33,34	33,43
09/04/2021	33,77	34,73	33,55	33,69
08/04/2021	34,60	34,74	33,93	33,99
07/04/2021	34,64	34,95	34,00	34,51
06/04/2021	33,33	34,74	33,24	34,66
05/04/2021	33,61	33,74	32,65	33,24
01/04/2021	34,21	34,21	32,93	33,14
31/03/2021	35,24	35,51	33,50	33,92
30/03/2021	33,19	34,98	33,05	34,90
29/03/2021	33,85	33,94	32,82	33,07
26/03/2021	34,57	35,19	33,67	34,02
25/03/2021	35,54	35,57	34,40	34,55
24/03/2021	36,93	36,94	35,45	35,55
23/03/2021	36,81	37,63	36,15	36,94
22/03/2021	36,60	37,26	36,14	36,80
19/03/2021	34,37	37,27	34,36	37,02
18/03/2021	33,65	35,16	33,11	34,05
