Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	13,54	13,55	13,34	13,42
31/05/2022	13,45	13,55	13,42	13,51
30/05/2022	13,39	13,44	13,30	13,30
27/05/2022	13,58	13,58	13,37	13,43
26/05/2022	13,90	13,90	13,53	13,58
25/05/2022	13,87	14,03	13,87	13,90
24/05/2022	13,57	13,99	13,57	13,77
23/05/2022	13,62	13,76	13,57	13,61
20/05/2022	13,76	13,76	13,62	13,62
19/05/2022	13,76	13,77	13,65	13,76
18/05/2022	13,59	13,82	13,56	13,76
17/05/2022	13,47	13,64	13,41	13,60
16/05/2022	13,50	13,51	13,38	13,47
13/05/2022	13,70	13,70	13,42	13,47
12/05/2022	13,34	13,93	13,30	13,93
11/05/2022	13,69	13,69	13,33	13,34
10/05/2022	14,19	14,19	13,58	13,58
09/05/2022	14,27	14,38	14,12	14,31
06/05/2022	14,13	14,27	14,10	14,21
05/05/2022	14,28	14,34	14,04	14,12
04/05/2022	14,04	14,23	13,92	14,23
03/05/2022	13,79	14,05	13,71	13,95
02/05/2022	13,99	13,99	13,73	13,77
29/04/2022	14,29	14,36	13,95	14,02
28/04/2022	14,42	14,56	14,30	14,37
27/04/2022	14,34	14,50	14,34	14,42
26/04/2022	14,03	14,42	14,03	14,33
25/04/2022	14,03	14,61	13,94	13,99
22/04/2022	14,21	14,22	13,95	14,03
20/04/2022	13,98	14,10	13,89	14,09
19/04/2022	14,03	14,15	13,95	14,07
18/04/2022	14,04	14,15	14,01	14,02
14/04/2022	14,00	14,05	13,91	14,04
13/04/2022	14,08	14,11	14,00	14,00
12/04/2022	14,01	14,13	13,98	14,09
11/04/2022	13,99	14,04	13,93	13,95
08/04/2022	13,95	14,06	13,89	13,98
07/04/2022	14,04	14,04	13,80	13,89
06/04/2022	13,96	13,98	13,81	13,98
05/04/2022	13,97	14,13	13,95	13,96
04/04/2022	13,97	14,07	13,92	13,95
01/04/2022	13,92	14,09	13,91	13,97
31/03/2022	13,76	13,99	13,74	13,93
30/03/2022	13,89	13,89	13,68	13,72
29/03/2022	13,99	14,01	13,79	13,86
28/03/2022	14,04	14,25	13,91	13,91
25/03/2022	13,76	14,13	13,76	14,04
24/03/2022	13,47	13,83	13,47	13,76
23/03/2022	13,53	13,65	13,49	13,58
22/03/2022	13,39	13,59	13,39	13,53
21/03/2022	13,37	13,47	13,33	13,39
18/03/2022	13,21	13,43	13,13	13,38
17/03/2022	13,10	13,22	13,05	13,21
16/03/2022	13,01	13,11	12,93	13,08
15/03/2022	12,87	13,02	12,82	12,94
14/03/2022	12,90	13,00	12,88	12,89
11/03/2022	12,99	13,14	12,84	12,90
10/03/2022	12,89	13,08	12,84	12,99
09/03/2022	12,67	13,00	12,66	12,90
08/03/2022	12,72	12,86	12,65	12,68
07/03/2022	13,01	13,13	12,80	12,84
04/03/2022	12,63	13,23	12,59	13,01
03/03/2022	12,67	12,74	12,58	12,63
02/03/2022	12,49	12,71	12,46	12,68
25/02/2022	12,49	12,62	12,44	12,49
24/02/2022	12,30	12,60	12,16	12,49
23/02/2022	12,31	12,66	12,31	12,47
22/02/2022	12,01	12,31	12,00	12,26
21/02/2022	12,05	12,13	11,92	12,01
18/02/2022	11,95	12,10	11,93	12,07
17/02/2022	11,90	11,93	11,84	11,91
