Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	24,23	24,40	24,11	24,27
31/05/2022	24,36	24,45	24,14	24,28
30/05/2022	24,40	24,50	24,11	24,23
27/05/2022	24,54	24,54	24,23	24,29
26/05/2022	25,13	25,15	24,49	24,49
25/05/2022	25,30	25,63	25,13	25,13
24/05/2022	25,21	25,67	25,21	25,67
23/05/2022	25,19	25,53	25,11	25,37
20/05/2022	25,17	25,27	24,90	24,94
19/05/2022	24,70	25,09	24,58	24,94
18/05/2022	24,55	24,93	24,55	24,69
17/05/2022	24,68	24,95	24,47	24,54
16/05/2022	24,50	24,69	24,30	24,45
13/05/2022	24,70	24,75	24,45	24,48
12/05/2022	24,10	24,67	24,07	24,56
11/05/2022	24,29	24,43	24,07	24,12
10/05/2022	24,70	24,94	24,11	24,24
09/05/2022	24,23	24,72	24,05	24,56
06/05/2022	24,12	24,62	24,12	24,21
05/05/2022	25,06	25,11	24,06	24,10
04/05/2022	25,38	25,52	24,96	25,18
03/05/2022	25,27	25,74	25,26	25,57
02/05/2022	25,32	25,78	25,11	25,22
29/04/2022	26,20	26,23	25,16	25,16
28/04/2022	26,20	26,32	25,98	25,98
27/04/2022	26,27	26,40	26,12	26,12
26/04/2022	25,86	26,33	25,82	26,16
25/04/2022	25,70	26,08	25,37	25,89
22/04/2022	26,00	26,03	25,61	25,73
20/04/2022	25,98	26,05	25,78	25,97
19/04/2022	26,30	26,51	25,92	25,98
18/04/2022	26,57	26,62	26,32	26,33
14/04/2022	26,47	26,55	26,28	26,55
13/04/2022	26,53	26,77	26,38	26,47
12/04/2022	26,81	26,95	26,45	26,47
11/04/2022	26,76	26,87	26,57	26,61
08/04/2022	26,31	26,76	26,26	26,67
07/04/2022	26,16	26,46	26,02	26,32
06/04/2022	26,45	26,46	26,10	26,19
05/04/2022	26,68	26,68	26,44	26,44
04/04/2022	26,40	26,78	26,28	26,67
01/04/2022	26,57	26,71	26,09	26,44
31/03/2022	26,45	26,57	26,32	26,44
30/03/2022	26,52	26,62	26,30	26,44
29/03/2022	26,78	26,83	26,48	26,50
28/03/2022	26,86	26,96	26,65	26,81
25/03/2022	26,70	27,00	26,63	26,83
24/03/2022	26,21	26,78	26,20	26,70
23/03/2022	25,87	26,35	25,75	26,15
22/03/2022	25,80	26,10	25,67	25,75
21/03/2022	25,38	25,79	25,36	25,72
18/03/2022	25,05	25,39	24,91	25,37
17/03/2022	24,79	25,06	24,70	25,05
16/03/2022	24,74	24,78	24,55	24,73
15/03/2022	24,53	24,80	24,50	24,59
14/03/2022	24,64	24,94	24,54	24,57
11/03/2022	24,38	24,70	24,38	24,60
10/03/2022	24,49	24,71	24,27	24,34
09/03/2022	24,65	24,70	24,24	24,50
08/03/2022	24,98	25,08	24,50	24,58
07/03/2022	25,34	25,34	24,78	24,78
04/03/2022	24,84	25,40	24,80	25,35
03/03/2022	24,76	25,03	24,68	24,83
02/03/2022	24,42	24,86	24,26	24,64
25/02/2022	24,47	24,62	24,27	24,43
24/02/2022	24,29	24,59	23,81	24,40
23/02/2022	24,45	25,03	24,42	24,99
22/02/2022	24,07	24,51	24,05	24,37
21/02/2022	23,85	24,18	23,82	23,97
18/02/2022	23,83	24,12	23,78	23,80
17/02/2022	23,81	23,97	23,70	23,70
16/02/2022	23,96	24,10	23,75	23,75
15/02/2022	23,82	24,09	23,79	23,91
14/02/2022	23,83	23,99	23,75	23,75
11/02/2022	24,00	24,04	23,78	23,78
10/02/2022	23,78	23,96	23,76	23,90
09/02/2022	23,80	23,98	23,75	23,76
08/02/2022	23,91	23,95	23,73	23,73
07/02/2022	23,96	24,16	23,85	23,85
04/02/2022	24,09	24,11	23,90	23,90
03/02/2022	24,05	24,21	23,99	24,03
02/02/2022	23,99	24,25	23,91	23,97
01/02/2022	24,18	24,25	23,95	23,97
31/01/2022	24,17	24,24	24,05	24,16
28/01/2022	24,14	24,28	24,07	24,13
27/01/2022	24,18	24,38	24,05	24,14
26/01/2022	24,08	24,30	24,03	24,03
25/01/2022	24,08	24,25	23,97	24,00
24/01/2022	24,25	24,51	24,08	24,14
21/01/2022	24,00	24,24	23,88	24,21
20/01/2022	24,15	24,24	23,95	24,01
19/01/2022	24,01	24,42	24,00	24,09
18/01/2022	23,70	24,20	23,70	24,04
17/01/2022	23,64	23,89	23,64	23,77
14/01/2022	23,65	23,75	23,64	23,67
13/01/2022	23,59	23,75	23,51	23,63
12/01/2022	23,40	23,68	23,36	23,60
11/01/2022	23,52	23,67	23,38	23,40
10/01/2022	23,71	23,76	23,50	23,50
07/01/2022	23,78	23,97	23,60	23,66
06/01/2022	24,04	24,05	23,71	23,79
05/01/2022	24,26	24,32	23,88	23,90
04/01/2022	24,26	24,43	24,10	24,26
03/01/2022	24,31	24,54	24,10	24,23
30/12/2021	24,26	24,34	24,10	24,31
29/12/2021	24,32	24,44	24,05	24,13
28/12/2021	24,34	24,41	24,18	24,25
27/12/2021	24,46	24,49	24,27	24,30
23/12/2021	24,37	24,70	24,27	24,27
22/12/2021	24,15	24,50	24,15	24,47
21/12/2021	24,10	24,34	24,10	24,15
20/12/2021	24,27	24,36	23,97	24,09
17/12/2021	24,33	24,55	24,23	24,28
16/12/2021	24,30	24,59	24,16	24,37
15/12/2021	24,14	24,45	23,87	24,34
14/12/2021	24,31	24,51	24,04	24,14
13/12/2021	24,15	24,38	24,10	24,25
10/12/2021	24,15	24,49	24,03	24,07
09/12/2021	24,10	24,28	24,01	24,15
08/12/2021	24,01	24,28	24,01	24,22
07/12/2021	24,30	24,45	23,97	23,97
06/12/2021	24,21	24,63	24,07	24,15
03/12/2021	24,09	24,65	24,00	24,17
02/12/2021	23,44	24,22	23,34	24,04
01/12/2021	23,23	23,61	23,16	23,22
30/11/2021	22,96	23,29	22,90	23,16
29/11/2021	23,08	23,09	22,86	23,01
26/11/2021	22,60	22,79	22,50	22,79
25/11/2021	22,77	23,08	22,75	22,79
24/11/2021	22,48	22,80	22,48	22,67
23/11/2021	22,44	22,56	22,25	22,48
22/11/2021	22,48	22,65	22,32	22,32
19/11/2021	22,48	22,74	22,42	22,42
18/11/2021	22,59	22,83	22,41	22,43
17/11/2021	22,67	22,80	22,25	22,45
16/11/2021	23,04	23,07	22,52	22,63
12/11/2021	22,93	23,25	22,85	22,95
11/11/2021	22,97	23,22	22,90	22,96
10/11/2021	22,76	23,11	22,76	22,92
09/11/2021	22,83	22,90	22,71	22,72
08/11/2021	22,89	23,08	22,72	22,80
05/11/2021	23,23	23,23	22,88	22,89
04/11/2021	23,60	23,60	22,95	23,06
03/11/2021	23,68	23,83	23,30	23,56
01/11/2021	23,35	23,85	23,21	23,54
29/10/2021	23,41	23,48	22,92	23,02
28/10/2021	23,19	23,44	22,97	22,97
27/10/2021	23,04	23,49	23,00	23,21
26/10/2021	22,77	23,20	22,75	22,96
25/10/2021	22,91	23,03	22,62	22,96
22/10/2021	22,81	23,00	22,18	22,71
21/10/2021	22,99	23,02	22,59	22,87
20/10/2021	23,29	23,43	23,07	23,23
19/10/2021	23,53	23,61	23,03	23,17
18/10/2021	23,40	23,64	23,14	23,59
15/10/2021	23,62	23,65	23,38	23,45
14/10/2021	23,61	23,71	23,47	23,55
13/10/2021	23,38	23,63	23,33	23,53
11/10/2021	23,12	23,47	23,04	23,33
08/10/2021	22,82	23,28	22,82	23,10
07/10/2021	22,98	23,09	22,63	22,74
06/10/2021	22,76	22,97	22,50	22,96
05/10/2021	23,00	23,03	22,69	22,87
04/10/2021	23,05	23,09	22,76	23,00
01/10/2021	23,04	23,12	22,87	23,07
30/09/2021	23,38	23,38	22,97	23,02
29/09/2021	23,43	23,49	23,21	23,21
28/09/2021	23,29	23,38	23,09	23,28
27/09/2021	23,65	23,69	23,21	23,40
24/09/2021	23,41	23,70	23,41	23,62
23/09/2021	23,48	23,69	23,40	23,55
22/09/2021	23,69	23,75	23,38	23,41
21/09/2021	23,42	23,55	23,29	23,50
20/09/2021	23,20	23,52	22,96	23,29
17/09/2021	23,71	23,71	23,38	23,55
16/09/2021	23,30	23,73	23,20	23,73
15/09/2021	23,66	23,70	23,24	23,30
14/09/2021	23,43	23,98	23,40	23,56
13/09/2021	23,15	23,54	23,00	23,41
10/09/2021	23,11	23,23	22,89	23,04
09/09/2021	22,47	23,09	22,36	22,90
08/09/2021	23,17	23,17	22,34	22,38
06/09/2021	23,19	23,32	23,00	23,17
03/09/2021	23,54	23,76	23,19	23,19
02/09/2021	23,56	23,68	23,29	23,41
01/09/2021	23,34	23,75	23,34	23,57
31/08/2021	23,54	23,63	23,23	23,28
30/08/2021	23,41	23,54	23,22	23,54
27/08/2021	23,38	23,61	23,31	23,41
26/08/2021	23,24	23,65	23,15	23,33
25/08/2021	23,19	23,37	22,99	23,36
24/08/2021	22,71	23,28	22,67	23,20
23/08/2021	22,85	22,92	22,57	22,67
20/08/2021	21,72	23,03	21,71	22,85
19/08/2021	21,82	22,10	21,62	21,77
18/08/2021	22,55	22,63	21,82	21,91
17/08/2021	22,33	22,63	22,19	22,48
16/08/2021	22,67	22,73	22,33	22,33
13/08/2021	22,82	22,84	22,60	22,69
12/08/2021	22,70	23,05	22,52	22,70
11/08/2021	22,92	22,95	22,51	22,58
10/08/2021	23,17	23,28	22,74	22,74
09/08/2021	23,07	23,47	23,05	23,07
06/08/2021	23,04	23,37	23,02	23,09
05/08/2021	23,39	23,53	22,98	22,98
04/08/2021	23,39	23,73	23,25	23,29
03/08/2021	23,48	23,64	23,27	23,39
02/08/2021	22,92	23,85	22,91	23,47
30/07/2021	23,13	23,36	22,84	22,84
29/07/2021	23,52	23,61	23,38	23,38
28/07/2021	23,55	23,61	23,31	23,46
27/07/2021	23,32	23,62	23,32	23,47
26/07/2021	23,47	23,58	23,37	23,38
23/07/2021	23,76	23,84	23,41	23,41
22/07/2021	23,60	23,83	23,51	23,74
21/07/2021	23,37	23,80	23,29	23,61
20/07/2021	23,38	23,58	23,22	23,27
19/07/2021	23,61	23,64	23,26	23,28
16/07/2021	23,51	23,89	23,49	23,63
15/07/2021	23,57	23,58	23,42	23,43
14/07/2021	23,57	23,69	23,42	23,55
13/07/2021	23,54	23,59	23,39	23,47
12/07/2021	23,66	23,66	23,33	23,61
08/07/2021	23,20	23,73	23,08	23,61
07/07/2021	23,49	23,70	23,02	23,43
06/07/2021	23,93	23,93	23,27	23,64
05/07/2021	23,66	24,04	23,61	23,90
02/07/2021	23,08	23,66	22,92	23,56
01/07/2021	23,32	23,32	22,39	22,76
30/06/2021	23,48	23,54	23,11	23,28
29/06/2021	23,69	23,74	23,32	23,54
28/06/2021	23,87	23,94	23,59	23,74
25/06/2021	24,23	24,26	23,73	24,02
24/06/2021	24,32	24,36	23,97	24,22
23/06/2021	24,39	24,56	24,22	24,22
22/06/2021	24,89	24,96	24,13	24,32
21/06/2021	24,85	24,87	24,53	24,82
18/06/2021	24,87	25,02	24,34	24,87
17/06/2021	25,15	25,18	24,77	24,88
16/06/2021	25,23	25,41	24,96	25,06
15/06/2021	25,40	25,42	25,15	25,35
14/06/2021	25,08	25,48	25,00	25,41
11/06/2021	25,17	25,20	24,83	24,96
10/06/2021	25,06	25,21	24,86	25,14
09/06/2021	24,93	25,30	24,74	25,05
08/06/2021	25,34	25,34	24,74	24,83
07/06/2021	25,50	25,58	25,26	25,29
04/06/2021	24,96	25,42	24,90	25,21
02/06/2021	25,43	25,63	24,85	24,94
01/06/2021	24,85	25,55	24,78	25,39
31/05/2021	24,53	24,86	24,44	24,81
28/05/2021	24,70	24,75	24,21	24,44
27/05/2021	25,09	25,09	24,57	24,66
26/05/2021	25,20	25,25	24,80	25,01
25/05/2021	25,05	25,15	24,85	25,14
24/05/2021	24,67	25,09	24,64	25,01
21/05/2021	24,53	24,70	24,46	24,67
20/05/2021	24,36	24,57	24,24	24,47
19/05/2021	24,26	24,69	24,08	24,31
18/05/2021	23,93	24,26	23,85	24,22
17/05/2021	23,49	24,06	23,29	23,90
14/05/2021	23,12	23,54	23,04	23,52
13/05/2021	23,12	23,15	22,76	22,98
12/05/2021	23,55	23,55	22,87	22,91
11/05/2021	23,36	23,66	23,26	23,54
10/05/2021	23,80	23,87	23,21	23,52
07/05/2021	23,66	23,78	23,52	23,71
06/05/2021	23,81	23,88	23,31	23,51
05/05/2021	23,90	23,97	23,52	23,77
04/05/2021	24,81	24,93	23,38	23,75
03/05/2021	25,05	25,35	24,70	24,77
30/04/2021	24,92	25,26	24,28	25,05
29/04/2021	24,36	25,30	24,26	25,00
28/04/2021	24,06	24,44	23,85	24,32
27/04/2021	24,04	24,10	23,83	23,95
26/04/2021	24,23	24,31	23,85	23,96
23/04/2021	24,09	24,22	23,94	24,12
22/04/2021	24,15	24,35	23,94	24,05
20/04/2021	24,19	24,44	23,98	24,12
19/04/2021	24,22	24,51	24,13	24,21
16/04/2021	23,70	24,41	23,66	24,23
15/04/2021	23,78	23,81	23,60	23,65
14/04/2021	23,49	23,72	23,39	23,72
13/04/2021	23,42	23,65	23,28	23,48
12/04/2021	23,47	23,52	23,28	23,42
09/04/2021	23,80	23,82	23,32	23,39
08/04/2021	23,61	23,91	23,53	23,79
07/04/2021	23,61	23,95	23,50	23,59
06/04/2021	23,64	23,68	23,35	23,56
05/04/2021	23,62	23,84	23,54	23,64
01/04/2021	23,65	23,88	23,33	23,50
31/03/2021	23,55	23,68	23,20	23,50
30/03/2021	23,48	23,70	23,32	23,66
29/03/2021	23,55	23,80	23,26	23,63
26/03/2021	22,45	23,07	22,31	23,02
25/03/2021	21,76	22,18	21,40	22,07
24/03/2021	22,48	22,48	21,67	21,74
23/03/2021	22,21	22,53	22,15	22,33
22/03/2021	22,36	22,56	21,95	22,27
19/03/2021	22,50	22,74	22,39	22,39
18/03/2021	22,60	22,72	22,41	22,49
17/03/2021	22,66	22,68	22,39	22,56
16/03/2021	22,39	22,81	22,36	22,67
15/03/2021	21,73	22,43	21,72	22,33
12/03/2021	21,66	21,84	21,53	21,68
11/03/2021	21,75	22,07	21,57	21,66
10/03/2021	21,89	21,92	21,34	21,70
09/03/2021	21,34	21,96	21,31	21,89
08/03/2021	21,98	22,06	21,28	21,34
05/03/2021	22,17	22,17	21,68	22,06
04/03/2021	21,55	22,22	21,47	22,09
03/03/2021	21,30	21,54	20,85	21,45
02/03/2021	21,04	21,34	20,66	21,34
01/03/2021	21,71	21,87	21,14	21,16
26/02/2021	22,94	22,98	21,44	21,50
25/02/2021	22,97	23,03	22,41	22,50
24/02/2021	22,69	23,05	22,49	22,83
23/02/2021	22,01	22,70	21,84	22,35
22/02/2021	21,20	21,40	20,93	21,07
19/02/2021	21,79	21,99	21,68	21,78
