Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	10,98	11,35	10,97	11,26
31/05/2022	11,00	11,13	10,90	10,96
30/05/2022	11,40	11,43	10,83	10,95
27/05/2022	11,49	11,63	11,24	11,27
26/05/2022	11,64	11,91	11,28	11,43
25/05/2022	11,42	11,72	11,29	11,62
24/05/2022	11,26	11,48	11,14	11,44
23/05/2022	11,20	11,50	11,20	11,45
20/05/2022	11,17	11,28	10,96	11,05
19/05/2022	10,33	11,01	10,31	10,91
18/05/2022	10,66	10,76	10,34	10,38
17/05/2022	11,18	11,29	10,81	10,81
16/05/2022	10,58	11,05	10,57	10,93
13/05/2022	10,30	10,67	10,30	10,53
12/05/2022	10,18	10,32	9,93	10,18
11/05/2022	10,27	10,72	10,21	10,36
10/05/2022	10,85	10,87	9,68	10,04
09/05/2022	10,79	10,95	10,58	10,77
06/05/2022	11,01	11,15	10,70	10,97
05/05/2022	11,49	11,51	10,86	11,09
04/05/2022	11,26	11,57	11,01	11,51
03/05/2022	11,16	11,47	11,15	11,31
02/05/2022	11,25	11,53	11,01	11,20
29/04/2022	12,01	12,04	11,30	11,31
28/04/2022	11,33	11,76	11,24	11,65
27/04/2022	11,38	11,55	11,18	11,20
26/04/2022	11,51	11,54	11,02	11,07
25/04/2022	10,97	11,68	10,96	11,55
22/04/2022	11,38	11,56	11,21	11,33
20/04/2022	12,32	12,33	11,50	11,64
19/04/2022	12,11	12,50	11,97	12,43
18/04/2022	12,21	12,28	12,06	12,19
14/04/2022	12,27	12,51	12,19	12,26
13/04/2022	12,36	12,50	12,29	12,32
12/04/2022	12,42	12,60	12,27	12,36
11/04/2022	12,28	12,45	12,11	12,29
08/04/2022	12,80	12,83	12,35	12,38
07/04/2022	12,67	12,92	12,60	12,85
06/04/2022	12,95	12,96	12,58	12,87
05/04/2022	13,32	13,42	12,93	13,00
04/04/2022	13,11	13,47	13,05	13,32
01/04/2022	13,34	13,43	12,99	13,06
31/03/2022	13,64	13,69	13,22	13,25
30/03/2022	13,62	13,76	13,42	13,61
29/03/2022	13,38	13,64	13,23	13,51
28/03/2022	13,44	13,55	13,15	13,29
25/03/2022	13,73	13,79	13,18	13,22
24/03/2022	13,61	13,73	13,38	13,64
23/03/2022	13,83	14,02	13,49	13,56
22/03/2022	13,94	14,05	13,53	13,77
21/03/2022	13,97	14,20	13,88	13,90
18/03/2022	13,52	13,92	13,46	13,85
17/03/2022	13,09	13,70	13,09	13,56
16/03/2022	13,15	13,27	12,73	12,96
15/03/2022	12,94	13,06	12,50	12,69
14/03/2022	13,65	13,93	13,21	13,25
11/03/2022	14,72	14,77	13,98	13,98
10/03/2022	14,38	14,62	14,25	14,61
09/03/2022	14,21	14,48	13,98	14,43
08/03/2022	14,67	14,82	14,24	14,37
07/03/2022	15,22	15,35	14,47	14,53
04/03/2022	14,93	15,11	14,63	15,02
03/03/2022	14,72	15,28	14,72	15,11
02/03/2022	14,71	14,79	14,21	14,58
25/02/2022	13,35	13,96	13,27	13,96
24/02/2022	12,76	13,60	12,76	13,52
23/02/2022	14,04	14,10	13,43	13,53
22/02/2022	13,87	14,05	13,78	13,97
21/02/2022	14,17	14,22	13,73	13,74
18/02/2022	14,26	14,32	13,95	13,99
17/02/2022	14,61	14,68	14,01	14,10
16/02/2022	14,79	15,08	14,57	14,70
15/02/2022	14,52	14,79	14,35	14,79
14/02/2022	14,66	15,09	14,53	14,88
11/02/2022	15,90	15,95	14,71	14,73
10/02/2022	16,22	16,66	15,83	15,92
09/02/2022	15,74	16,20	15,65	16,08
08/02/2022	16,00	16,06	15,73	15,95
07/02/2022	15,70	16,12	15,65	15,99
04/02/2022	15,32	15,54	15,14	15,48
03/02/2022	15,85	15,96	15,27	15,37
02/02/2022	15,74	15,91	15,58	15,78
01/02/2022	15,20	15,83	15,04	15,74
31/01/2022	15,14	15,38	14,90	15,15
28/01/2022	15,65	15,78	15,00	15,19
27/01/2022	15,70	15,78	15,23	15,43
26/01/2022	15,49	15,85	14,96	15,50
25/01/2022	15,35	15,64	15,02	15,33
24/01/2022	14,91	15,49	14,55	15,41
21/01/2022	15,59	15,69	14,96	15,05
20/01/2022	15,97	16,10	15,67	15,72
19/01/2022	16,03	16,23	15,78	15,89
18/01/2022	15,35	15,73	15,29	15,69
17/01/2022	15,46	15,55	15,13	15,40
14/01/2022	15,42	15,74	15,31	15,61
13/01/2022	15,37	15,70	15,23	15,53
12/01/2022	15,66	16,04	15,50	15,60
11/01/2022	15,12	15,50	15,00	15,47
10/01/2022	13,59	14,61	13,48	14,59
07/01/2022	13,33	13,94	13,23	13,93
06/01/2022	13,43	13,70	13,14	13,29
05/01/2022	14,12	14,16	13,24	13,27
04/01/2022	14,34	14,37	13,91	14,09
03/01/2022	14,48	14,92	14,18	14,20
30/12/2021	14,21	14,52	14,12	14,38
29/12/2021	13,99	14,19	13,90	14,04
28/12/2021	14,24	14,24	13,83	13,99
27/12/2021	13,97	14,33	13,96	14,27
23/12/2021	14,14	14,14	13,89	14,10
22/12/2021	14,25	14,43	13,81	14,14
21/12/2021	14,14	14,45	14,09	14,35
20/12/2021	14,44	14,48	13,81	13,92
17/12/2021	14,83	14,96	14,57	14,74
16/12/2021	14,84	15,08	14,54	14,94
15/12/2021	14,41	14,59	14,05	14,49
14/12/2021	14,57	14,82	14,16	14,37
13/12/2021	14,53	14,85	14,30	14,45
10/12/2021	14,16	14,71	14,13	14,28
09/12/2021	13,89	14,06	13,54	14,02
08/12/2021	14,13	14,39	13,89	14,13
07/12/2021	14,42	14,56	13,94	14,01
06/12/2021	13,64	13,91	13,28	13,87
03/12/2021	13,45	13,83	13,03	13,36
02/12/2021	12,68	13,55	12,63	13,55
01/12/2021	13,10	13,46	12,53	12,61
30/11/2021	12,79	13,26	12,47	12,76
29/11/2021	12,67	13,00	12,54	12,86
26/11/2021	12,55	12,63	11,92	12,12
25/11/2021	12,84	13,03	12,63	12,97
24/11/2021	12,54	13,16	12,44	12,83
23/11/2021	12,39	12,94	12,17	12,40
22/11/2021	11,88	12,09	11,58	11,84
19/11/2021	11,55	11,82	11,41	11,50
18/11/2021	11,82	11,92	11,24	11,34
17/11/2021	12,48	12,66	11,94	12,02
16/11/2021	12,78	12,78	11,99	12,31
12/11/2021	12,51	13,20	12,51	12,67
11/11/2021	12,38	12,89	12,35	12,63
10/11/2021	11,72	12,09	11,65	11,89
09/11/2021	11,69	12,19	11,56	11,98
08/11/2021	11,34	11,94	11,17	11,83
05/11/2021	11,73	11,79	11,12	11,31
04/11/2021	11,55	11,98	11,48	11,55
03/11/2021	12,12	12,21	11,56	11,61
01/11/2021	12,56	12,63	12,12	12,30
29/10/2021	13,18	13,18	12,32	12,44
28/10/2021	13,25	13,63	13,11	13,45
27/10/2021	13,49	13,87	13,18	13,32
26/10/2021	13,69	13,88	13,25	13,35
25/10/2021	13,62	13,92	13,61	13,78
22/10/2021	13,19	13,70	12,93	13,47
21/10/2021	13,60	13,71	12,93	13,29
20/10/2021	14,72	14,72	13,94	14,05
19/10/2021	15,00	15,28	14,36	14,63
18/10/2021	15,34	15,35	14,87	15,09
15/10/2021	15,33	15,73	15,23	15,56
14/10/2021	15,56	15,83	15,24	15,29
13/10/2021	15,24	15,69	15,04	15,31
11/10/2021	15,92	16,31	15,48	15,52
08/10/2021	15,11	15,90	15,08	15,54
07/10/2021	15,03	15,37	14,74	14,80
06/10/2021	14,62	14,93	14,23	14,81
05/10/2021	15,09	15,39	14,78	14,95
04/10/2021	15,85	15,88	14,99	15,01
01/10/2021	15,17	15,96	15,05	15,84
30/09/2021	15,07	15,53	15,05	15,13
29/09/2021	14,13	14,78	14,08	14,74
28/09/2021	14,60	14,93	13,72	13,88
27/09/2021	15,15	15,30	14,73	14,97
24/09/2021	15,36	15,57	15,08	15,29
23/09/2021	14,35	15,69	14,21	15,63
22/09/2021	14,10	14,62	13,96	14,31
21/09/2021	13,22	13,24	12,40	13,16
20/09/2021	12,31	12,91	12,30	12,88
17/09/2021	13,46	13,62	12,97	13,07
16/09/2021	14,42	14,42	13,74	13,80
15/09/2021	14,55	14,94	14,47	14,59
14/09/2021	14,92	15,10	14,57	14,72
13/09/2021	14,51	15,03	14,46	14,95
10/09/2021	15,00	15,25	14,37	14,37
09/09/2021	14,65	15,11	14,21	14,71
08/09/2021	15,35	15,40	14,41	14,63
06/09/2021	14,93	15,66	14,86	15,53
03/09/2021	15,64	15,77	15,14	15,28
02/09/2021	15,97	16,25	15,19	15,23
01/09/2021	16,07	16,22	15,64	15,96
31/08/2021	16,46	16,46	16,09	16,38
