Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	86,19	88,78	86,00	88,24
31/05/2022	87,22	87,43	85,01	86,21
30/05/2022	86,28	87,41	86,01	86,65
27/05/2022	84,90	85,88	84,70	85,72
26/05/2022	84,16	84,65	83,10	84,25
25/05/2022	84,00	84,80	83,41	84,30
24/05/2022	81,82	84,09	81,00	84,04
23/05/2022	82,30	83,65	82,27	82,92
20/05/2022	82,01	82,46	80,58	81,26
19/05/2022	77,78	80,38	77,47	79,85
18/05/2022	78,71	79,25	77,42	77,78
17/05/2022	81,85	81,92	78,86	79,80
16/05/2022	78,68	80,64	78,52	80,14
13/05/2022	78,42	79,35	77,80	77,81
12/05/2022	77,05	77,90	75,87	77,90
11/05/2022	77,37	79,89	77,12	78,69
10/05/2022	76,27	76,94	74,87	75,54
09/05/2022	77,53	77,98	76,08	76,49
06/05/2022	79,20	80,90	78,25	79,76
05/05/2022	81,55	83,20	79,08	80,33
04/05/2022	81,93	82,18	79,85	81,81
03/05/2022	82,95	84,21	82,19	82,50
02/05/2022	83,16	83,20	80,64	82,92
29/04/2022	86,18	87,20	83,29	83,29
28/04/2022	85,02	85,55	80,83	84,20
27/04/2022	80,46	82,70	80,15	82,17
26/04/2022	79,08	79,32	77,85	78,00
25/04/2022	77,94	79,61	77,54	79,08
22/04/2022	83,25	83,40	80,08	80,45
20/04/2022	86,61	86,67	84,40	85,40
19/04/2022	89,69	89,69	86,84	87,68
18/04/2022	91,61	92,00	90,01	90,57
14/04/2022	93,31	94,00	91,36	92,09
13/04/2022	93,49	94,38	92,81	93,40
12/04/2022	95,10	95,61	93,24	93,37
11/04/2022	93,81	94,71	92,92	94,00
08/04/2022	96,64	97,40	94,62	95,15
07/04/2022	95,50	97,69	95,14	97,13
06/04/2022	95,33	96,72	95,33	96,55
05/04/2022	97,36	97,78	94,82	95,11
04/04/2022	96,77	98,25	96,55	97,94
01/04/2022	96,78	97,50	96,07	96,96
31/03/2022	96,42	96,89	95,36	95,60
30/03/2022	96,32	97,11	95,27	95,87
29/03/2022	95,34	95,66	93,40	94,52
28/03/2022	95,70	96,34	93,61	95,34
25/03/2022	97,70	98,30	94,30	95,23
24/03/2022	96,20	97,60	95,31	96,91
23/03/2022	97,50	98,94	96,29	96,39
22/03/2022	98,51	98,96	96,19	96,60
21/03/2022	97,33	99,43	97,15	98,81
18/03/2022	95,41	96,09	93,80	96,09
17/03/2022	92,90	94,98	92,56	94,30
16/03/2022	91,89	93,88	89,31	91,13
15/03/2022	88,99	89,58	87,28	88,97
14/03/2022	94,98	95,20	91,25	91,60
11/03/2022	97,43	98,41	96,76	96,79
10/03/2022	94,50	97,30	94,08	97,30
09/03/2022	95,79	95,80	92,56	94,19
08/03/2022	103,03	103,14	96,03	96,74
07/03/2022	100,57	101,98	100,02	101,18
04/03/2022	95,03	98,31	94,49	98,19
03/03/2022	96,49	97,51	95,82	96,01
02/03/2022	95,31	96,01	93,47	95,96
25/02/2022	83,32	88,99	81,95	88,86
24/02/2022	81,49	84,78	80,63	84,30
23/02/2022	84,83	85,07	82,38	83,27
22/02/2022	83,48	84,16	82,62	84,15
