Data	Abertura	Máxima	Mínima	Fechamento
01/06/2022	3,14	3,18	3,06	3,09
31/05/2022	3,18	3,22	3,10	3,14
30/05/2022	3,29	3,34	3,14	3,17
27/05/2022	3,37	3,39	3,23	3,25
26/05/2022	3,22	3,37	3,16	3,35
25/05/2022	3,02	3,29	2,95	3,22
24/05/2022	2,97	3,03	2,94	3,03
23/05/2022	3,01	3,05	2,94	3,01
20/05/2022	3,07	3,08	2,93	3,00
19/05/2022	2,90	3,03	2,86	2,99
18/05/2022	2,96	3,02	2,87	2,92
17/05/2022	3,00	3,04	2,92	2,99
16/05/2022	2,80	2,93	2,73	2,92
13/05/2022	2,77	2,85	2,74	2,78
12/05/2022	2,58	2,77	2,52	2,71
11/05/2022	2,63	2,77	2,58	2,59
10/05/2022	2,82	2,87	2,56	2,63
09/05/2022	2,70	2,77	2,66	2,69
06/05/2022	2,81	2,88	2,75	2,77
05/05/2022	2,90	2,93	2,80	2,86
04/05/2022	2,83	3,07	2,75	3,02
03/05/2022	2,92	2,95	2,80	2,86
02/05/2022	2,98	3,00	2,88	2,91
29/04/2022	3,12	3,16	2,97	2,97
28/04/2022	3,15	3,15	2,99	3,08
27/04/2022	3,18	3,24	3,06	3,08
26/04/2022	3,18	3,22	3,01	3,04
25/04/2022	3,10	3,24	3,08	3,19
22/04/2022	3,19	3,24	3,11	3,14
20/04/2022	3,41	3,48	3,25	3,27
19/04/2022	3,40	3,52	3,37	3,41
18/04/2022	3,38	3,46	3,33	3,44
14/04/2022	3,52	3,53	3,41	3,41
13/04/2022	3,58	3,60	3,42	3,50
12/04/2022	3,65	3,72	3,45	3,53
11/04/2022	3,49	3,67	3,45	3,53
08/04/2022	3,79	3,79	3,60	3,60
07/04/2022	3,85	3,93	3,75	3,91
06/04/2022	3,99	3,99	3,77	3,85
05/04/2022	4,22	4,37	4,01	4,03
04/04/2022	4,31	4,33	4,12	4,26
01/04/2022	4,27	4,39	4,23	4,33
31/03/2022	4,21	4,27	4,13	4,17
30/03/2022	4,28	4,28	4,12	4,19
29/03/2022	4,05	4,32	4,04	4,28
28/03/2022	3,96	4,02	3,82	3,94
25/03/2022	3,85	4,00	3,76	3,97
24/03/2022	3,64	3,87	3,62	3,82
23/03/2022	3,61	3,76	3,55	3,67
22/03/2022	3,56	3,69	3,52	3,65
21/03/2022	3,52	3,69	3,45	3,48
18/03/2022	3,36	3,57	3,36	3,55
17/03/2022	3,25	3,43	3,25	3,41
16/03/2022	3,29	3,37	3,20	3,32
15/03/2022	3,10	3,30	3,06	3,23
14/03/2022	3,25	3,35	3,10	3,16
11/03/2022	3,29	3,42	3,18	3,21
10/03/2022	3,39	3,39	3,15	3,27
09/03/2022	3,50	3,57	3,39	3,41
08/03/2022	3,49	3,57	3,32	3,40
07/03/2022	3,60	3,63	3,38	3,40
04/03/2022	3,73	3,80	3,60	3,62
03/03/2022	3,90	4,00	3,74	3,74
02/03/2022	3,76	3,88	3,68	3,86
25/02/2022	3,88	3,93	3,75	3,79
24/02/2022	3,58	3,97	3,52	3,91
23/02/2022	3,88	4,12	3,82	3,82
22/02/2022	3,81	4,00	3,72	3,87
21/02/2022	3,93	3,94	3,76	3,76
18/02/2022	4,06	4,11	3,90	3,94
17/02/2022	4,13	4,18	4,01	4,01
16/02/2022	4,14	4,32	4,11	4,15
15/02/2022	4,09	4,16	4,06	4,12
14/02/2022	4,12	4,20	3,98	4,02
11/02/2022	4,34	4,42	4,06	4,12
10/02/2022	4,05	4,38	3,99	4,34
09/02/2022	4,17	4,25	4,00	4,04
08/02/2022	4,05	4,15	3,99	4,14
07/02/2022	4,22	4,28	4,02	4,06
04/02/2022	4,47	4,51	4,21	4,22
03/02/2022	4,45	4,66	4,31	4,48
02/02/2022	4,78	4,81	4,38	4,40
01/02/2022	4,85	5,03	4,65	4,70
31/01/2022	4,56	4,86	4,53	4,72
28/01/2022	4,60	4,60	4,42	4,57
27/01/2022	4,41	4,67	4,39	4,62
26/01/2022	4,47	4,55	4,29	4,35
25/01/2022	4,11	4,38	4,10	4,35
24/01/2022	4,36	4,36	4,07	4,22
21/01/2022	4,16	4,57	4,12	4,35
20/01/2022	4,00	4,33	4,00	4,21
19/01/2022	3,80	4,13	3,78	4,00
18/01/2022	3,87	3,89	3,75	3,75
17/01/2022	3,93	3,98	3,83	3,90
14/01/2022	4,01	4,05	3,89	3,97
13/01/2022	4,06	4,15	3,92	3,99
12/01/2022	4,04	4,24	3,99	4,11
